鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物),臺北市內湖區行善路25巷31~60號,44.63,住,,,1040427,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870506,117.28,3,2,1,有,有,18450000,157316,,0.0,0,車位每年抽籤.,RPTPMLTLLHMFFCA58CA
內湖區,房地(土地+建物),臺北市內湖區行善路25巷1弄1~30號,48.27,住,,,1040419,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870506,126.76,3,2,2,有,有,18600000,146734,,0.0,0,陽台外推.車位每年抽籤決定位置.有一衛無淋浴設備.,RPSPMLTLLHMFFCA48CA
大安區,車位,臺北市大安區仁愛路四段421~450號,2.36,住,,,1050101,土地0建物0車位1,停車場，見使用執照,十三層,其他,見使用執照,鋼筋混凝土造,,19.7,0,0,0,有,有,1200000,,坡道平面,18.57,1200000,"坡平車位坪數不足,有佔用情事,由買方自行排除",RPPNMLLLLHMFFFA47CA
大安區,房地(土地+建物)+車位,臺北市大安區辛亥路二段31~60號,13.29,住,,,1050101,土地1建物2車位1,十八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780221,222.61,4,2,2,有,有,58000000,260545,坡道平面,33.09,0,,RPROMLRKLHMFFFA28CA
中山區,房地(土地+建物)+車位,臺北市中山區松江路188巷1~30號,16.06,其他,,,1050530,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050226,76.82,1,1,1,有,有,27744400,368984,坡道機械,7.32,2100000,,RPXQMLPLJILFFCA48CA
中山區,房地(土地+建物)+車位,臺北市中山區松江路188巷1~30號,24.3,其他,,,1050530,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050226,112.53,2,1,1,有,有,43459000,393299,升降機械,7.32,2080000,,RPRRMLPLJILFFCA97CA
中山區,房地(土地+建物)+車位,臺北市中山區松江路188巷1~30號,16.06,其他,,,1050713,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050226,76.82,1,1,1,有,有,28164800,375753,升降機械,7.32,2050000,,RPVQMLPLJILFFCA28CA
信義區,土地,吳興段三小段31~60地號,324.0,住,,,1051017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45000000,138889,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLOLLHMFFDA97DA
士林區,房地(土地+建物)+車位,臺北市士林區天母東路1~30號,78.44,商,,,1051125,土地2建物1車位4,二十九層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050920,698.65,0,0,0,無,有,328080000,533342,坡道平面,109.76,14000000,土地及建物分次登記案件。預售屋買賣，車位未個別拆價,RPQNMLNJJHMFFEA27CA
士林區,房地(土地+建物)+車位,臺北市士林區天母東路1~30號,78.79,商,,,1051128,土地2建物1車位4,二十九層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050920,700.9300000000001,0,0,0,無,有,332080000,539405,坡道平面,109.76,13200000,土地及建物分次登記案件。預售屋買賣，車位未個別拆價,RPTNMLNJJHMFFEA57CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段121~150號,59.45,商,,,1051108,土地1建物1車位6,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020102,875.46,4,2,6,有,有,212000000,317526,坡道平面,264.66,18055164,,RPSNMLLLLHMFFCA47CA
士林區,房地(土地+建物)+車位,臺北市士林區天母東路1~30號,129.1,商,,,1051122,土地2建物1車位5,三十七層，三十八層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050920,1139.26,0,0,0,無,有,649300000,627308,坡道平面,137.2,20700000,土地及建物分次登記案件，預售屋買賣，車位未個別拆價。,RPXOMLQJJHMFFEA38CA
大安區,房地(土地+建物)+車位,臺北市大安區瑞安街61~90號,60.51,住,,,1051101,土地1建物1車位4,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980910,401.22999999999996,3,2,2,有,有,113000000,281634,坡道平面,109.8,0,,RPSNMLRKLHMFFFA28CA
大安區,房地(土地+建物),臺北市大安區復興南路一段126巷1~30號,9.08,其他,,,1051001,土地10建物1車位0,五層,十二層,辦公商業大樓,見使用執照,鋼筋混凝土造,0701231,69.6,4,2,2,有,有,16500000,237069,,0.0,0,含增建或未登記建物。,RPPNMLLMKILFFFA57DA
大安區,房地(土地+建物),臺北市大安區安居街60巷1~30號,28.43,住,,,1051101,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671017,95.93,3,2,2,有,無,13060000,136141,,0.0,0,,RPVNMLKKJHMFFFA77DA
大安區,房地(土地+建物),臺北市大安區復興南路一段107巷1~30號,32.83,住,,,1051101,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710930,169.69,4,2,2,有,有,25000000,147327,,0.0,0,親友、員工或其他特殊關係間之交易。權利人2人,RPQNMLLLLHMFFFA67DA
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街31~60號,95.45,住,,,1051221,土地1建物1車位2,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041225,509.15999999999997,3,2,2,有,有,133270000,286854,坡道平面,66.88,6400000,,RPUPMLQJLHMFFCA18CA
松山區,房地(土地+建物)+車位,臺北市松山區慶城街31~60號,287.47,商,,,1051115,土地1建物4車位14,三層,十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1010903,2314.83,8,4,10,有,有,1049500000,558598,坡道平面,523.74,49000000,,RPPOMLRLLHMFFDA97CA
大安區,房地(土地+建物),臺北市大安區永康街47巷1~30號,3.44,住,,,1060101,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740125,20.689999999999998,6,4,4,有,無,2700000,130498,,0.0,0,地政士僅受託買賣案件申請登記，並無代理撰擬不動產買賣契約書，係由不動產經紀業或權利人自行提供成交案件實際資訊，供地政士申報登錄。包含地下室、親友、員工或其他特殊關係間之交易。,RPVNMLRKLHMFFFA58CA
萬華區,房地(土地+建物),臺北市萬華區漢口街二段91~120號,1.45,商,,,1060117,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0680206,11.76,0,0,0,無,有,1400000,118946,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLLLLHMFFBA57DA
信義區,房地(土地+建物),臺北市信義區吳興街269巷1~30號,24.75,商,,,1051214,土地2建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630122,77.52,3,1,2,有,無,9000000,116099,,0.0,0,本案為親屬間買賣移轉,RPUNMLNLLHMFFDA97CA
松山區,車位,臺北市松山區南京東路四段181~210號,4.16,商,,,1060123,土地0建物0車位1,地下一層,十四層,其他,見使用執照,鋼筋混凝土造,0730217,41.160000000000004,0,0,0,有,有,2900000,,坡道平面,0.0,2900000,,RPRPMLKLLHMFFDA57CA
松山區,車位,臺北市松山區寧安街68巷1~30號,0.08,商,,,1060120,土地0建物0車位2,一層,十五層,其他,見其他登記事項,鋼骨鋼筋混凝土造,0990831,4.77,0,0,0,有,有,2000000,,塔式車位,4.74,2000000,,RPXNMLLLLHMFFDA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖山莊街181~210號,23.04,住,,,1060104,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820729,106.83000000000001,2,2,1,有,有,12600000,117944,坡道平面,0.0,0,,RPPOMLMLLHMFFCA37CA
