編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTPMLTLLHMFFCA58CA,17,76.80,住家用,鋼筋混凝土造,87年5月6日,九層,五層
RPTPMLTLLHMFFCA58CA,17,13.91,共有部分,鋼筋混凝土造,87年5月6日,十層,
RPTPMLTLLHMFFCA58CA,17,26.57,共有部分,鋼筋混凝土造,87年5月6日,十層,
RPSPMLTLLHMFFCA48CA,17,82.98,住家用,鋼筋混凝土造,87年5月6日,八層,五層
RPSPMLTLLHMFFCA48CA,17,15.05,共有部分,鋼筋混凝土造,87年5月6日,十層,
RPSPMLTLLHMFFCA48CA,17,28.74,共有部分,鋼筋混凝土造,87年5月6日,十層,
RPPNMLLLLHMFFFA47CA,,18.57,見使用執照,鋼筋混凝土造,,十三層,停車場 見使用執照
RPPNMLLLLHMFFFA47CA,28,1.13,共有部分,鋼筋混凝土造,77年5月11日,十三層,
RPROMLRKLHMFFFA28CA,27,155.83,住家用,鋼筋混凝土造,78年2月21日,二十五層,十八層
RPROMLRKLHMFFFA28CA,27,33.69,共有部分,鋼筋混凝土造,78年2月21日,二十五層,
RPROMLRKLHMFFFA28CA,27,32.13,見使用執照,鋼筋混凝土造,78年2月21日,二十五層,地下三層
RPROMLRKLHMFFFA28CA,27,.96,共有部分,鋼筋混凝土造,78年2月21日,二十五層,
RPXQMLPLJILFFCA48CA,,40.40,住家用,鋼筋混凝土造,105年2月26日,六層,四層
RPXQMLPLJILFFCA48CA,,7.32,見其他登記事項,鋼筋混凝土造,105年2月26日,六層,
RPXQMLPLJILFFCA48CA,,29.11,見其他登記事項,鋼筋混凝土造,105年2月26日,六層,
RPRRMLPLJILFFCA97CA,,61.13,住家用,鋼筋混凝土造,105年2月26日,六層,五層
RPRRMLPLJILFFCA97CA,,7.32,見其他登記事項,鋼筋混凝土造,105年2月26日,六層,
RPRRMLPLJILFFCA97CA,,44.08,見其他登記事項,鋼筋混凝土造,105年2月26日,六層,
RPVQMLPLJILFFCA28CA,,40.40,住家用,鋼筋混凝土造,105年2月26日,六層,四層
RPVQMLPLJILFFCA28CA,,7.32,見其他登記事項,鋼筋混凝土造,105年2月26日,六層,
RPVQMLPLJILFFCA28CA,,29.11,見其他登記事項,鋼筋混凝土造,105年2月26日,六層,
RPQNMLNJJHMFFEA27CA,,381.75,住家用,見其他登記事項,105年9月20日,三十八層,二十九層
RPQNMLNJJHMFFEA27CA,,78.97,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPQNMLNJJHMFFEA27CA,,85.80,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPQNMLNJJHMFFEA27CA,,8.02,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPQNMLNJJHMFFEA27CA,,14.94,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPQNMLNJJHMFFEA27CA,,129.18,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPTNMLNJJHMFFEA57CA,,383.42,住家用,見其他登記事項,105年9月20日,三十八層,二十九層
RPTNMLNJJHMFFEA57CA,,78.97,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPTNMLNJJHMFFEA57CA,,86.41,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPTNMLNJJHMFFEA57CA,,8.02,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPTNMLNJJHMFFEA57CA,,14.94,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPTNMLNJJHMFFEA57CA,,129.18,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPSNMLLLLHMFFCA47CA,4,398.13,住家用,鋼骨鋼筋混凝土造,102年1月2日,十六層,十五層
RPSNMLLLLHMFFCA47CA,4,12.80,見其他登記事項,鋼骨鋼筋混凝土造,102年1月2日,十六層,
RPSNMLLLLHMFFCA47CA,4,79.70,見其他登記事項,鋼骨鋼筋混凝土造,102年1月2日,十六層,
RPSNMLLLLHMFFCA47CA,4,120.17,見其他登記事項,鋼骨鋼筋混凝土造,102年1月2日,十六層,
RPSNMLLLLHMFFCA47CA,4,35.95,見其他登記事項,鋼骨鋼筋混凝土造,102年1月2日,十六層,
RPSNMLLLLHMFFCA47CA,4,228.71,見其他登記事項,鋼骨鋼筋混凝土造,102年1月2日,十六層,
RPXOMLQJJHMFFEA38CA,,655.60,住家用,見其他登記事項,105年9月20日,三十八層,三十七層 三十八層
RPXOMLQJJHMFFEA38CA,,129.53,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPXOMLQJJHMFFEA38CA,,142.79,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPXOMLQJJHMFFEA38CA,,14.56,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPXOMLQJJHMFFEA38CA,,27.21,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPXOMLQJJHMFFEA38CA,,169.57,見其他登記事項,見其他登記事項,105年9月20日,三十八層,
RPSNMLRKLHMFFFA28CA,7,177.97,住家用,鋼骨鋼筋混凝土造,98年9月10日,十三層,十二層
RPSNMLRKLHMFFFA28CA,7,66.49,共有部分,鋼骨鋼筋混凝土造,98年9月10日,十三層,
RPSNMLRKLHMFFFA28CA,7,14.19,共有部分,鋼骨鋼筋混凝土造,98年9月10日,十三層,
RPSNMLRKLHMFFFA28CA,7,109.80,停車空間,鋼骨鋼筋混凝土造,98年9月10日,十三層,地下二層
RPSNMLRKLHMFFFA28CA,7,32.78,共有部分,鋼骨鋼筋混凝土造,98年9月10日,十三層,
RPPNMLLMKILFFFA57DA,35,51.26,見使用執照,鋼筋混凝土造,70年12月31日,十二層,五層
RPPNMLLMKILFFFA57DA,35,18.34,共有部分,鋼筋混凝土造,70年12月31日,十二層,
RPVNMLKKJHMFFFA77DA,38,95.93,住家用,鋼筋混凝土造,67年10月17日,五層,五層
RPQNMLLLLHMFFFA67DA,34,152.52,住家用,鋼筋混凝土造,71年9月30日,七層,五層
RPQNMLLLLHMFFFA67DA,34,17.17,共有部分,鋼筋混凝土造,71年9月30日,七層,
RPUPMLQJLHMFFCA18CA,1,299.56,住家用,鋼筋混凝土造,104年12月25日,十一層,十層
RPUPMLQJLHMFFCA18CA,1,163.72,見其他登記事項,鋼筋混凝土造,104年12月25日,十一層,
RPUPMLQJLHMFFCA18CA,1,45.88,見其他登記事項,鋼筋混凝土造,104年12月25日,十一層,
RPPOMLRLLHMFFDA97CA,4,14.43,見其他登記事項,見其他登記事項,101年9月3日,十五層,一層
RPPOMLRLLHMFFDA97CA,4,4.71,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,7.53,見其他登記事項,見其他登記事項,101年9月3日,十五層,一層
RPPOMLRLLHMFFDA97CA,4,2.47,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,31.66,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,581.77,住家用,見其他登記事項,101年9月3日,十五層,三層
RPPOMLRLLHMFFDA97CA,4,189.19,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,261.93,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,94.13,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,581.77,住家用,見其他登記事項,101年9月3日,十五層,三層
RPPOMLRLLHMFFDA97CA,4,189.19,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,261.93,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPPOMLRLLHMFFDA97CA,4,94.13,見其他登記事項,見其他登記事項,101年9月3日,十五層,
RPVNMLRKLHMFFFA58CA,32,11.62,住家用,鋼筋混凝土造,74年1月25日,五層,一層
RPVNMLRKLHMFFFA58CA,32,9.07,共有部分,鋼筋混凝土造,74年1月25日,五層,
RPTNMLLLLHMFFBA57DA,38,9.41,商業用,鋼筋混凝土造,68年2月6日,九層,五層
RPTNMLLLLHMFFBA57DA,38,1.69,共有部分,鋼筋混凝土造,68年2月6日,九層,
RPTNMLLLLHMFFBA57DA,38,.66,共有部分,鋼筋混凝土造,68年2月6日,九層,
RPUNMLNLLHMFFDA97CA,43,77.52,住家用,鋼筋混凝土造,63年1月22日,四層,三層 陽台
RPRPMLKLLHMFFDA57CA,33,39.49,見使用執照,鋼筋混凝土造,73年2月17日,十四層,地下一層
RPRPMLKLLHMFFDA57CA,33,1.67,共有部分,鋼筋混凝土造,73年2月17日,十四層,
RPXNMLLLLHMFFDA08CA,6,.17,見其他登記事項,鋼骨鋼筋混凝土造,99年8月31日,十五層,一層
RPXNMLLLLHMFFDA08CA,6,.03,見其他登記事項,鋼骨鋼筋混凝土造,99年8月31日,十五層,
RPXNMLLLLHMFFDA08CA,6,4.57,見其他登記事項,鋼骨鋼筋混凝土造,99年8月31日,十五層,
RPPOMLMLLHMFFCA37CA,23,33.58,見使用執照,鋼筋混凝土造,82年7月29日,十層,地下二層
RPPOMLMLLHMFFCA37CA,23,4.76,共有部分,鋼筋混凝土造,82年7月29日,十層,
RPPOMLMLLHMFFCA37CA,23,51.29,住家用,鋼筋混凝土造,82年7月29日,八層,八層
RPPOMLMLLHMFFCA37CA,23,17.20,共有部分,鋼筋混凝土造,82年7月29日,十層,
RPUOMLLLLHMFFAA57CA,,65.59,,鋼筋混凝土造,,四層,一層 平台
RPQNMLNLLHMFFEA67CA,1,32.74,見其他登記事項,鋼筋混凝土造,104年8月28日,十九層,九層
RPQNMLNLLHMFFEA67CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,十九層,
RPQNMLNLLHMFFEA67CA,1,16.55,見其他登記事項,鋼筋混凝土造,104年8月28日,十九層,
RPPNMLSKKHMFFFA97CA,,188.17,住家用,見其他登記事項,105年1月11日,二十三層,十六層
RPPNMLSKKHMFFFA97CA,,.74,見其他登記事項,見其他登記事項,105年1月11日,二十三層,
RPPNMLSKKHMFFFA97CA,,132.77,見其他登記事項,見其他登記事項,105年1月11日,二十三層,
RPQNMLSKKHMFFFA08CA,42,57.69,住家用,鋼筋混凝土造,63年9月4日,四層,一層
RPTNMLSKKHMFFFA38CA,4,.15,見其他登記事項,鋼筋混凝土造,101年11月13日,十三層,一層
RPTNMLSKKHMFFFA38CA,4,.02,見其他登記事項,鋼筋混凝土造,101年11月13日,十三層,
RPTNMLSKKHMFFFA38CA,4,.05,見其他登記事項,鋼筋混凝土造,101年11月13日,十三層,
RPTNMLSKKHMFFFA38CA,4,126.57,見其他登記事項,鋼筋混凝土造,101年11月13日,十三層,
RPTNMLSKKHMFFFA38CA,4,283.26,住家用,鋼筋混凝土造,101年11月13日,十三層,十二層
RPTNMLSKKHMFFFA38CA,4,49.75,見其他登記事項,鋼筋混凝土造,101年11月13日,十三層,
RPTNMLSKKHMFFFA38CA,4,88.40,見其他登記事項,鋼筋混凝土造,101年11月13日,十三層,
RPPOMLPKKHMFFFA77CA,,135.08,住家用,鋼筋混凝土造,,七層,五層 陽台
RPPNMLQKKHMFFFA77CA,,88.95,住家用,鋼筋混凝土造,,四層,三層
RPRNMLTKKHMFFAA87DA,24,.31,共有部分,鋼筋混凝土造,82年7月2日,五層,
RPRNMLTKKHMFFAA87DA,24,29.76,見使用執照,鋼筋混凝土造,82年7月2日,五層,地下二層
RPORMLRKKHMFFCA97DA,8,107.37,住家用,鋼筋混凝土造,97年11月19日,十三層,八層
RPORMLRKKHMFFCA97DA,8,45.13,共有部分,鋼筋混凝土造,97年11月19日,十三層,
RPORMLRKKHMFFCA97DA,8,27.93,停車空間,鋼筋混凝土造,97年11月19日,十三層,地下三層
RPORMLRKKHMFFCA97DA,8,47.93,共有部分,鋼筋混凝土造,97年11月19日,十三層,
RPSNMLLLKHMFFBA37DA,15,.35,見使用執照,鋼筋混凝土造,90年8月16日,十四層,一層
RPSNMLLLKHMFFBA37DA,15,8.53,共有部分,鋼筋混凝土造,90年8月16日,十四層,
RPSNMLLLKHMFFBA37DA,15,1.65,共有部分,鋼筋混凝土造,90年8月16日,十四層,
RPXNMLMJLHMFFBA87DA,13,134.14,住家用,鋼筋混凝土造,92年11月7日,十四層,五層
RPXNMLMJLHMFFBA87DA,13,36.29,共有部分,鋼筋混凝土造,92年11月7日,十四層,
RPXNMLMJLHMFFBA87DA,13,6.03,共有部分,鋼筋混凝土造,92年11月7日,十四層,
RPXNMLMJLHMFFBA87DA,13,57.67,共有部分,鋼筋混凝土造,92年11月7日,十四層,
RPPNMLSJLHMFFAA57DA,49,52.46,住家用,加強磚造,56年11月27日,二層,一層 二層
RPRNMLKLKHMFFCA27DA,8,29.25,商業用,鋼筋混凝土造,98年6月22日,十四層,八層
RPRNMLKLKHMFFCA27DA,8,5.89,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPRNMLKLKHMFFCA27DA,8,2.90,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPRNMLKLKHMFFCA27DA,8,7.47,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPRNMLKLKHMFFCA27DA,8,5.30,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPTOMLKLKHMFFCA57DA,33,98.04,住家用,鋼筋混凝土造,72年9月2日,五層,四層
RPSQMLNLKHMFFCA97DA,6,202.44,住家用,見其他登記事項,100年6月16日,十四層,十一層
RPSQMLNLKHMFFCA97DA,6,33.99,見其他登記事項,見其他登記事項,100年6月16日,十四層,
RPSQMLNLKHMFFCA97DA,6,4.57,見其他登記事項,見其他登記事項,100年6月16日,十四層,
RPSQMLNLKHMFFCA97DA,6,50.69,見其他登記事項,見其他登記事項,100年6月16日,十四層,
RPSQMLNLKHMFFCA97DA,6,27.94,見其他登記事項,鋼筋混凝土造,100年6月16日,十四層,
RPSQMLNLKHMFFCA97DA,6,62.14,見其他登記事項,見其他登記事項,100年6月16日,十四層,
RPWNMLRKKHMFFEA48CA,14,158.48,住家用,鋼筋混凝土造,92年1月30日,九層,二層
RPWNMLRKKHMFFEA48CA,14,88.00,共有部分,鋼筋混凝土造,92年1月30日,九層,
RPWNMLRKKHMFFEA48CA,14,13.48,共有部分,鋼筋混凝土造,92年1月30日,九層,
RPWNMLRKKHMFFEA48CA,14,40.83,共有部分,鋼筋混凝土造,92年1月30日,九層,
RPSNMLQKKHMFFEA97CA,40,86.37,住家用,鋼筋混凝土造,65年9月21日,四層,四層 陽台
RPOPMLQKKHMFFEA77CA,10,331.80,住家用,鋼筋混凝土造,96年6月25日,五層,三層
RPOPMLQKKHMFFEA77CA,10,102.34,共有部分,鋼筋混凝土造,96年6月25日,五層,
RPOPMLQKKHMFFEA77CA,10,37.95,共有部分,鋼筋混凝土造,96年6月25日,五層,
RPOPMLQKKHMFFEA77CA,10,24.89,共有部分,鋼筋混凝土造,96年6月25日,五層,
RPOPMLQKKHMFFEA77CA,10,99.01,共有部分,鋼筋混凝土造,96年6月25日,五層,
RPPNMLOLKHMFFDA47CA,21,41.34,見使用執照,鋼筋混凝土造,84年11月29日,十八層,地下三層
RPPNMLOLKHMFFDA47CA,21,9.90,共有部分,鋼筋混凝土造,84年11月29日,十八層,
RPPNMLOLKHMFFDA47CA,21,2.94,共有部分,鋼筋混凝土造,84年11月29日,十八層,
RPPNMLOLKHMFFDA47CA,21,.34,共有部分,鋼筋混凝土造,84年11月29日,十八層,
RPPNMLOLKHMFFDA47CA,21,122.27,住家用,鋼筋混凝土造,84年11月29日,十八層,十八層 電梯樓梯間
RPVNMLNJLHMFFDA87CA,,93.26,見其他登記事項,鋼筋混凝土造,,七層,二層
RPVNMLNJLHMFFDA87CA,,13.87,共有部分,鋼筋混凝土造,,七層,
RPPNMLKLKHMFFEA17CA,48,30.48,住家用,加強磚造,58年6月16日,四層,二層
RPSNMLKLKHMFFEA47CA,38,125.87,住家用,鋼筋混凝土造,67年10月17日,五層,一層
RPSNMLKLKHMFFEA47CA,38,125.87,住家用,鋼筋混凝土造,67年10月17日,五層,四層
RPSNMLKLKHMFFEA47CA,38,30.91,見使用執照,鋼筋混凝土造,67年10月17日,五層,地下層
RPROMLLLKHMFFEA57CA,14,182.25,住家用,鋼骨鋼筋混凝土造,91年8月21日,十四層,四層
RPROMLLLKHMFFEA57CA,14,29.48,共有部分,鋼骨鋼筋混凝土造,91年8月21日,十四層,
RPROMLLLKHMFFEA57CA,14,10.03,共有部分,鋼骨鋼筋混凝土造,91年8月21日,十四層,
RPROMLLLKHMFFEA57CA,14,80.62,共有部分,鋼骨鋼筋混凝土造,91年8月21日,十四層,
RPVOMLNLKHMFFEA18CA,32,39.21,住家用,鋼筋混凝土造,73年9月26日,五層,二層
RPVOMLNLKHMFFEA18CA,32,.70,共有部分,鋼筋混凝土造,73年9月26日,五層,
RPVOMLNLKHMFFEA18CA,32,.44,共有部分,鋼筋混凝土造,73年9月26日,五層,
RPUOMLQJLHMFFEA28CA,39,135.07,住家用,鋼筋混凝土造,66年8月4日,七層,五層
RPRNMLRKKHMFFBA67CA,47,75.78,住家用,加強磚造,59年1月30日,四層,四層
RPTNMLRKKHMFFBA87CA,10,50.44,住家用,鋼筋混凝土造,95年8月15日,九層,八層
RPTNMLRKKHMFFBA87CA,10,11.08,共有部分,鋼筋混凝土造,95年8月15日,九層,
RPTNMLRKKHMFFBA87CA,10,22.72,共有部分,鋼筋混凝土造,95年8月15日,九層,
