鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
信義區,建物,臺北市信義區虎林街164巷60弄1~30號,0.0,住,,,1060215,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,88.22,3,2,1,有,無,有,25000,283,,0.0,0,續約,RPOPMLPKKHMFFDA77CC
松山區,房地(土地+建物),臺北市松山區八德路三段241~270號,3.44,商,,,1060206,土地1建物1車位0,七層,12,辦公商業大樓,商業用,鋼筋混凝土造,0710907,44.66,0,0,0,無,無,無,14000,313,,0.0,0,,RPQOMLQKKHMFFDA97CC
松山區,建物,臺北市松山區復興北路427巷1~30號,0.0,住,,,1060121,土地0建物1車位0,四層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971013,29.22,1,1,1,有,有,有,18500,633,,0.0,0,,RPROMLQKKHMFFDA08CC
松山區,房地(土地+建物),臺北市松山區光復北路1~30號,6.97,商,,,1060124,土地9建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780216,60.96,0,1,1,有,有,無,22000,361,,0.0,0,,RPSOMLQKKHMFFDA18CC
南港區,房地(土地+建物)+車位,臺北市南港區園區街1~30號,265.2,工,,,1060210,土地1建物1車位7,十一層,21,廠辦,見使用執照,見其他登記事項,0920130,1314.96,0,0,0,無,有,無,530000,403,坡道平面,332.57,0,,RPUOMLQKKHMFFDA38CC
松山區,建物,臺北市松山區敦化北路61~90號,0.0,商,,,1060209,土地0建物1車位0,九層,14,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,0990531,520.17,0,0,0,無,無,有,369773,711,,0.0,0,租金含稅1060410-1060430租金258841；1060501-1090131租金369773；1090201-1111130租金380866,RPOPMLQKKHMFFDA87CC
松山區,建物,臺北市松山區八德路二段391~420號,0.0,商,,,1060201,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950823,79.27,2,2,2,有,有,有,60000,757,,0.0,0,含管理費,RPQPMLQKKHMFFDA08CC
南港區,建物,臺北市南港區向陽路196巷1~30號,0.0,住,,,1060216,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980514,238.60000000000002,4,2,2,有,有,無,43000,180,,0.0,0,,RPRPMLQKKHMFFDA18CC
大同區,房地(土地+建物),臺北市大同區赤峰街1~30號,49.0,住,,,1060202,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720129,166.46,4,3,4,有,無,無,70000,421,,0.0,0,,RPSNMLQKKHMFFBA87CC
大同區,建物,臺北市大同區民權西路121~150號,0.0,商,,,1060125,土地0建物1車位0,七層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970623,40.15,1,1,1,有,有,無,18000,448,,0.0,0,,RPUNMLQKKHMFFBA08CC
萬華區,建物,臺北市萬華區康定路91~120號,0.0,商,,,1060121,土地0建物1車位0,四層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,76.25999999999999,1,1,1,有,有,有,26000,341,,0.0,0,租金含管理費。,RPWNMLQKKHMFFBA28CC
士林區,建物,臺北市士林區芝玉路一段211~240號,0.0,住,,,1060201,土地0建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0971112,273.0,3,2,2,有,有,有,84800,311,,0.0,0,租金內含管理費。,RPWNMLQKKHMFFEA58CC
北投區,建物,臺北市北投區裕民六路121~150號,0.0,商,,,1060101,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860225,136.76999999999998,3,2,2,有,有,有,32000,234,,0.0,0,,RPROMLQKKHMFFEA18CC
內湖區,建物,臺北市內湖區民權東路六段280巷1~30號,28.0,住,,,1060108,土地0建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930927,213.0,4,2,2,有,無,有,46000,216,坡道平面,17.81,0,,RPQNMLQKKHMFFCA77CC
