編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOPMLPKKHMFFDA77CC,,88.22,住家用,鋼筋混凝土造,,四層,
RPQOMLQKKHMFFDA97CC,34,44.66,商業用,鋼筋混凝土造,71年9月7日,十二層,
RPROMLQKKHMFFDA08CC,8,20.62,住家用,鋼筋混凝土造,97年10月13日,十一層,
RPROMLQKKHMFFDA08CC,8,8.60,共有部分,鋼筋混凝土造,97年10月13日,十一層,
RPSOMLQKKHMFFDA18CC,28,60.96,住家用,鋼筋混凝土造,78年2月16日,十二層,
RPUOMLQKKHMFFDA38CC,14,404.78,共有部分,見其他登記事項,92年5月30日,二十一層,
RPUOMLQKKHMFFDA38CC,14,910.18,見使用執照,見其他登記事項,92年1月30日,二十一層,
RPOPMLQKKHMFFDA87CC,7,394.43,見其他登記事項,鋼骨鋼筋混凝土造,99年5月31日,十四層,
RPOPMLQKKHMFFDA87CC,7,65.38,見其他登記事項,鋼骨鋼筋混凝土造,99年5月31日,十四層,
RPOPMLQKKHMFFDA87CC,7,60.36,見其他登記事項,鋼骨鋼筋混凝土造,99年5月31日,十四層,
RPQPMLQKKHMFFDA08CC,10,60.08,見其他登記事項,鋼筋混凝土造,95年8月23日,十三層,
RPQPMLQKKHMFFDA08CC,10,9.45,共有部分,鋼筋混凝土造,95年8月23日,十三層,
RPQPMLQKKHMFFDA08CC,10,9.74,共有部分,鋼筋混凝土造,95年8月23日,十三層,
RPRPMLQKKHMFFDA18CC,8,134.62,住家用,鋼筋混凝土造,98年5月14日,七層,
RPRPMLQKKHMFFDA18CC,8,32.81,共有部分,鋼筋混凝土造,98年5月14日,七層,
RPRPMLQKKHMFFDA18CC,8,29.41,共有部分,鋼筋混凝土造,98年5月14日,七層,
RPRPMLQKKHMFFDA18CC,8,41.76,共有部分,鋼筋混凝土造,98年5月14日,七層,
RPSNMLQKKHMFFBA87CC,34,166.46,住商用,鋼筋混凝土造,72年1月29日,四層,
RPUNMLQKKHMFFBA08CC,9,27.27,住家用,鋼筋混凝土造,97年6月23日,十四層,
RPUNMLQKKHMFFBA08CC,9,12.88,共有部分,鋼筋混凝土造,97年6月23日,十四層,
RPWNMLQKKHMFFBA28CC,1,50.22,住家用,見其他登記事項,105年3月31日,二十六層,
RPWNMLQKKHMFFBA28CC,1,26.04,見其他登記事項,見其他登記事項,105年3月31日,二十六層,
RPWNMLQKKHMFFEA58CC,8,144.05,住家用,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPWNMLQKKHMFFEA58CC,8,6.70,共有部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
RPWNMLQKKHMFFEA58CC,8,23.67,共有部分,鋼骨鋼筋混凝土造,97年11月12日,十八層,
