編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPOPMLPKKHMFFDA77CC,信義段二小段,.00,都市：住
RPQOMLQKKHMFFDA97CC,美仁段二小段,3.44,都市：商
RPROMLQKKHMFFDA08CC,敦化段四小段,.00,都市：住
RPSOMLQKKHMFFDA18CC,美仁段二小段,.21,都市：商
RPSOMLQKKHMFFDA18CC,美仁段二小段,.54,都市：住
RPSOMLQKKHMFFDA18CC,美仁段二小段,1.47,都市：商
RPSOMLQKKHMFFDA18CC,美仁段二小段,1.41,都市：住
RPSOMLQKKHMFFDA18CC,美仁段二小段,.69,都市：商
RPSOMLQKKHMFFDA18CC,美仁段二小段,.17,都市：商
RPSOMLQKKHMFFDA18CC,美仁段二小段,1.49,都市：商
RPSOMLQKKHMFFDA18CC,美仁段二小段,.54,都市：商
RPSOMLQKKHMFFDA18CC,美仁段二小段,.45,都市：商
RPUOMLQKKHMFFDA38CC,經貿段,265.20,都市：工
RPOPMLQKKHMFFDA87CC,敦化段二小段,.00,都市：商
RPOPMLQKKHMFFDA87CC,敦化段二小段,.00,都市：商
RPOPMLQKKHMFFDA87CC,敦化段二小段,.00,都市：商
RPQPMLQKKHMFFDA08CC,敦化段二小段,.00,都市：商
RPRPMLQKKHMFFDA18CC,向陽段,.00,都市：住
RPSNMLQKKHMFFBA87CC,圓環段一小段,49.00,都市：住
RPUNMLQKKHMFFBA08CC,雙連段二小段,.00,都市：商
RPWNMLQKKHMFFBA28CC,漢中段三小段,.00,都市：商
RPWNMLQKKHMFFEA58CC,芝蘭段四小段,.00,都市：住
RPROMLQKKHMFFEA18CC,振興段二小段,.00,都市：商
RPQNMLQKKHMFFCA77CC,東湖段三小段,28.00,都市：住
RPTNMLQKKHMFFCA08CC,西湖段四小段,.00,都市：工
RPXNMLQKKHMFFCA48CC,潭美段五小段,.00,都市：其他
RPOOMLQKKHMFFCA67CC,正義段一小段,.00,都市：商
RPOOMLQKKHMFFCA67CC,正義段一小段,.00,都市：商
RPPOMLQKKHMFFCA77CC,德惠段四小段,.00,都市：商
RPQOMLQKKHMFFCA87CC,長安段一小段,.00,都市：商
RPROMLQKKHMFFCA97CC,金泰段,.00,都市：商
RPSOMLQKKHMFFCA08CC,長春段三小段,.00,都市：商
RPOPMLQKKHMFFCA77CC,文德段五小段,.00,都市：工
RPPPMLQKKHMFFCA87CC,吉林段四小段,.00,都市：商
RPQPMLQKKHMFFCA97CC,長安段三小段,.00,都市：住
RPSPMLQKKHMFFCA18CC,吉林段一小段,.00,都市：住
RPTPMLQKKHMFFCA28CC,吉林段四小段,.00,都市：商
RPTPMLQKKHMFFCA28CC,吉林段四小段,.00,都市：商
RPXPMLQKKHMFFCA68CC,正義段二小段,.00,都市：商
RPXPMLQKKHMFFCA68CC,正義段二小段,.00,都市：商
RPOQMLQKKHMFFCA87CC,長安段三小段,.00,都市：其他
RPOQMLQKKHMFFCA87CC,長安段三小段,.00,都市：商
RPOQMLQKKHMFFCA87CC,長安段三小段,.00,都市：商
RPSQMLQKKHMFFCA28CC,長安段三小段,.00,都市：商
RPSQMLQKKHMFFCA28CC,長安段三小段,.00,都市：商
RPUNMLQKKHMFFFA48CC,辛亥段四小段,.00,都市：住
RPVNMLQKKHMFFFA58CC,金華段二小段,.00,都市：住
RPVNMLQKKHMFFFA58CC,金華段二小段,.00,都市：住
RPXNMLRKKHMFFCA58CC,長安段四小段,.00,都市：商
RPXNMLRKKHMFFCA58CC,長安段四小段,.00,都市：商
RPOOMLRKKHMFFCA77CC,德惠段四小段,.00,都市：商
RPSOMLRKKHMFFCA18CC,金泰段,.00,都市：住
RPUOMLRKKHMFFCA38CC,中山段二小段,.00,都市：商
RPXOMLRKKHMFFCA68CC,榮星段七小段,.00,都市：住
RPOPMLRKKHMFFCA87CC,金泰段,.00,都市：商
RPOQMLRKKHMFFCA97CC,東湖段五小段,.00,都市：住
RPRQMLRKKHMFFCA28CC,吉林段三小段,53.40,都市：商
RPSNMLRKKHMFFEA28CC,蘭雅段一小段,.00,都市：工
RPVNMLRKKHMFFEA58CC,天山段二小段,.00,都市：住
RPRPMLRKKHMFFEA38CC,奇岩段三小段,.00,都市：住
RPSPMLRKKHMFFEA48CC,開明段二小段,.00,都市：住
RPWPMLRKKHMFFEA88CC,振興段三小段,.00,都市：住
RPPNMLRKKHMFFBA67CC,市府段二小段,.00,都市：商
RPQNMLRKKHMFFBA77CC,市府段二小段,.00,都市：商
RPSNMLRKKHMFFBA97CC,直興段三小段,.00,都市：商
RPRNMLRKKHMFFDA08CC,三興段三小段,.00,都市：住
RPRNMLRKKHMFFDA08CC,三興段三小段,.00,都市：住
RPWNMLRKKHMFFDA58CC,信義段三小段,.00,都市：其他
RPROMLRKKHMFFDA18CC,西松段一小段,43.74,都市：商
