編號,車位類別,車位價格,車位面積平方公尺
RPUOMLQKKHMFFDA38CC,坡道平面,0,47.51
RPUOMLQKKHMFFDA38CC,坡道平面,0,47.51
RPUOMLQKKHMFFDA38CC,坡道平面,0,47.51
RPUOMLQKKHMFFDA38CC,坡道平面,0,47.51
RPUOMLQKKHMFFDA38CC,坡道平面,0,47.51
RPUOMLQKKHMFFDA38CC,坡道平面,0,47.51
RPUOMLQKKHMFFDA38CC,坡道平面,0,47.51
RPQNMLQKKHMFFCA77CC,坡道平面,0,17.81
RPTNMLQKKHMFFCA08CC,坡道平面,0,
RPTNMLQKKHMFFCA08CC,坡道平面,0,
RPXNMLQKKHMFFCA48CC,坡道平面,0,
RPSOMLQKKHMFFCA08CC,坡道平面,0,33.45
RPSOMLQKKHMFFCA08CC,坡道平面,0,33.45
RPOPMLQKKHMFFCA77CC,坡道平面,0,35.52
RPSQMLQKKHMFFCA28CC,坡道平面,0,
RPSQMLQKKHMFFCA28CC,坡道平面,0,
RPSQMLQKKHMFFCA28CC,坡道平面,0,
RPSOMLRKKHMFFCA18CC,升降機械,0,20.80
RPOPMLRKKHMFFCA87CC,坡道平面,0,51.92
RPSPMLRKKHMFFEA48CC,坡道平面,0,36.17
RPUOMLSKKHMFFCA48CC,坡道平面,0,45.08
RPWNMLTKKHMFFCA68CC,坡道平面,0,
RPVOMLKLKHMFFCA87CC,坡道平面,0,
RPWPMLKLKHMFFCA08CC,坡道平面,0,55.67
RPWPMLKLKHMFFCA08CC,坡道平面,0,55.67
RPWPMLKLKHMFFCA08CC,坡道平面,0,55.67
RPPQMLKLKHMFFCA47CC,坡道平面,3000,30.78
RPPQMLKLKHMFFCA47CC,坡道平面,3000,30.78
RPPQMLKLKHMFFCA47CC,坡道平面,3000,35.81
RPPQMLKLKHMFFCA47CC,坡道平面,3000,35.81
RPPQMLKLKHMFFCA47CC,坡道平面,3000,35.81
RPPQMLKLKHMFFCA47CC,坡道平面,3000,35.81
RPTQMLKLKHMFFCA87CC,坡道平面,0,81.66
RPQNMLLLKHMFFCA37CC,坡道平面,0,32.03
RPQNMLLLKHMFFCA37CC,坡道平面,0,32.03
RPQPMLLLKHMFFCA57CC,坡道平面,0,
RPRPMLLLKHMFFCA67CC,坡道平面,0,39.18
RPVNMLMLKHMFFDA08CC,坡道平面,0,
RPXNMLMLKHMFFDA28CC,坡道機械,0,
RPOPMLMLKHMFFCA47CC,坡道平面,0,
RPQRMLMLKHMFFCA87CC,坡道平面,0,42.43
RPQRMLMLKHMFFCA87CC,坡道平面,0,42.43
RPTRMLMLKHMFFCA18CC,坡道平面,0,61.65
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPVRMLMLKHMFFCA38CC,坡道平面,0,
RPXRMLMLKHMFFCA58CC,坡道平面,0,41.32
RPWPMLNLKHMFFCA38CC,其他,0,18.90
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPQMLNLKHMFFCA77CC,坡道平面,0,
RPPOMLNLKHMFFBA47CC,升降機械,0,31.35
RPOPMLOLKHMFFDA77CC,坡道平面,0,
RPTPMLOLKHMFFDA28CC,坡道平面,0,45.47
RPTPMLOLKHMFFDA28CC,升降平面,0,39.17
RPWOMLOLKHMFFEA58CC,坡道平面,0,
RPVOMLOLKHMFFCA28CC,坡道平面,0,
RPVOMLOLKHMFFCA28CC,坡道平面,0,
RPTPMLOLKHMFFCA18CC,塔式車位,0,15.29
RPXNMLOLKHMFFFA68CC,坡道平面,0,
RPSOMLLJLHMFFEA77CC,坡道平面,0,
RPVOMLLJLHMFFDA97CC,坡道平面,0,42.43
RPVOMLLJLHMFFDA97CC,坡道平面,0,42.43
RPVOMLLJLHMFFCA87CC,坡道平面,0,
RPQPMLLJLHMFFCA47CC,升降機械,0,25.57
RPVNMLMJLHMFFFA18CC,坡道平面,0,52.41
RPWPMLMJLHMFFCA18CC,坡道平面,0,33.18
RPWPMLMJLHMFFCA18CC,坡道平面,0,33.18
