鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中區,房地(土地+建物),臺中市中區民族路61~90號,891.0,商,,,1050905,土地6建物4車位0,全,三層,透天厝,商業用,見其他登記事項,0550611,1346.5,16,5,8,有,無,147000000,109172,,0.0,0,,RPRPMLMJKILFFAB27CA
南區,房地(土地+建物)+車位,臺中市南區學府路61~90號,16.48,住,,,1060105,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000729,102.95,1,1,1,有,有,6300000,61195,坡道機械,15.68,0,,RPPNMLSKKHMFFAB57CA
西區,房地(土地+建物)+車位,臺中市西區中興街271~300號,14.01,商,,,1060123,土地1建物1車位1,二十六層,三十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0990202,307.97,4,3,2,有,有,29350000,95301,坡道平面,17.06,0,,RPROMLKLKHMFFAB17CA
西區,房地(土地+建物)+車位,臺中市西區向上路一段91~120號,22.79,商,,,1060101,土地13建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870107,271.83,4,2,2,有,有,18660000,68646,坡道平面,15.21,0,,RPRPMLKLKHMFFAB27CA
中區,房地(土地+建物),臺中市中區中山路61~90號,70.0,商,,,1060113,土地2建物1車位0,一層，二層，三層，四層，騎樓,四層,店面(店鋪),商業用,見其他登記事項,,263.79,0,1,0,有,無,14500000,54968,,0.0,0,含增建,RPUSMLMLKHMFFAB08CA
西區,房地(土地+建物)+車位,臺中市西區五廊街91~120號,51.58,住,,,1060106,土地2建物1車位2,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041016,233.25,3,2,2,有,有,16480000,70654,坡道平面,66.94,0,,RPOOMLLJLHMFFAB86CA
東區,房地(土地+建物)+車位,臺中市東區建成路721~750號,9.48,住,,,1051217,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870323,100.24000000000001,2,1,1,有,有,4200000,41899,升降機械,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLOJLHMFFAB17CA
南區,房地(土地+建物),臺中市南區國光路134巷1~30號,11.7,住,,,1060121,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790113,106.38000000000001,2,1,2,有,有,4666000,43862,,0.0,0,,RPPPMLRJLHMFFAB67CA
西區,房地(土地+建物)+車位,臺中市西區中美街121~150號,36.07,住,,,1060101,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050629,221.87,3,2,2,有,有,21350000,96228,坡道平面,26.46,0,總價款包含裝潢及家電,RPPOMLKKLHMFFAB96CA
南區,土地,樹子腳段991~1020地號,102.0,其他,,,1051227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2771870,27175,,0.0,0,(包含)公共設施保留地之交易。,RPXPMLQKLHMFFAB48CA
南區,土地,樹子腳段991~1020地號,68.0,其他,,,1051227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1847910,27175,,0.0,0,(包含)公共設施保留地之交易。,RPOQMLQKLHMFFAB67CA
北區,房地(土地+建物)+車位,臺中市北區太原一街1~30號,18.1,住,,,1060119,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050426,110.53,3,2,2,有,有,7120000,64417,坡道機械,11.55,0,,RPOQMLRKKHMFFBB77CA
北區,房地(土地+建物)+車位,臺中市北區東成三街211~240號,19.21,住,,,1060101,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820806,116.19,3,2,2,有,有,5100000,43894,坡道平面,0.0,0,,RPQQMLRKKHMFFBB97CA
北屯區,房地(土地+建物),臺中市北屯區和祥三街151~180號,281.67,住,,,1050531,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041023,395.59,5,2,6,有,無,63250000,159888,,0.0,0,,RPQNMLSKKHMFFBB77CA
北區,房地(土地+建物),臺中市北區梅川東路三段121~150號,39.56,住,,,1060119,土地2建物3車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680813,244.52,3,1,3,有,無,6500000,26583,,0.0,0,,RPPOMLSKKHMFFBB77CA
北屯區,房地(土地+建物),臺中市北屯區綏遠路二段61~90號,10.44,商,,,1060116,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750925,50.7,1,1,1,有,無,1600000,31558,,0.0,0,含增建或未登記建物。,RPQOMLKLKHMFFBB17CA
北屯區,房地(土地+建物),臺中市北屯區軍福十三路121~150號,13.76,住,,,1060122,土地1建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030915,69.67,2,2,2,有,有,4200000,60284,,0.0,0,1.本案屬於二親等間之買賣案件。,RPSPMLKLKHMFFBB47CA
北區,房地(土地+建物),臺中市北區太原五街1~30號,6.8,住,,,1051231,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791121,47.55,2,1,1,有,有,2500000,52576,,0.0,0,,RPPNMLLLKHMFFBB07CA
北區,房地(土地+建物)+車位,臺中市北區五權路361~390號,11.03,商,,,1060117,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980908,154.56,3,2,2,有,有,10820000,69985,坡道平面,18.53,1300000,含增建或未登記建物。,RPUNMLKLKHMFFBB47CA
