編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRPMLMJKILFFAB27CA,,335.56,商業用,磚造,,二層,一層 二層 騎樓
RPRPMLMJKILFFAB27CA,55,321.53,住家用,見其他登記事項,50年8月15日,二層,一層 二層
RPRPMLMJKILFFAB27CA,50,345.93,商業用,見其他登記事項,55年6月11日,三層,一層 二層 三層 騎樓 地下層
RPRPMLMJKILFFAB27CA,,343.48,商業用,磚造,,二層,一層 二層 騎樓
RPPNMLSKKHMFFAB57CA,5,60.25,見其他登記事項,鋼筋混凝土造,100年7月29日,十四層,五層
RPPNMLSKKHMFFAB57CA,5,31.16,見其他登記事項,鋼筋混凝土造,100年7月29日,十四層,
RPPNMLSKKHMFFAB57CA,5,11.54,見其他登記事項,鋼筋混凝土造,100年7月29日,十四層,
RPROMLKLKHMFFAB17CA,7,202.69,見其他登記事項,見其他登記事項,99年2月2日,三十四層,二十六層
RPROMLKLKHMFFAB17CA,7,68.24,見其他登記事項,見其他登記事項,99年2月2日,三十四層,
RPROMLKLKHMFFAB17CA,7,37.04,見其他登記事項,見其他登記事項,99年2月2日,三十四層,
RPRPMLKLKHMFFAB27CA,19,191.25,住家用,鋼筋混凝土造,87年1月7日,十四層,十三層
RPRPMLKLKHMFFAB27CA,19,80.58,共有部分,鋼筋混凝土造,87年1月7日,十四層,
RPUSMLMLKHMFFAB08CA,,263.79,商業用,見其他登記事項,,四層,一層 二層 三層 四層 騎樓
RPOOMLLJLHMFFAB86CA,1,112.44,見其他登記事項,鋼筋混凝土造,104年10月16日,十一層,八層
RPOOMLLJLHMFFAB86CA,1,120.81,見其他登記事項,鋼筋混凝土造,104年10月16日,十一層,
RPPNMLOJLHMFFAB17CA,19,62.10,住家用,鋼筋混凝土造,87年3月23日,十四層,四層
RPPNMLOJLHMFFAB17CA,19,12.83,共有部分,鋼筋混凝土造,87年3月23日,十四層,
