編號,車位類別,車位價格,車位面積平方公尺
RPPNMLSKKHMFFAB57CA,坡道機械,0,15.68
RPROMLKLKHMFFAB17CA,坡道平面,0,17.06
RPRPMLKLKHMFFAB27CA,坡道平面,0,15.21
RPOOMLLJLHMFFAB86CA,坡道平面,0,33.47
RPOOMLLJLHMFFAB86CA,坡道平面,0,33.47
RPPNMLOJLHMFFAB17CA,升降機械,0,
RPPOMLKKLHMFFAB96CA,坡道平面,0,26.46
RPOQMLRKKHMFFBB77CA,坡道機械,0,11.55
RPQQMLRKKHMFFBB97CA,坡道平面,0,
RPUNMLKLKHMFFBB47CA,坡道平面,1300000,18.53
RPXOMLMLKHMFFBB08CA,坡道機械,750000,26.17
RPVPMLMLKHMFFBB97CA,坡道平面,0,34.66
RPTOMLNLKHMFFBB77CA,坡道機械,0,
RPOPMLNLKHMFFBB37CA,坡道平面,1200000,32.82
RPOPMLNLKHMFFBB37CA,坡道平面,1400000,32.82
RPOPMLNLKHMFFBB37CA,坡道平面,1400000,32.82
RPPPMLNLKHMFFBB47CA,坡道平面,1300000,32.82
RPPPMLNLKHMFFBB47CA,坡道平面,1300000,32.82
RPQPMLNLKHMFFBB57CA,坡道平面,1200000,32.82
RPQPMLNLKHMFFBB57CA,坡道平面,1200000,32.82
RPXQMLOLKHMFFBB48CA,坡道平面,0,27.42
RPXQMLOLKHMFFBB48CA,坡道平面,0,27.42
RPORMLOLKHMFFBB67CA,坡道平面,0,27.42
RPORMLOLKHMFFBB67CA,坡道平面,0,27.42
RPRNMLQLKHMFFBB77CA,坡道機械,0,8.99
RPRNMLQLKHMFFBB77CA,坡道機械,0,8.99
RPUNMLLJLHMFFBB47CA,坡道機械,0,
RPTPMLNJLHMFFBB77CA,坡道平面,1000000,24.92
RPOPMLPJLHMFFBB47CA,坡道平面,1200000,31.48
RPPPMLPJLHMFFBB57CA,坡道平面,1350000,31.48
RPQPMLPJLHMFFBB67CA,坡道平面,0,31.48
RPQPMLPJLHMFFBB67CA,坡道平面,0,31.48
RPRPMLSJLHMFFBB08CA,坡道平面,580000,13.32
RPRNMLTJLHMFFBB97CA,坡道機械,0,
RPUNMLRKKHMFFCB18CA,坡道平面,0,21.71
RPXPMLKLKHMFFCB08CA,坡道機械,800000,
RPOPMLLLKHMFFCB27CA,坡道平面,0,22.48
RPOPMLLLKHMFFCB27CA,坡道平面,0,14.96
RPUOMLMLKHMFFCB87CA,坡道機械,0,7.78
RPWNMLNLKHMFFCB08CA,坡道平面,0,19.93
RPPOMLNJLHMFFCB37CA,坡道平面,900000,
RPXQMLQJLHMFFCB68CA,坡道機械,0,
RPTNMLRJLHMFFCB08CA,坡道平面,0,34.70
RPTNMLRJLHMFFCB08CA,坡道平面,0,34.70
RPPTMLRJLHMFFCB28CA,升降機械,0,
RPQTMLRJLHMFFCB38CA,坡道平面,0,26.98
RPQTMLRJLHMFFCB38CA,坡道平面,0,26.98
RPQQMLNKLHMFFCB77CA,坡道平面,1500000,22.35
RPXNMLQKLHMFFCB48CA,坡道機械,0,
RPPOMLQKLHMFFCB77CA,坡道平面,0,
RPRNMLSJLHMFFAL78CA,升降機械,0,
RPTNMLKKLHMFFCL48CA,坡道平面,0,
RPXNMLLJLHMFFGL66CA,坡道平面,0,36.04
RPXNMLLJLHMFFGL66CA,坡道平面,0,36.04
RPTNMLNJLHMFFGL09CA,坡道機械,0,9.03
RPOOMLRJLHMFFGL09CA,坡道平面,0,23.89
RPWNMLQKLHMFFGL17CA,其他,0,19.83
RPTNMLLLKHMFFHL09CA,坡道平面,1000000,26.46
RPUNMLKKLHMFFHL09CA,坡道平面,1000000,31.86
RPVNMLKKLHMFFHL56CA,坡道平面,1000000,31.86
RPWNMLKKLHMFFHL66CA,坡道平面,1000000,31.86
RPXNMLKKLHMFFHL76CA,坡道平面,0,31.86
RPXNMLKKLHMFFHL76CA,坡道平面,0,31.86
RPOOMLKKLHMFFHL58CA,坡道平面,1150000,31.86
RPUPMLKLKHMFFAB77EA,坡道平面,700000,15.05
RPOPMLKKLHMFFBB17DA,坡道平面,0,13.75
RPOPMLKKLHMFFBB17DA,坡道平面,0,13.75
RPOPMLKKLHMFFBB17DA,坡道平面,0,13.75
RPUOMLMLKHMFFGL66CA,坡道平面,0,31.38
RPPOMLNLKHMFFGL88CA,坡道機械,0,13.22
RPXNMLLJLHMFFFL56CA,坡道平面,1000000,34.20
RPWOMLNJLHMFFCL09CA,坡道平面,0,
RPWPMLNJLHMFFCL56CA,坡道平面,0,
RPPPMLNJLHMFFCL48CA,坡道平面,0,
RPTPMLNJLHMFFCL88CA,坡道平面,0,
RPRNMLSJLHMFFCL98CA,坡道平面,0,
RPSNMLSJLHMFFCL09CA,坡道平面,0,
RPSOMLOJLHMFFCL78CA,坡道平面,0,
RPOOMLLJLHMFFAL87CA,坡道平面,1100000,
RPWNMLNKLHMFFCB08CA,坡道平面,0,19.27
RPRPMLSJLHMFFCB18CA,升降機械,0,10.00
RPVPMLOLKHMFFCB28CA,坡道平面,1500000,23.35
RPVPMLOLKHMFFCB28CA,坡道平面,1500000,23.35
RPQQMLMJLHMFFCB57CA,坡道平面,0,20.92
RPQQMLMJLHMFFCB57CA,坡道平面,0,22.90
RPXPMLNLKHMFFCB38CA,坡道平面,0,23.14
RPUNMLNLKHMFFCB87CA,坡道機械,0,
RPXNMLNLKHMFFCB18CA,坡道平面,0,32.40
RPOOMLNLKHMFFCB37CA,坡道平面,0,32.40
RPPOMLNLKHMFFCB47CA,坡道平面,0,32.40
RPQOMLNLKHMFFCB57CA,坡道平面,0,32.40
RPXOMLMLKHMFFCB18CA,坡道平面,0,34.99
RPXOMLMLKHMFFCB18CA,坡道平面,0,34.99
RPOQMLKLKHMFFCB27CA,坡道平面,0,
RPUNMLTKKHMFFCB38CA,坡道機械,0,
RPPOMLQKLHMFFBB67CA,坡道平面,0,
RPPOMLQKLHMFFBB67CA,坡道平面,0,
RPUNMLPKLHMFFBB97CA,坡道機械,0,
RPPRMLOLKHMFFBB77CA,坡道平面,900000,28.14
RPQRMLMLKHMFFBB67CA,坡道機械,0,17.08
RPOOMLNLKHMFFBB27CA,坡道平面,0,
RPOPMLMLKHMFFBB27CA,坡道平面,0,32.69
RPSNMLMLKHMFFBB47CA,坡道平面,0,
RPSNMLMLKHMFFBB47CA,坡道平面,0,
RPUOMLKLKHMFFBB57CA,坡道平面,1000000,28.14
RPRNMLKLKHMFFBB17CA,坡道平面,850000,23.72
RPOQMLOKLHMFFAB47CA,坡道平面,800000,
RPTNMLTJLHMFFAB08CA,坡道平面,0,29.75
RPTNMLQJLHMFFAB77CA,升降機械,0,
RPTNMLQJLHMFFAB77CA,升降機械,0,
RPTNMLQJLHMFFAB77CA,升降機械,0,
RPTNMLQJLHMFFAB77CA,升降機械,0,
RPTNMLQJLHMFFAB77CA,升降機械,0,
RPTNMLQJLHMFFAB77CA,升降機械,0,
RPROMLRJLHMFFAB77CA,坡道平面,0,20.41
RPVOMLRJLHMFFAB18CA,坡道機械,0,
RPSOMLMJLHMFFAB37CA,坡道平面,0,
RPPPMLLLKHMFFAB17CA,坡道平面,1000000,34.12
RPSRMLMLKHMFFAB77CA,坡道機械,0,17.63
