鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西區,房地(土地+建物),臺中市西區健行路991~1020號,75.0,商,,,1051212,土地1建物1車位0,全,2,透天厝,住家用,見其他登記事項,,110.45,0,0,0,無,無,無,58000,525,,0.0,0,58000元含稅第四年至第六年租金調3%,RPPOMLOKKILFFAB57DC
西屯區,房地(土地+建物),臺中市西屯區甘肅路一段1~30號,75.0,住,,,1051121,土地1建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0660819,234.92,0,0,0,無,無,無,33000,140,,0.0,0,,RPXNMLPKKILFFCB58DC
西區,房地(土地+建物),臺中市西區精誠22街1~30號,109.0,住,,,1051212,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0750514,144.02,4,2,3,有,無,無,33000,229,,0.0,0,,RPPNMLPKKILFFAB47CC
西屯區,房地(土地+建物),臺中市西屯區福中二街10巷1~30號,99.0,住,,,1051130,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0780721,282.09,4,2,5,有,無,無,30000,106,,0.0,0,租金含稅金及二代健保,RPUQMLRKKILFFCB78DC
北屯區,房地(土地+建物),臺中市北屯區東山路二段61~90號,217.97,其他,,,1051124,土地2建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0830823,321.57,8,4,7,有,無,無,40000,124,,0.0,0,,RPVOMLTKKILFFBB78DC
北屯區,房地(土地+建物),臺中市北屯區松竹路二段451~480號,10.61,住,,,1051209,土地1建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0811023,112.31,2,2,1,有,有,無,17000,151,,0.0,0,此租賃標的為樓店,RPQPMLTKKILFFBB28CC
西屯區,建物,臺中市西屯區河南路二段361~390號,0.0,住,,,1051128,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0771110,210.89,13,0,13,有,無,無,26000,123,,0.0,0,承租部分面積,RPPPMLTKKILFFCB28CC
南屯區,房地(土地+建物),臺中市南屯區五權西路二段211~240號,1373.0,住,,,1050929,土地3建物1車位0,見其他登記事項,1,店面(店鋪),住商用,鋼造,0780111,351.5,0,0,0,無,無,無,250000,711,,0.0,0,,RPXNMLLLKILFFCB18CC
北區,建物,臺中市北區錦新街1~30號,0.0,住,,,1051205,土地0建物1車位0,見其他登記事項,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0940520,133.10999999999999,0,2,1,有,無,無,42000,316,,0.0,0,,RPOOMLLLKILFFBB27CC
龍井區,房地(土地+建物),臺中市龍井區中央路一段238巷1~30號,98.0,住,,,1051215,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1040225,217.5,6,2,3,有,無,無,25000,115,,0.0,0,,RPRNMLNLKILFFIL86DC
北屯區,建物,臺中市北屯區崇德路三段121~150號,0.0,住,,,1051130,土地0建物1車位1,見其他登記事項,21,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050427,203.92000000000002,0,2,1,有,有,無,82000,402,坡道平面,28.13,0,,RPROMLQLKILFFBB08CC
南屯區,房地(土地+建物),臺中市南屯區干城街196巷31~60號,52.0,住,,,1051209,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640806,61.6,3,2,2,有,無,有,22500,365,,0.0,0,,RPTOMLRLKILFFCB48CC
西區,房地(土地+建物),臺中市西區五權路2之211~240號,80.0,商,,,1051215,土地1建物1車位0,全,4,透天厝,商業用,見其他登記事項,0631129,287.04,1,4,3,有,無,無,23000,80,,0.0,0,,RPPPMLTLKILFFAB28DC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝馬七街1~30號,19.77,住,,,1051212,土地1建物1車位1,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840414,77.46,4,2,3,有,無,無,33000,426,其他,0.0,0,,RPXOMLNJJHMFFCB28DC
南屯區,房地(土地+建物),臺中市南屯區文心路一段511~540號,84.0,住,,,1051215,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0761110,260.38,6,2,3,有,無,無,47679,183,,0.0,0,承租人於給付時扣取稅款與健保補充保費.,RPOPMLPJJHMFFCB67DC
南屯區,房地(土地+建物),臺中市南屯區公益路二段391~420號,1863.9,住,,,1051130,土地1建物1車位0,見其他登記事項,3,其他,見其他登記事項,鋼筋混凝土造,0880601,2096.8,0,0,0,無,無,有,650000,310,,0.0,0,"前三年每月租金新台幣65萬元(含稅),第四年至第五年一月止,每月租金新台幣70萬元(含稅),汽車旅館",RPQOMLPJJHMFFCB67CC
南屯區,房地(土地+建物),臺中市南屯區永春東路1351~1380號,68.0,住,,,1051229,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0851218,155.53,4,3,3,有,無,有,30000,193,,0.0,0,,RPTNMLQJJHMFFCB97CC
西屯區,房地(土地+建物),臺中市西屯區杏林路83巷1~30號,75.0,住,,,1060101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0610501,99.14,2,2,2,有,無,有,18000,182,,0.0,0,,RPQOMLTJJHMFFCB08CC
南屯區,房地(土地+建物),臺中市南屯區大墩路241~270號,81.0,住,,,1060104,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0730216,175.04,4,2,4,有,無,有,45000,257,,0.0,0,,RPVPMLTJJHMFFCB68CC
北區,建物,臺中市北區崇德路一段571~600號,0.0,住,,,1051219,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0740625,353.17,4,4,5,有,無,無,56000,159,,0.0,0,,RPWOMLTJJHMFFBB58CC
西區,房地(土地+建物),臺中市西區忠明南路31~60號,213.0,住,,,1051227,土地4建物1車位0,全,1,透天厝,商業用,鋼造,0780601,138.24,0,0,0,無,無,有,63000,456,,0.0,0,,RPPOMLTJJHMFFAB87DC
