編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLOKKILFFAB57DC,,110.45,住家用,見其他登記事項,,二層,
RPXNMLPKKILFFCB58DC,39,234.92,住商用,鋼筋混凝土造,66年8月19日,四層,
RPPNMLPKKILFFAB47CC,31,144.02,住家用,加強磚造,75年5月14日,二層,
RPUQMLRKKILFFCB78DC,27,282.09,住商用,鋼筋混凝土造,78年7月21日,三層,
RPVOMLTKKILFFBB78DC,22,321.57,住商用,鋼筋混凝土造,83年8月23日,二層,
RPQPMLTKKILFFBB28CC,24,96.08,住商用,鋼筋混凝土造,81年10月23日,十二層,
RPQPMLTKKILFFBB28CC,24,16.23,共有部分,鋼筋混凝土造,81年10月23日,十二層,
RPPPMLTKKILFFCB28CC,28,210.89,住商用,鋼筋混凝土造,77年11月10日,四層,
RPXNMLLLKILFFCB18CC,28,351.50,住商用,鋼造,78年1月11日,一層,
RPOOMLLLKILFFBB27CC,12,110.80,見其他登記事項,鋼筋混凝土造,94年5月20日,五層,
RPOOMLLLKILFFBB27CC,12,22.31,共有部分,鋼筋混凝土造,94年5月20日,五層,
RPRNMLNLKILFFIL86DC,2,217.50,住家用,鋼筋混凝土造,104年2月25日,四層,
RPROMLQLKILFFBB08CC,1,128.33,見其他登記事項,鋼筋混凝土造,105年4月27日,二十一層,
RPROMLQLKILFFBB08CC,1,75.59,見其他登記事項,鋼筋混凝土造,105年4月27日,二十一層,
RPTOMLRLKILFFCB48CC,41,61.60,住家用,加強磚造,64年8月6日,二層,
RPPPMLTLKILFFAB28DC,42,287.04,商業用,見其他登記事項,63年11月29日,四層,
RPXOMLNJJHMFFCB28DC,22,77.46,見其他登記事項,鋼筋混凝土造,84年4月14日,四層,
RPOPMLPJJHMFFCB67DC,29,260.38,見其他登記事項,鋼筋混凝土造,76年11月10日,四層,
RPQOMLPJJHMFFCB67CC,17,2096.80,見其他登記事項,鋼筋混凝土造,88年6月1日,三層,
RPTNMLQJJHMFFCB97CC,20,155.53,見其他登記事項,鋼筋混凝土造,85年12月18日,三層,
RPQOMLTJJHMFFCB08CC,45,99.14,住家用,加強磚造,61年5月1日,二層,
