鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
仁愛區,建物,基隆市仁愛區南新街51巷1~30號,0.0,,,,1051125,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700128,76.44,3,1,1,有,無,1400000,18315,,0.0,0,,RPUNMLNJJHMFFBC57CA
信義區,建物,基隆市信義區東明路181~210號,0.0,,,,1050726,土地0建物1車位0,一層,一層,其他,住家用,磚造,0440801,29.79,2,1,1,有,無,382715,12847,,0.0,0,政府和市民協議價購之案件,RPVNMLNJJHMFFBC67CA
仁愛區,建物,基隆市仁愛區仁二路137巷2弄1~30號,0.0,,,,1051220,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0651020,57.77,3,2,1,有,無,1000000,17310,,0.0,0,土地為市府租任契約無權狀,RPQNMLMKJHMFFBC17CA
仁愛區,建物,基隆市仁愛區南新街51巷31~60號,0.0,,,,1051216,土地0建物1車位0,一層，停車場,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700611,79.34,3,2,2,有,無,2152600,27131,,0.0,0,,RPPOMLKLJHMFFBC07CA
中正區,建物,基隆市中正區豐稔街91~120號,0.0,,,,1051214,土地0建物1車位0,,,住宅大樓(11層含以上有電梯),,,,11.96,0,0,0,無,有,200000,16722,,0.0,0,本交易為儲藏室(公設)之買賣。,RPOOMLNLJHMFFBC27CA
仁愛區,建物,基隆市仁愛區南新街211~240號,0.0,,,,1051223,土地0建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680820,78.55,2,1,1,有,無,1800000,22915,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPTNMLMKJHMFFBC47CA
仁愛區,建物,基隆市仁愛區龍安街31~60號,0.0,,,,1051213,土地0建物1車位0,一層,一層,店面(店鋪),住家用,木造,0340101,70.52,0,0,0,無,無,2000000,28361,,0.0,0,土地向鐵路局承租,RPUNMLQKJHMFFBC97CA
信義區,建物,基隆市信義區義六路34巷61~90號,0.0,,,,1060104,土地0建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660730,53.59,2,2,1,有,無,1250000,23325,,0.0,0,含增建或未登記建物。,RPSNMLTKJHMFFBC18DA
仁愛區,建物,基隆市仁愛區孝一路91~120號,0.0,,,,1060112,土地0建物2車位0,三層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0671124,100.73,1,1,1,有,有,2600000,25812,,0.0,0,兩戶打通。,RPROMLTJKHMFFBC08CA
信義區,房地(土地+建物),基隆市信義區深澳坑路172巷31~60號,23.6,住,,,1051231,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870608,87.75,3,2,2,有,無,2900000,33048,,0.0,0,,RPUNMLTJKHMFFBC28CA
中正區,土地,調和段481~510地號,75.09,其他,,,1060210,土地201建物0車位0,,,其他,,,,0.0,0,0,0,有,無,488000,6499,,0.0,0,,RPTNMLLLKHMFFBC57CA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街451~480號,23.43,其他,,,1060209,土地3建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,145.97,3,2,2,有,有,5450000,37336,坡道平面,0.0,0,,RPRNMLRKKHMFFBC87CA
信義區,房地(土地+建物),基隆市信義區東光路205巷31~60號,24.37,住,,,1060109,土地6建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841116,80.5,3,1,1,有,有,2100000,26087,,0.0,0,,RPSNMLNLKHMFFBC67CA
信義區,房地(土地+建物),基隆市信義區仁一路1~30號,19.8,商,,,1051231,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730530,92.53,3,2,1,有,無,5500000,59440,,0.0,0,,RPWNMLQJLHMFFBC28CA
信義區,房地(土地+建物),基隆市信義區仁一路1~30號,19.8,商,,,1051231,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730530,92.53,3,2,1,有,無,5500000,59440,,0.0,0,,RPXNMLQJLHMFFBC38CA
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街263巷31~60號,32.17,住,,,1060120,土地3建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810528,141.76,3,2,3,有,有,4250000,29978,坡道平面,36.27,0,,RPQNMLKLKHMFFCC27CA
暖暖區,土地,暖暖段暖暖小段271~300地號,62.63,住,,,1060123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3220000,51413,,0.0,0,,RPXNMLKLKHMFFCC97CA
安樂區,房地(土地+建物),基隆市安樂區麥金路361~390號,6.96,住,,,1060108,土地3建物1車位0,十四層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,71.64,2,1,1,有,有,5300000,73981,,0.0,0,,RPSNMLNLKHMFFCC77CA
信義區,房地(土地+建物),基隆市信義區深澳坑路2巷1~30號,17.0,住,,,1060206,土地4建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850426,96.45,3,2,2,有,有,3160000,32763,,0.0,0,,RPPNMLQJLHMFFBC77EA
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街8巷1~30號,22.38,其他,,,1060117,土地4建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840504,153.07999999999998,3,2,2,有,有,5970000,38999,坡道平面,0.0,0,,RPRNMLRKKHMFFCC18EA
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街181~210號,28.61,住,,,1060121,土地7建物2車位1,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800826,194.54,4,2,2,有,有,6000000,30842,坡道平面,43.61,0,,RPXNMLMJLHMFFCC08CA
七堵區,房地(土地+建物)+車位,基隆市七堵區百六街83巷1~30號,42.14,其他,,,1060116,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870713,138.5,3,1,2,有,有,5600000,40433,坡道平面,38.79,0,,RPTNMLNJLHMFFCC77CA
安樂區,房地(土地+建物),基隆市安樂區新西街207巷31~60號,38.46,住,,,1051231,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670906,84.94,3,2,1,有,無,2400000,28255,,0.0,0,,RPSOMLQJLHMFFCC08CA
安樂區,房地(土地+建物),基隆市安樂區安樂路一段69巷31~60號,27.45,住,,,1060208,土地2建物2車位0,地下層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701208,95.52,4,3,3,有,無,6100000,63861,,0.0,0,為併案申報。含增建或未登記建物。,RPUNMLTJLHMFFCC48CA
暖暖區,房地(土地+建物),基隆市暖暖區八堵路20巷1~30號,30.83,住,,,1060116,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0901004,119.72999999999999,3,1,2,有,有,4400000,36749,,0.0,0,,RPROMLMLKHMFFCC67CA
暖暖區,車位,基隆市暖暖區八堵路1~30號,0.59,住,,,1060116,土地0建物0車位1,,,其他,,,,30.56,0,0,0,有,有,600000,,坡道平面,30.55,600000,,RPSOMLMLKHMFFCC77CA
中山區,房地(土地+建物),基隆市中山區協和街121~150號,43.02,住,,,1060124,土地2建物1車位0,二層,二層,公寓(5樓含以下無電梯),,加強磚造,0621205,53.8,3,2,1,有,無,1260000,23420,,0.0,0,含增建或未登記建物。,RPWNMLMLKHMFFCC08CA
安樂區,房地(土地+建物),基隆市安樂區武嶺街301~330號,18.52,住,,,1060203,土地4建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850216,68.66,2,1,1,有,有,2300000,33498,,0.0,0,,RPPOMLMLKHMFFCC47CA
七堵區,房地(土地+建物),基隆市七堵區百五街61~90號,22.77,商,,,1060115,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691231,97.59,3,2,1,有,無,6600000,67630,,0.0,0,含增建或未登記建物。,RPTNMLKLKHMFFCC57CA
仁愛區,土地,南新段511~540地號,21.5,住,,,1060208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,37209,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLOKLHMFFBC47CA
七堵區,房地(土地+建物)+車位,基隆市七堵區大華一路121~150號,46.03,住,,,1051223,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010613,168.12,3,2,2,有,有,9010000,55846,坡道平面,26.48,1100000,,RPPNMLSKKHMFFCC87CA
安樂區,房地(土地+建物),基隆市安樂區麥金路151~180號,11.98,住,,,1060202,土地8建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,102.21000000000001,3,2,2,有,有,5400000,52832,,0.0,0,,RPOOMLSKKHMFFCC87CA
七堵區,土地,溪頭段151~180地號,36.28,其他,,,1060123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1633574,45027,,0.0,0,,RPPNMLKLKHMFFCC17CA
信義區,房地(土地+建物),基隆市信義區深澳坑路168巷48弄31~60號,34.44,住,,,1060111,土地1建物1車位0,三層，夾層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840610,111.41,3,1,2,有,無,2300000,20644,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLTJLHMFFBC08CA
中正區,房地(土地+建物),基隆市中正區觀海街211~240號,12.42,住,,,1060116,土地2建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,65.27,2,1,1,有,有,2000000,30642,,0.0,0,,RPSNMLSKKHMFFBC08CA
仁愛區,建物,基隆市仁愛區南新街301~330號,0.0,,,,1060124,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681109,84.42,3,1,1,有,無,300000,3554,,0.0,0,本案無土地所有權，土地為市有土地，親友、員工或其他特殊關係間之交易。,RPPNMLMLKHMFFBC27CA
信義區,房地(土地+建物),基隆市信義區崇法街79巷1~30號,71.0,住,,,1060118,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570628,83.34,2,2,2,有,無,2600000,31198,,0.0,0,含增建或未登記建物。,RPPNMLLLKHMFFBC17CA
仁愛區,房地(土地+建物),基隆市仁愛區龍安街31~60號,31.67,商,,,1060208,土地3建物2車位0,防空避難室,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0711215,136.25,8,1,2,有,無,2020000,14826,,0.0,0,含增建或未登記建物。,RPXNMLKLKHMFFBC87CA
信義區,房地(土地+建物),基隆市信義區東峰街1~30號,84.13,住,,,1060108,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0650413,130.8,2,2,1,有,無,3900000,29817,,0.0,0,,RPUNMLMLKHMFFBC77CA
中正區,房地(土地+建物),基隆市中正區武昌街1~30號,24.68,商,,,1060210,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740619,124.19,3,2,2,有,無,4280000,34463,,0.0,0,,RPOOMLQJLHMFFBC57CA
中正區,房地(土地+建物),基隆市中正區中正路301~330號,21.9,住,,,1060102,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670907,68.4,2,2,1,有,無,2000000,29240,,0.0,0,含增建或未登記建物。,RPQNMLRJLHMFFBC77CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區八堵路185巷91~120號,32.66,住,,,1051222,土地1建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850402,138.04000000000002,3,2,2,有,有,3800000,27528,坡道平面,0.0,0,,RPRNMLKLKHMFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區麥金路151~180號,7.99,住,,,1051210,土地8建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,70.13,2,2,1,有,有,3550000,50620,,0.0,0,,RPSNMLKLKHMFFCC47CA
安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷61~90號,29.46,住,,,1060123,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,122.12,3,2,2,有,有,3800000,31117,,0.0,0,,RPWNMLKLKHMFFCC87CA
中山區,房地(土地+建物),基隆市中山區復興路241~270號,36.97,住,,,1051230,土地4建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0651105,71.7,3,2,1,有,無,2800000,39052,,0.0,0,,RPOOMLKLKHMFFCC17CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街61~90號,48.56,住,,,1051213,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721125,71.27,0,0,0,無,無,3600000,50512,,0.0,0,,RPVNMLSJLHMFFCC48CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街211~240號,23.26,住,,,1060209,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,108.8,3,2,2,有,有,2850000,26195,,0.0,0,,RPRNMLOLKHMFFCC77CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區暖暖街281巷1~30號,34.91,住,,,1051230,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021204,185.05,3,2,2,有,有,10800000,58363,坡道平面,34.65,0,,RPQOMLMJLHMFFCC47CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金二路1巷151~180號,34.59,住,,,1060203,土地1建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811103,235.64999999999998,4,2,2,有,有,7800000,33100,坡道平面,0.0,0,,RPVNMLMLKHMFFCC97CA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷12弄1~30號,24.72,住,,,1051230,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840124,99.78999999999999,3,2,1,有,無,2860000,28660,,0.0,0,,RPOOMLNLKHMFFCC47CA
中山區,建物,基隆市中山區中山二路1巷61~90號,0.0,,,,1060124,土地0建物1車位0,全,一層,透天厝,,木造,,22.96,2,2,2,有,無,550000,23955,,0.0,0,含增建或未登記建物。,RPUNMLKKLHMFFCC87EA
