編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNJJHMFFBC57CA,36,76.44,住家用,鋼筋混凝土造,70年1月28日,四層,三層
RPVNMLNJJHMFFBC67CA,61,29.79,住家用,磚造,44年8月1日,一層,一層
RPQNMLMKJHMFFBC17CA,40,57.77,住家用,鋼筋混凝土加強磚造,65年10月20日,四層,四層
RPPOMLKLJHMFFBC07CA,36,79.34,住家用,鋼筋混凝土造,70年6月11日,四層,一層 停車場
RPOOMLNLJHMFFBC27CA,1,11.96,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,七層
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPTNMLMKJHMFFBC47CA,37,78.55,住家用,鋼筋混凝土造,68年8月20日,四層,一層
RPUNMLQKJHMFFBC97CA,72,70.52,住家用,木造,34年1月1日,一層,一層
RPSNMLTKJHMFFBC18DA,39,53.59,住家用,鋼筋混凝土加強磚造,66年7月30日,四層,三層
RPROMLTJKHMFFBC08CA,38,39.52,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPROMLTJKHMFFBC08CA,38,11.20,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,11.05,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,38.95,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPUNMLTJKHMFFBC28CA,19,81.66,住家用,鋼筋混凝土造,87年6月8日,五層,三層
RPUNMLTJKHMFFBC28CA,19,6.09,共用部份,鋼筋混凝土造,87年6月8日,五層,
RPRNMLRKKHMFFBC87CA,19,90.99,住家用,鋼筋混凝土造,86年11月21日,十八層,十四層
RPRNMLRKKHMFFBC87CA,19,12.71,共用部份,鋼筋混凝土造,86年11月21日,十八層,
RPRNMLRKKHMFFBC87CA,19,8.10,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPRNMLRKKHMFFBC87CA,19,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPSNMLNLKHMFFBC67CA,21,71.35,住家用,鋼筋混凝土造,84年11月16日,五層,五層
RPSNMLNLKHMFFBC67CA,21,9.15,共用部份,鋼筋混凝土造,84年11月16日,五層,
RPWNMLQJLHMFFBC28CA,33,92.53,住家用,鋼筋混凝土造,73年5月30日,五層,二層
RPXNMLQJLHMFFBC38CA,33,92.53,住家用,鋼筋混凝土造,73年5月30日,五層,三層
RPQNMLKLKHMFFCC27CA,25,101.27,住家用,鋼筋混凝土造,81年5月28日,五層,五層
RPQNMLKLKHMFFCC27CA,25,4.22,共用部份,鋼筋混凝土造,81年5月28日,五層,
RPQNMLKLKHMFFCC27CA,25,36.27,見其他登記事項,鋼筋混凝土造,81年5月28日,五層,地下二層
RPSNMLNLKHMFFCC77CA,1,50.51,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,十四層
RPSNMLNLKHMFFCC77CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPSNMLNLKHMFFCC77CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPSNMLNLKHMFFCC77CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSNMLNLKHMFFCC77CA,1,.49,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPSNMLNLKHMFFCC77CA,1,20.63,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPNMLQJLHMFFBC77EA,21,87.64,住家用,鋼筋混凝土造,85年4月26日,十六層,十六層
RPPNMLQJLHMFFBC77EA,21,8.81,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPRNMLRKKHMFFCC18EA,22,111.94,住家用,鋼筋混凝土造,84年5月4日,十七層,五層
RPRNMLRKKHMFFCC18EA,22,41.14,共用部份,鋼筋混凝土造,84年5月4日,十七層,
RPXNMLMJLHMFFCC08CA,25,43.61,見其他登記事項,鋼筋混凝土造,80年8月26日,十七層,地下一層
RPXNMLMJLHMFFCC08CA,25,123.39,住家用,鋼筋混凝土造,80年8月26日,十七層,十一層
RPXNMLMJLHMFFCC08CA,25,17.18,共用部份,鋼筋混凝土造,80年8月26日,十七層,
RPXNMLMJLHMFFCC08CA,25,10.36,共用部份,鋼筋混凝土造,80年8月26日,十七層,
RPTNMLNJLHMFFCC77CA,19,88.57,住家用,鋼筋混凝土造,87年7月13日,五層,五層
RPTNMLNJLHMFFCC77CA,19,11.14,共用部份,鋼筋混凝土造,87年7月13日,五層,
RPTNMLNJLHMFFCC77CA,19,38.79,共用部份,鋼筋混凝土造,87年7月13日,五層,
RPSOMLQJLHMFFCC08CA,38,84.94,住家用,鋼筋混凝土造,67年9月6日,四層,四層
RPUNMLTJLHMFFCC48CA,35,46.01,住家用,鋼筋混凝土造,70年12月8日,四層,一層
RPUNMLTJLHMFFCC48CA,35,49.51,住家用,鋼筋混凝土造,70年12月8日,四層,地下層
RPROMLMLKHMFFCC67CA,15,99.69,住家用,鋼筋混凝土造,90年10月4日,五層,五層
RPROMLMLKHMFFCC67CA,15,7.20,共用部份,鋼筋混凝土造,90年10月4日,五層,
RPROMLMLKHMFFCC67CA,15,12.84,共用部份,鋼筋混凝土造,90年10月4日,五層,
RPSOMLMLKHMFFCC77CA,15,30.56,共用部份,鋼筋混凝土造,90年10月4日,五層,
RPWNMLMLKHMFFCC08CA,43,53.80,,加強磚造,62年12月5日,二層,二層
RPPOMLMLKHMFFCC47CA,21,57.13,住家用,鋼筋混凝土造,85年2月16日,七層,七層
RPPOMLMLKHMFFCC47CA,21,11.53,共用部份,鋼筋混凝土造,85年2月16日,七層,
RPTNMLKLKHMFFCC57CA,36,97.59,住家用,鋼筋混凝土造,69年12月31日,五層,二層
RPPNMLSKKHMFFCC87CA,5,105.55,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,二層
RPPNMLSKKHMFFCC87CA,5,41.99,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,
RPPNMLSKKHMFFCC87CA,5,17.40,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,
RPPNMLSKKHMFFCC87CA,5,3.18,見其他登記事項,鋼筋混凝土造,101年6月13日,七層,
RPOOMLSKKHMFFCC87CA,20,78.04,住家用,鋼筋混凝土造,86年7月18日,十二層,十層
RPOOMLSKKHMFFCC87CA,20,1.97,共用部份,鋼筋混凝土造,86年7月18日,四層,
RPOOMLSKKHMFFCC87CA,20,11.26,共用部份,鋼筋混凝土造,86年7月18日,十二層,
RPOOMLSKKHMFFCC87CA,20,10.94,共用部份,鋼筋混凝土造,86年7月18日,十二層,
RPRNMLTJLHMFFBC08CA,22,104.63,見其他登記事項,鋼筋混凝土造,84年6月10日,四層,三層 夾層
RPRNMLTJLHMFFBC08CA,22,5.25,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPRNMLTJLHMFFBC08CA,22,1.53,共用部份,鋼筋混凝土造,84年6月10日,五層,
RPSNMLSKKHMFFBC08CA,18,50.49,住家用,鋼筋混凝土造,88年1月14日,十六層,十三層
RPSNMLSKKHMFFBC08CA,18,9.31,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKKHMFFBC08CA,18,.64,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKKHMFFBC08CA,18,2.96,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKKHMFFBC08CA,18,1.25,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLSKKHMFFBC08CA,18,.61,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPNMLMLKHMFFBC27CA,37,84.42,住家用,鋼筋混凝土造,68年11月9日,四層,四層
RPPNMLLLKHMFFBC17CA,49,83.34,住家用,加強磚造,57年6月28日,二層,一層 二層
RPXNMLKLKHMFFBC87CA,34,74.12,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPXNMLKLKHMFFBC87CA,34,62.13,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPUNMLMLKHMFFBC77CA,41,130.80,住商用,加強磚造,65年4月13日,二層,一層 二層 騎樓
RPOOMLQJLHMFFBC57CA,32,113.76,住家用,鋼筋混凝土造,74年6月19日,五層,三層
RPOOMLQJLHMFFBC57CA,32,10.43,共用部份,鋼筋混凝土造,74年6月19日,五層,
RPQNMLRJLHMFFBC77CA,38,68.40,住家用,鋼筋混凝土加強磚造,67年9月7日,五層,五層
RPRNMLKLKHMFFCC37CA,21,91.04,住家用,鋼筋混凝土造,85年4月2日,六層,一層
RPRNMLKLKHMFFCC37CA,21,37.57,共用部份,鋼筋混凝土造,85年4月2日,六層,
RPRNMLKLKHMFFCC37CA,21,9.43,共用部份,鋼筋混凝土造,85年4月2日,六層,
RPSNMLKLKHMFFCC47CA,19,53.40,住家用,鋼筋混凝土造,86年7月18日,十二層,九層
RPSNMLKLKHMFFCC47CA,19,1.31,共用部份,鋼筋混凝土造,86年7月18日,四層,
RPSNMLKLKHMFFCC47CA,19,6.36,共用部份,鋼筋混凝土造,86年7月18日,十二層,
RPSNMLKLKHMFFCC47CA,19,9.06,共用部份,鋼筋混凝土造,86年7月18日,十二層,
RPWNMLKLKHMFFCC87CA,21,100.97,住家用,鋼筋混凝土造,85年3月22日,七層,六層
RPWNMLKLKHMFFCC87CA,21,5.92,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPWNMLKLKHMFFCC87CA,21,15.22,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPOOMLKLKHMFFCC17CA,40,71.70,住家用,鋼筋混凝土加強磚造,65年11月5日,四層,三層
RPVNMLSJLHMFFCC48CA,33,71.27,住家用,鋼筋混凝土造,72年11月25日,四層,一層
RPRNMLOLKHMFFCC77CA,22,40.06,住家用,鋼筋混凝土造,84年8月8日,六層,四層
RPRNMLOLKHMFFCC77CA,22,6.73,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPRNMLOLKHMFFCC77CA,22,40.06,住家用,鋼筋混凝土造,84年8月8日,六層,四層
RPRNMLOLKHMFFCC77CA,22,7.60,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPRNMLOLKHMFFCC77CA,22,6.73,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPRNMLOLKHMFFCC77CA,22,7.60,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPQOMLMJLHMFFCC47CA,3,105.69,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,十層
RPQOMLMJLHMFFCC47CA,3,34.66,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,
RPQOMLMJLHMFFCC47CA,3,25.04,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,
RPQOMLMJLHMFFCC47CA,3,19.67,見其他登記事項,鋼筋混凝土造,102年12月4日,十四層,
RPVNMLMLKHMFFCC97CA,24,141.90,住家用,鋼筋混凝土造,81年11月3日,十七層,二層
RPVNMLMLKHMFFCC97CA,24,63.70,共用部份,鋼筋混凝土造,81年11月3日,十七層,
RPVNMLMLKHMFFCC97CA,24,30.05,見其他登記事項,鋼筋混凝土造,81年11月3日,十七層,地下三層
RPOOMLNLKHMFFCC47CA,22,84.28,住家用,鋼筋混凝土造,84年1月24日,五層,二層
RPOOMLNLKHMFFCC47CA,22,12.60,共用部份,鋼筋混凝土造,84年1月24日,五層,
RPOOMLNLKHMFFCC47CA,22,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPUNMLKKLHMFFCC87EA,,22.96,,木造,,一層,一層
RPPNMLKLLHMFFCC27CA,7,95.04,住家用,鋼筋混凝土造,98年6月24日,十二層,七層
RPPNMLKLLHMFFCC27CA,7,48.84,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPPNMLKLLHMFFCC27CA,7,23.85,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPQNMLLJLHMFFCC27CA,1,86.17,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,七層
RPQNMLLJLHMFFCC27CA,1,4.80,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPQNMLLJLHMFFCC27CA,1,43.23,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPQNMLLJLHMFFCC27CA,1,42.95,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPRNMLLJLHMFFCC37CA,35,83.23,住家用,鋼筋混凝土造,70年11月16日,五層,四層
RPXNMLNLKHMFFCC28CA,20,87.57,住家用,鋼筋混凝土造,86年4月1日,五層,三層
RPXNMLNLKHMFFCC28CA,20,18.19,共用部份,鋼筋混凝土造,86年4月1日,五層,
RPXNMLNLKHMFFCC28CA,22,3.37,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPRNMLLLKHMFFCC67EA,40,36.36,住家用,鋼筋混凝土造,66年1月7日,四層,二層
RPQOMLKLKHMFFCC37CA,21,98.60,住家用,鋼筋混凝土造,85年3月22日,七層,五層
RPQOMLKLKHMFFCC37CA,21,6.12,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPQOMLKLKHMFFCC37CA,21,15.22,共用部份,鋼筋混凝土造,85年3月22日,七層,
RPTNMLMLKHMFFCC77CA,29,1.25,共用部份,鋼筋混凝土造,76年12月31日,五層,
RPTNMLMLKHMFFCC77CA,29,91.69,住家用,鋼筋混凝土造,76年12月31日,五層,五層
RPTNMLMLKHMFFCC77CA,29,3.00,共用部份,鋼筋混凝土造,76年12月31日,五層,
RPTNMLMLKHMFFCC77CA,29,3.00,共用部份,鋼筋混凝土造,76年12月31日,五層,
RPSNMLTJLHMFFBC18CA,22,40.41,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPVNMLMLKHMFFBC87CA,40,119.28,住家用,鋼筋混凝土加強磚造,66年4月7日,六層,四層
RPWNMLMLKHMFFBC97CA,,49.60,住家用,磚造,,一層,一層
