編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUNMLTJKHMFFBC28CA,基瑞段,20.60,都市：住
RPUNMLTJKHMFFBC28CA,基瑞段,2.99,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.03,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.03,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.07,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.34,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.00,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.00,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.08,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.01,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.01,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.01,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.03,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.01,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.04,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.40,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.16,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.25,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.14,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.16,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.08,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.04,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.14,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.01,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.01,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.00,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.89,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.00,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.03,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.00,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.01,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.04,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.96,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.03,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.02,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.08,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.04,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.03,都市：住
RPTNMLLLKHMFFBC57CA,調和段,.63,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.02,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.30,都市：其他
RPTNMLLLKHMFFBC57CA,調和段,.76,都市：其他
