編號,車位類別,車位價格,車位面積平方公尺
RPRNMLRKKHMFFBC87CA,坡道平面,0,
RPQNMLKLKHMFFCC27CA,坡道平面,0,36.27
RPRNMLRKKHMFFCC18EA,坡道平面,0,
RPXNMLMJLHMFFCC08CA,坡道平面,0,43.61
RPTNMLNJLHMFFCC77CA,坡道平面,0,38.79
RPSOMLMLKHMFFCC77CA,坡道平面,600000,30.55
RPPNMLSKKHMFFCC87CA,坡道平面,1100000,26.48
RPRNMLKLKHMFFCC37CA,坡道平面,0,
RPQOMLMJLHMFFCC47CA,坡道平面,0,34.65
RPVNMLMLKHMFFCC97CA,坡道平面,0,
RPPNMLKLLHMFFCC27CA,坡道平面,1000000,32.04
RPQNMLLJLHMFFCC27CA,坡道平面,1300000,42.95
RPSNMLTJLHMFFBC18CA,坡道平面,550000,40.41
RPQNMLMLKHMFFBC37CA,坡道平面,0,
RPTNMLNLKHMFFBC77CA,坡道平面,0,
RPOOMLSJLHMFFBC77CA,坡道機械,0,
RPTOMLNKLHMFFCC97CA,升降平面,0,
RPTNMLRKLHMFFCC28CA,坡道平面,0,32.04
RPXNMLLJLHMFFCC97CA,坡道平面,0,39.72
RPQNMLOLKHMFFCC67CA,坡道平面,0,
RPTNMLKKLHMFFCC77EA,一樓平面,0,
RPQNMLOJLHMFFCC57CA,升降機械,0,
RPQNMLMJLHMFFCC37CA,坡道平面,0,30.27
RPPNMLQJLHMFFCC67CA,坡道機械,0,
