編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLLLKILFFAD87CA,32,78.21,住家用,鋼筋混凝土構造,73年12月12日,五層,二層
RPWNMLLLKILFFAD87CA,32,13.67,共有部分,鋼筋混凝土構造,73年12月12日,五層,
RPWNMLRLKILFFAD48CA,35,87.13,住家用,鋼筋混凝土構造,70年10月27日,五層,二層
RPWNMLRLKILFFAD48CA,,30.12,共有部分,鋼筋混凝土構造,,五層,
RPXNMLPKKILFFFR57CA,25,431.03,住家用,鋼筋混凝土造,80年8月23日,三層,一層 二層 三層
RPVOMLLLKILFFAD87CA,54,86.19,住家用,見其他登記事項,51年8月28日,一層,一層
RPPPMLKKJHMFFAD07CA,42,174.38,住家用,鋼筋混凝土構造,63年12月2日,三層,一層 二層 三層 地下層
RPQNMLOJJHMFFAD27CA,21,99.29,住家用,鋼筋混凝土構造,84年7月8日,十二層,八層
RPQNMLOJJHMFFAD27CA,21,42.81,共有部分,鋼筋混凝土構造,84年7月8日,十二層,
RPPNMLNJJHMFFAD17DA,40,117.93,住家用,鋼筋混凝土構造,65年10月1日,三層,一層 二層 三層
RPXOMLKMKILFFAD08CA,43,44.45,住家用,加強磚造,62年6月19日,一層,一層
RPVQMLKLJHMFFAD87CA,43,78.77,住家用,加強磚造,62年12月10日,二層,一層 二層
RPVNMLTJJHMFFAD28CA,,1691.21,見其他登記事項,見其他登記事項,105年10月28日,二層,一層 二層
RPSOMLKMLHMFFHR17CA,,136.56,住家用,見其他登記事項,105年10月20日,十四層,十二層
RPSOMLKMLHMFFHR17CA,,68.50,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPSOMLKMLHMFFHR17CA,,29.16,見其他登記事項,見其他登記事項,105年10月20日,十四層,
RPQOMLSKJHMFFAD97DA,51,32.00,商業用,鋼筋混凝土加強磚造,55年1月1日,二層,一層 二層 騎樓
RPOPMLLKJHMFFHR66DA,34,92.96,住家用,加強磚造,71年10月28日,二層,一層 二層
RPXNMLQJKHMFFAD28CA,40,119.31,住家用,鋼筋混凝土構造,65年10月1日,三層,一層 二層 三層
RPPNMLQKJHMFFAD47CA,13,191.51,見其他登記事項,鋼筋混凝土構造,92年7月31日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPQNMLTKJHMFFAD87CA,1,263.94,見其他登記事項,見其他登記事項,105年3月31日,四層,一層 二層 三層 四層 屋頂突出物
RPROMLSJKHMFFAD97CA,46,132.54,住家用,加強磚造,59年12月24日,二層,一層 二層
RPROMLSJKHMFFAD97CA,46,133.48,住家用,加強磚造,59年12月24日,二層,一層 二層
RPTNMLTKJHMFFHR67CA,32,97.03,住家用,加強磚造,73年11月6日,二層,一層 二層
RPUNMLKLJHMFFAD47CA,1,246.85,住家用,見其他登記事項,104年12月3日,四層,一層 二層 三層 四層
RPQNMLPLJHMFFAD57CA,22,208.30,住家用,鋼筋混凝土構造,83年10月15日,三層,一層 二層 三層 屋頂突出物
RPXOMLPLJHMFFAD48DA,45,106.74,住家用,加強磚造,61年4月18日,二層,一層 二層
RPUOMLPKKHMFFAD08CA,12,68.96,見其他登記事項,見其他登記事項,93年12月3日,一層,一層
RPROMLRKKHMFFAD97CA,22,88.69,住家用,鋼筋混凝土造,83年10月11日,十七層,七層
RPROMLRKKHMFFAD97CA,22,16.57,共有部分,鋼筋混凝土造,83年10月11日,十七層,
RPROMLRKKHMFFAD97CA,22,13.92,共有部分,鋼筋混凝土造,83年10月11日,十七層,
RPPNMLSKKHMFFAD77CA,22,29.39,住家用,鋼筋混凝土造,84年7月4日,十八層,六層
RPPNMLSKKHMFFAD77CA,22,13.74,共有部分,鋼筋混凝土造,84年7月4日,十八層,
RPPOMLKLKHMFFAD17CA,13,95.01,見其他登記事項,鋼筋混凝土造,93年3月29日,十層,五層
RPPOMLKLKHMFFAD17CA,13,48.53,共有部分,鋼筋混凝土造,93年3月29日,十一層,
RPQNMLLLKHMFFAD27CA,23,199.73,住家用,鋼筋混凝土造,82年10月1日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPRNMLLLKHMFFAD37CA,1,89.17,見其他登記事項,見其他登記事項,104年11月5日,二十四層,十七層
RPRNMLLLKHMFFAD37CA,1,70.53,見其他登記事項,見其他登記事項,104年11月5日,二十四層,
RPTNMLLLKHMFFAD57CA,46,93.94,住家用,加強磚造,60年3月4日,二層,一層 二層
RPUNMLOLKHMFFAD97CA,7,263.07,見其他登記事項,鋼筋混凝土造,98年6月26日,四層,一層 二層 三層 四層 屋頂突出物
RPQOMLOLKHMFFAD67CA,18,241.70,見其他登記事項,鋼筋混凝土造,88年5月11日,五層,一層 二層 三層 四層 五層 騎樓
RPQOMLOLKHMFFAD67CA,18,241.70,見其他登記事項,鋼筋混凝土造,88年5月11日,五層,一層 二層 三層 四層 五層 騎樓
RPWOMLNJLHMFFAD08CA,27,15.11,住家用,鋼筋混凝土造,79年7月7日,五層,三層
RPWOMLNJLHMFFAD08CA,27,11.68,共有部分,鋼筋混凝土造,79年7月7日,五層,
RPVPMLRJLHMFFAD48CA,14,189.86,見其他登記事項,鋼筋混凝土造,91年8月28日,四層,一層 二層 三層 四層 屋頂突出物
RPTOMLNKLHMFFAD87CA,34,62.46,住商用,鋼筋混凝土造,71年9月10日,八層,八層
RPTOMLNKLHMFFAD87CA,34,18.99,共有部分,鋼筋混凝土造,71年9月10日,八層,
RPQNMLRKLHMFFAD87CA,1,269.14,見其他登記事項,見其他登記事項,105年3月31日,四層,一層 二層 三層 四層 屋頂突出物
