編號,車位類別,車位價格,車位面積平方公尺
RPQNMLOJJHMFFAD27CA,坡道平面,0,
RPSOMLKMLHMFFHR17CA,坡道平面,0,
RPPOMLKLKHMFFAD17CA,坡道平面,0,
RPRNMLLLKHMFFAD37CA,坡道平面,0,
RPOOMLLLKHMFFCR78CA,升降機械,0,5.44
RPQNMLRKKHMFFCD97CA,坡道平面,0,
RPTNMLKLKHMFFCD67CA,升降機械,300000,
RPTNMLNJLHMFFCD87CA,坡道機械,750000,
RPQOMLNJLHMFFFR76CA,升降機械,180000,13.35
RPSNMLTJLHMFFFR47CA,升降機械,180000,13.35
RPSOMLKKLHMFFFR76CA,升降機械,600000,5.97
RPPNMLPJLHMFFER66CA,其他,0,
RPQPMLMLKHMFFHR07CA,坡道平面,0,
RPSPMLMLKHMFFHR27CA,坡道平面,0,
RPTPMLMLKHMFFHR37CA,坡道平面,0,
RPUPMLMLKHMFFHR47CA,坡道平面,0,
RPQNMLMLKHMFFHR86CA,坡道平面,0,
RPSNMLMLKHMFFHR07CA,坡道平面,0,
RPTNMLMLKHMFFHR17CA,坡道平面,0,
RPUNMLMLKHMFFHR27CA,坡道平面,0,
RPVNMLMLKHMFFHR37CA,坡道平面,0,
RPWNMLMLKHMFFHR47CA,坡道平面,0,
RPXNMLMLKHMFFHR57CA,坡道平面,0,
RPOOMLMLKHMFFHR76CA,坡道平面,0,
RPPOMLMLKHMFFHR86CA,坡道平面,0,
RPQOMLMLKHMFFHR96CA,坡道平面,0,
RPROMLMLKHMFFHR07CA,坡道平面,0,
RPTOMLMLKHMFFHR27CA,坡道平面,0,
RPVOMLMLKHMFFHR47CA,坡道平面,0,
RPXOMLMLKHMFFHR67CA,坡道平面,0,
RPOPMLMLKHMFFHR86CA,坡道平面,0,
RPTNMLNKLHMFFCD97CA,坡道平面,0,
RPTNMLNKLHMFFCD97CA,坡道平面,0,
RPTNMLNKLHMFFCD97CA,坡道平面,0,
RPQNMLQJLHMFFCD87CA,坡道平面,1300000,
RPPNMLTJLHMFFBD97CA,坡道平面,800000,34.07
RPQNMLTJLHMFFBD08CA,坡道平面,600000,34.07
RPQNMLMJLHMFFAD27CA,坡道平面,0,
RPQNMLTKKHMFFAD97CA,坡道平面,0,
RPUNMLKLKHMFFAD57CA,坡道平面,0,
RPWNMLMJLHMFFAD87CA,坡道平面,0,
RPSOMLPKLHMFFAD97CA,一樓平面,850000,
RPPNMLQJLHMFFCD77CA,升降平面,500000,
RPTOMLRJLHMFFCD38CA,升降平面,0,
RPRNMLPKLHMFFFR07CA,坡道平面,0,28.13
RPUNMLPKLHMFFFR37CA,坡道平面,0,28.13
RPVNMLPKLHMFFFR47CA,坡道平面,0,28.13
RPWNMLPKLHMFFFR57CA,一樓平面,0,28.13
RPXNMLPKLHMFFFR67CA,坡道平面,0,28.13
RPSOMLOLKHMFFHR37CA,坡道平面,0,
RPTOMLOLKHMFFHR47CA,坡道平面,0,
RPUOMLOLKHMFFHR57CA,坡道平面,0,
RPVOMLOLKHMFFHR67CA,坡道平面,0,
RPXOMLOLKHMFFHR87CA,坡道平面,0,
RPQOMLRJLHMFFHR37CA,坡道平面,0,
RPWNMLKLKHMFFCD08DA,坡道平面,0,
RPQPMLPKLHMFFAD97DA,坡道平面,0,
RPROMLRJLHMFFHR47CA,坡道平面,0,
RPRNMLTJLHMFFHR57CA,坡道平面,0,
RPRQMLMLKHMFFHR37DA,坡道機械,0,
RPRNMLTJLHMFFER27CA,坡道機械,208000,5.61
RPQOMLNLKHMFFHR07CA,坡道平面,0,
RPSNMLOLKHMFFHR27CA,坡道平面,0,
RPPOMLPKLHMFFFR96CA,坡道平面,0,28.13
RPQOMLPKLHMFFFR07CA,坡道平面,0,28.13
RPSNMLNLKHMFFCD87CA,坡道平面,0,
RPWOMLOLKHMFFCD48CA,坡道平面,1100000,34.44
RPPPMLRJLHMFFAD87CA,坡道平面,0,36.20
RPOOMLOLKHMFFAD47CA,坡道平面,0,
RPPOMLOLKHMFFAD57CA,坡道機械,0,
RPQOMLLJLHMFFAD27CA,坡道平面,750000,27.73
RPSNMLOLKHMFFAD77CA,坡道平面,800000,26.53
RPPNMLNLKHMFFAD37CA,坡道平面,0,
RPQNMLNLKHMFFAD47CA,坡道平面,960000,
RPQNMLNLKHMFFAD47CA,坡道平面,960000,
RPSOMLLJLHMFFAD47CA,坡道平面,750000,27.73
RPQNMLNKLHMFFAD47CA,坡道平面,1200000,
RPSNMLQJLHMFFAR66CA,坡道機械,0,
RPRNMLOKLHMFFCD87CA,坡道平面,0,22.98
RPXNMLMLLHMFFCD38CA,坡道平面,0,
RPQNMLNLKHMFFCD67CA,坡道平面,0,
RPWNMLNKLHMFFCD28CA,坡道平面,0,29.78
RPWNMLNKLHMFFCD28CA,坡道平面,0,29.78
RPVNMLTJLHMFFCD68CA,坡道平面,0,25.33
RPOOMLPKLHMFFFR86CA,坡道平面,0,28.13
RPWNMLKKLHMFFFR07CA,一樓平面,330000,21.66
RPXNMLKKLHMFFFR17CA,一樓平面,310000,21.66
RPUOMLKLLHMFFHR27CA,坡道平面,0,19.97
RPWOMLKLLHMFFHR47CA,坡道平面,0,22.00
RPQOMLKKLHMFFFR56CA,一樓平面,320000,21.66
RPVNMLKKLHMFFFR96CA,一樓平面,350000,21.66
RPQNMLPKLHMFFFR96CA,坡道平面,0,28.13
RPSNMLKLLHMFFFR76CA,一樓平面,630000,21.66
RPUNMLNJLHMFFCD97CA,坡道平面,600000,
RPSOMLOLKHMFFCD08CA,坡道平面,1100000,35.69
RPUNMLPKLHMFFCD28CA,升降機械,0,
RPVOMLKLLHMFFAD87CA,坡道機械,0,
RPUOMLQJLHMFFAD18CA,坡道平面,1100000,30.14
RPWOMLOLKHMFFAD28CA,坡道平面,1100000,
RPROMLLJLHMFFAD37CA,坡道平面,200000,39.31
