鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南區,房地(土地+建物)+車位,水交社段31~60地號,23.19,商,,,1041103,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,196.89,4,2,2,有,無,8130000,45989,坡道平面,42.94,1050000,,RPUNMLLLKHMFFCD97CB
南區,房地(土地+建物)+車位,水交社段31~60地號,23.69,商,,,1040804,土地1建物1車位2,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.83,4,2,2,有,無,9200000,44820,坡道平面,85.88,2300000,,RPVNMLLLKHMFFCD08CB
南區,房地(土地+建物)+車位,水交社段31~60地號,23.19,商,,,1050115,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,196.89,4,2,2,有,無,8200000,45469,坡道平面,42.94,1200000,,RPWNMLLLKHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,23.69,商,,,1040521,土地1建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,239.83,4,2,2,有,無,9380000,45989,坡道平面,85.88,2300000,,RPXNMLLLKHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1031030,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.28,3,2,2,有,無,7130000,49702,坡道平面,42.94,950000,,RPOOMLLLKHMFFCD47CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1031219,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7200000,50193,坡道平面,42.94,950000,,RPQOMLLLKHMFFCD67CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1030926,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7280000,50032,坡道平面,42.94,1050000,,RPSOMLLLKHMFFCD87CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1031230,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7150000,49791,坡道平面,42.94,950000,,RPTOMLLLKHMFFCD97CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1031003,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7200000,50193,坡道平面,42.94,950000,,RPUOMLLLKHMFFCD08CB
南區,房地(土地+建物)+車位,水交社段31~60地號,19.45,商,,,1040829,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,210.4,3,2,2,有,無,8400000,48988,坡道平面,85.88,2300000,,RPVOMLLLKHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,19.45,商,,,1040701,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,210.4,3,2,2,有,無,7900000,45776,坡道平面,85.88,2200000,,RPWOMLLLKHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1041007,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7100000,48587,坡道平面,42.94,1050000,,RPXOMLLLKHMFFCD38CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1040511,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,165.39,3,2,2,有,無,7680000,53646,坡道平面,40.87,1000000,,RPUOMLNLKHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1040120,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7390000,51719,坡道平面,42.94,950000,,RPVOMLNLKHMFFCD38CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1040720,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7300000,50193,坡道平面,42.94,1050000,,RPWOMLNLKHMFFCD48CB
南區,房地(土地+建物)+車位,水交社段31~60地號,18.95,商,,,1040407,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,167.46,3,2,2,有,無,7300000,50193,坡道平面,42.94,1050000,,RPXOMLNLKHMFFCD58CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1031014,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.25,2,2,2,有,無,5520000,47949,坡道平面,42.94,950000,,RPPPMLNLKHMFFCD87CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040703,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,6150000,54502,坡道平面,42.94,950000,,RPQNMLOLKHMFFCD87CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1030929,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,136.28,2,2,2,有,無,5500000,48213,坡道平面,40.87,900000,,RPSNMLOLKHMFFCD08CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040216,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,5570000,48423,坡道平面,42.94,950000,,RPTNMLOLKHMFFCD18CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1050201,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,5350000,44021,坡道平面,42.94,1150000,,RPUNMLOLKHMFFCD28CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1031031,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,5880000,50624,坡道平面,42.94,1050000,,RPVNMLOLKHMFFCD38CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040729,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,5700000,49785,坡道平面,42.94,950000,,RPWNMLOLKHMFFCD48CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040717,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,5700000,49785,坡道平面,42.94,950000,,RPXNMLOLKHMFFCD58CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1040706,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,5700000,48737,坡道平面,42.94,1050000,,RPOOMLOLKHMFFCD77CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.96,商,,,1040727,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,181.29,2,2,2,有,無,6300000,46117,坡道平面,85.88,1900000,,RPQOMLOLKHMFFCD97CB
南區,房地(土地+建物)+車位,水交社段31~60地號,14.46,商,,,1041027,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,,138.35,2,2,2,有,無,5750000,48213,坡道平面,42.94,1150000,,RPTOMLOLKHMFFCD28CB
