編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUNMLLLKHMFFCD97CB,水交社段,23.19,都市：商
RPVNMLLLKHMFFCD08CB,水交社段,23.69,都市：商
RPWNMLLLKHMFFCD18CB,水交社段,23.19,都市：商
RPXNMLLLKHMFFCD28CB,水交社段,23.69,都市：商
RPOOMLLLKHMFFCD47CB,水交社段,18.95,都市：商
RPQOMLLLKHMFFCD67CB,水交社段,18.95,都市：商
RPSOMLLLKHMFFCD87CB,水交社段,18.95,都市：商
RPTOMLLLKHMFFCD97CB,水交社段,18.95,都市：商
RPUOMLLLKHMFFCD08CB,水交社段,18.95,都市：商
RPVOMLLLKHMFFCD18CB,水交社段,19.45,都市：商
RPWOMLLLKHMFFCD28CB,水交社段,19.45,都市：商
RPXOMLLLKHMFFCD38CB,水交社段,18.95,都市：商
RPUOMLNLKHMFFCD28CB,水交社段,18.95,都市：商
RPVOMLNLKHMFFCD38CB,水交社段,18.95,都市：商
RPWOMLNLKHMFFCD48CB,水交社段,18.95,都市：商
RPXOMLNLKHMFFCD58CB,水交社段,18.95,都市：商
RPPPMLNLKHMFFCD87CB,水交社段,14.46,都市：商
RPQNMLOLKHMFFCD87CB,水交社段,14.46,都市：商
RPSNMLOLKHMFFCD08CB,水交社段,14.46,都市：商
RPTNMLOLKHMFFCD18CB,水交社段,14.46,都市：商
RPUNMLOLKHMFFCD28CB,水交社段,14.46,都市：商
RPVNMLOLKHMFFCD38CB,水交社段,14.46,都市：商
RPWNMLOLKHMFFCD48CB,水交社段,14.46,都市：商
RPXNMLOLKHMFFCD58CB,水交社段,14.46,都市：商
RPOOMLOLKHMFFCD77CB,水交社段,14.46,都市：商
RPQOMLOLKHMFFCD97CB,水交社段,14.96,都市：商
RPTOMLOLKHMFFCD28CB,水交社段,14.46,都市：商
