編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPKKILFFER86CC,39,100.80,住商用,加強磚造,67年3月10日,二層,
RPUNMLLLKILFFAR76DC,24,133.09,住家用,鋼筋混凝土造,82年3月12日,三層,
RPUNMLMLKILFFCD18CC,41,226.14,住商用,鋼筋混凝土構造,64年8月7日,三層,
RPUOMLMLKILFFAD08CC,48,61.31,住家用,加強磚造,57年7月16日,二層,
RPUOMLRLKILFFAD58CC,39,134.20,住商用,加強磚造,66年12月16日,二層,
RPTOMLSLKILFFAD58CC,45,90.74,住家用,加強磚造,61年3月12日,二層,
RPQNMLSLKILFFBD28CC,24,129.87,住家用,鋼筋混凝土構造,81年12月22日,二層,
RPUNMLTLKILFFBD78CC,35,72.04,住商用,加強磚造,70年10月30日,二層,
RPTNMLTLKILFFFR87CC,35,95.63,住商用,加強磚造,71年5月8日,二層,
RPRQMLTLKILFFHR28DC,3,192.53,見其他登記事項,見其他登記事項,102年12月26日,四層,
RPPQMLTLKILFFAD58DC,13,151.05,見其他登記事項,鋼筋混凝土造,92年9月16日,十四層,
RPQQMLTLKILFFAD68DC,48,56.96,住家用,加強磚造,58年1月22日,二層,
RPROMLKMKILFFFR96CC,8,344.03,住商用,鋼筋混凝土造,97年9月12日,四層,
RPQNMLMJJHMFFFR56CC,1,183.87,見其他登記事項,鋼筋混凝土造,104年7月22日,四層,
RPOQMLNJJHMFFHR96CC,41,89.93,住家用,加強磚造,64年11月1日,二層,
RPUNMLPJJHMFFER17CC,30,444.54,住家用,鋼筋混凝土造,75年12月5日,三層,
RPVOMLPJJHMFFCD38CC,27,262.60,住家用,鋼筋混凝土構造,78年11月30日,四層,
RPRNMLTJJHMFFCD28CC,1,2.64,見其他登記事項,鋼筋混凝土構造,105年2月5日,四層,
RPRNMLTJJHMFFCD28CC,1,196.11,見其他登記事項,鋼筋混凝土構造,105年2月5日,四層,
RPSNMLTJJHMFFCD38CC,31,121.15,住商用,鋼筋混凝土構造,74年11月20日,二層,
RPQNMLKKJHMFFCD37CC,5,209.30,見其他登記事項,鋼筋混凝土構造,101年3月12日,四層,
RPOOMLKKJHMFFHR56CC,5,208.05,見其他登記事項,見其他登記事項,100年11月28日,四層,
RPPOMLLKJHMFFCD47CC,43,124.57,住商用,加強磚造,63年4月12日,二層,
RPSNMLLKJHMFFBD57CC,20,148.78,住商用,鋼筋混凝土構造,85年7月16日,四層,
RPQOMLMKJHMFFBD57CC,35,113.80,住商用,加強磚造,70年12月17日,二層,
RPTNMLNKJHMFFCD97CC,35,117.52,住商用,加強磚造,70年7月27日,二層,
RPWNMLTKJHMFFAD68CC,21,692.88,商業用,見其他登記事項,85年3月4日,三層,
RPSOMLNLJHMFFCD08CC,41,82.09,住家用,加強磚造,65年3月9日,二層,
RPRQMLOLJHMFFHR57CC,36,97.81,住家用,加強磚造,69年11月11日,二層,
RPROMLPLJHMFFAD97CC,45,54.06,住家用,加強磚造,61年6月5日,二層,
RPSOMLPLJHMFFFR37CC,24,161.20,住家用,鋼筋混凝土造,81年8月31日,三層,
RPROMLTJKHMFFAD28CC,1,258.86,見其他登記事項,見其他登記事項,104年12月2日,四層,
RPVNMLOKKHMFFBD28CC,5,157.65,見其他登記事項,鋼筋混凝土構造,100年10月17日,四層,
RPVNMLOKKHMFFBD28CC,5,157.65,見其他登記事項,鋼筋混凝土構造,100年10月17日,四層,
RPUOMLOKKHMFFCD38CC,44,83.11,住家用,加強磚造,62年2月19日,二層,
RPXOMLQKKHMFFAD68CC,24,19.27,住商用,鋼筋混凝土構造,82年3月27日,四層,
RPSQMLQKKHMFFHR87CC,10,257.10,住商用,鋼筋混凝土造,95年12月27日,四層,
RPUNMLQKKHMFFER47CC,22,159.24,工業用,鋼造,83年12月6日,二層,
RPPNMLRKKHMFFHR37CC,21,44.96,住家用,鋼筋混凝土造,85年4月26日,十層,
RPPNMLRKKHMFFHR37CC,21,9.68,共有部分,鋼筋混凝土造,85年4月26日,十層,
RPPNMLRKKHMFFHR37CC,21,7.69,共有部分,鋼筋混凝土造,85年4月26日,十層,
