編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLTLLHMFFBE68CA,,110.94,見其他登記事項,鋼筋混凝土造,105年7月14日,十五層,六層
RPSOMLTLLHMFFBE68CA,,69.41,共有部分,鋼筋混凝土造,105年7月14日,十五層,
RPXNMLRKKHMFFCE78CA,35,86.85,,鋼筋混凝土造,70年12月21日,十二層,四層
RPXNMLRKKHMFFCE78CA,35,18.26,,鋼筋混凝土造,70年12月21日,十二層,
RPSNMLSKKHMFFCE38CA,12,229.94,住商用,鋼筋混凝土造,94年7月8日,四層,一層 二層 三層 四層 騎樓 見其它登記事項
RPPNMLMKLHMFFBE47CA,21,188.45,住家用,鋼筋混凝土造,84年7月17日,十四層,四層
RPPNMLMKLHMFFBE47CA,21,92.50,見使用執照,鋼筋混凝土造,84年7月17日,十四層,
RPPOMLNJLHMFFBE57CA,24,16.97,住家用,鋼筋混凝土造,82年4月9日,十二層,十二層
RPPOMLNJLHMFFBE57CA,24,9.33,見使用執照,鋼筋混凝土造,82年4月9日,十二層,
RPXNMLSKKHMFFBE78CA,37,100.00,,加強磚造,68年9月19日,二層,一層 二層 騎樓
RPOOMLSKKHMFFBE97CA,25,28.92,,鋼筋混凝土造,80年7月22日,八層,三層
RPOOMLSKKHMFFBE97CA,25,13.32,,鋼筋混凝土造,80年7月22日,八層,
RPUNMLKLKHMFFBE77CA,1,151.70,住家用,鋼筋混凝土造,104年9月1日,二十七層,八層
RPUNMLKLKHMFFBE77CA,1,96.79,共有部分,鋼筋混凝土造,104年9月1日,二十七層,
RPQOMLLLKHMFFBE57CA,2,54.43,住家用,鋼筋混凝土造,103年10月30日,十五層,三層
RPQOMLLLKHMFFBE57CA,2,28.31,共有部分,鋼筋混凝土造,103年10月30日,十五層,
RPQNMLMJLHMFFBE47CA,13,58.70,住家用,鋼筋混凝土造,93年3月3日,十四層,十二層
RPQNMLMJLHMFFBE47CA,13,30.01,見其他登記事項,鋼筋混凝土造,93年3月3日,十四層,
RPUNMLKLKHMFFAE67CA,11,108.07,住家用,鋼筋混凝土造,94年11月29日,十五層,十五層
