鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路241~270號,95.89,其他,,,1060213,土地2建物1車位0,一層,12,店面(店鋪),,鋼筋混凝土造,0711210,304.14,0,0,0,無,無,無,40000,132,,0.0,0,,RPQNMLQKKHMFFAE97CC
鼓山區,建物,高雄市鼓山區中華一路247巷1~30號,0.0,,,,1060207,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690705,82.21,3,2,2,有,無,無,11500,140,,0.0,0,,RPUNMLQKKHMFFAE38CC
前金區,房地(土地+建物)+車位,高雄市前金區自強二路1~30號,2.6,住,,,1060118,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960208,122.0,3,2,2,有,有,有,30000,246,坡道平面,0.0,0,,RPXNMLQKKHMFFAE68CC
前金區,房地(土地+建物),高雄市前金區民生二路31~60號,18.32,商,,,1060118,土地1建物1車位0,三層,12,辦公商業大樓,,鋼筋混凝土造,0680607,158.41,0,1,1,有,有,有,15000,95,,0.0,0,,RPPOMLQKKHMFFAE97CC
苓雅區,土地,苓東段781~810地號,83.0,商,,,1060215,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,5000,60,,0.0,0,建物未保存登記出租1樓和2樓,RPTNMLQKKHMFFBE38CC
新興區,房地(土地+建物),高雄市新興區玉竹二街31~60號,84.0,商,,,1060117,土地1建物1車位0,見其他登記事項,2,店面(店鋪),,加強磚造,0540303,98.98,0,0,0,無,無,有,138000,1394,,0.0,0,,RPVNMLQKKHMFFBE58CC
三民區,房地(土地+建物),高雄市三民區正興路1~30號,20.0,住,,,1060210,土地1建物1車位0,二十二層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810514,238.0,4,2,2,有,有,有,21458,90,,0.0,0,,RPQOMLQKKHMFFDE38CC
三民區,房地(土地+建物)+車位,高雄市三民區鼎華路211~240號,21.83,商,,,1060117,土地1建物2車位1,二十層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951207,227.38,4,2,2,有,有,有,24604,108,坡道平面,21.89,0,,RPROMLQKKHMFFDE48CC
楠梓區,建物,高雄市楠梓區楠梓路301~330號,76.0,住,,,1060215,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960124,147.62,5,3,4,有,無,有,20000,135,,0.0,0,,RPPOMLQKKHMFFEE38CC
楠梓區,建物,高雄市楠梓區土庫路318巷31~60號,72.04,住,,,1060202,土地0建物1車位0,全,4,透天厝,住家用,見其它登記事項,0911119,171.21,5,2,4,有,無,有,23000,134,,0.0,0,,RPQOMLQKKHMFFEE48CC
