編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLQKKHMFFAE97CC,34,304.14,,鋼筋混凝土造,71年12月10日,十二層,
RPUNMLQKKHMFFAE38CC,37,82.21,,鋼筋混凝土造,69年7月5日,五層,
RPXNMLQKKHMFFAE68CC,10,122.00,住家用,鋼筋混凝土造,96年2月8日,十五層,
RPPOMLQKKHMFFAE97CC,38,158.41,,鋼筋混凝土造,68年6月7日,十二層,
RPVNMLQKKHMFFBE58CC,52,98.98,,加強磚造,54年3月3日,二層,
RPQOMLQKKHMFFDE38CC,25,238.00,住家用,鋼筋混凝土造,81年5月14日,二十五層,
RPROMLQKKHMFFDE48CC,10,77.74,住家用,鋼筋混凝土造,95年12月7日,二十五層,
RPROMLQKKHMFFDE48CC,10,72.38,見其它登記事項,鋼筋混凝土造,95年12月7日,二十五層,
RPROMLQKKHMFFDE48CC,10,77.26,住家用,鋼筋混凝土造,95年12月7日,二十五層,
RPPOMLQKKHMFFEE38CC,10,147.62,住商用,鋼筋混凝土造,96年1月24日,四層,
RPQOMLQKKHMFFEE48CC,14,171.21,住家用,見其它登記事項,91年11月19日,四層,
RPXOMLQKKHMFFCE98CC,28,138.76,住家用,鋼筋混凝土造,78年5月10日,十九層,
RPXOMLQKKHMFFCE98CC,28,34.72,見使用執照,鋼筋混凝土造,78年5月10日,十九層,
RPSNMLQKKHMFFIE98CC,4,332.28,見其他登記事項,鋼筋混凝土造,102年1月16日,五層,
RPPOMLQKKHMFFIE78CC,12,182.73,見其他登記事項,鋼筋混凝土造,94年2月22日,四層,
RPPOMLQKKHMFFFE48CC,1,90.69,見其他登記事項,鋼筋混凝土造,105年1月30日,十五層,
RPQOMLQKKHMFFIE98DC,49,37.94,,加強磚造,57年1月15日,二層,
RPQOMLQKKHMFFIE98DC,49,19.36,,加強磚造,57年1月15日,一層,
RPXNMLRKKHMFFIE96CC,21,216.71,住商用,鋼筋混凝土造,85年2月2日,三層,
RPTNMLRKKHMFFCE58CC,32,124.69,,鋼筋混凝土造,74年4月23日,五層,
RPROMLRKKHMFFEE68CC,3,46.98,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPROMLRKKHMFFEE68CC,3,8.44,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPROMLRKKHMFFEE68CC,3,57.91,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPTOMLRKKHMFFEE88CC,11,67.37,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPTOMLRKKHMFFEE88CC,11,10.69,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPTOMLRKKHMFFEE88CC,11,32.14,見其它登記事項,鋼筋混凝土造,94年11月14日,十五層,
RPOPMLRKKHMFFEE48CC,23,145.14,住商用,鋼筋混凝土造,83年8月3日,十四層,
RPPOMLRKKHMFFDE38CC,,117.90,見其它登記事項,見其它登記事項,105年9月9日,一層,
RPQOMLRKKHMFFDE48CC,19,150.63,商業用,鋼筋混凝土造,87年5月7日,十四層,
RPSNMLRKKHMFFBE38CC,8,34.10,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPSNMLRKKHMFFBE38CC,8,3.74,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPSNMLRKKHMFFBE38CC,8,9.40,共有部分,鋼筋混凝土造,97年9月19日,十三層,
RPPNMLRKKHMFFAE97CC,27,55.80,商業用,鋼筋混凝土造,79年2月23日,十二層,
RPUNMLRKKHMFFAE48CC,8,68.13,住家用,鋼筋混凝土造,97年10月21日,十五層,
RPUNMLRKKHMFFAE48CC,8,12.51,住家用,鋼筋混凝土造,97年10月21日,十五層,
RPUNMLRKKHMFFAE48CC,8,45.15,共有部分,鋼筋混凝土造,97年10月21日,十五層,
RPQNMLSKKHMFFAE18CC,59,68.18,,加強磚造,46年11月24日,二層,
RPSNMLSKKHMFFAE38CC,10,103.29,商業用,鋼筋混凝土造,95年11月1日,十五層,
RPUNMLSKKHMFFBE68CC,33,103.52,,鋼筋混凝土造,72年12月21日,五層,
RPUNMLSKKHMFFBE68CC,33,12.63,,鋼筋混凝土造,72年12月21日,五層,
RPVOMLSKKHMFFBE88CC,2,148.53,住家用,鋼骨鋼筋混凝土造,103年9月1日,三十三層,
RPVOMLSKKHMFFBE88CC,2,20.68,住家用,鋼骨鋼筋混凝土造,103年9月1日,三十三層,
RPVOMLSKKHMFFBE88CC,2,106.57,共有部分,鋼骨鋼筋混凝土造,103年9月1日,三十三層,
RPXNMLSKKHMFFDE56CC,2,59.03,住家用,鋼筋混凝土造,104年8月13日,十五層,
RPXNMLSKKHMFFDE56CC,2,31.68,見其它登記事項,鋼筋混凝土造,104年8月13日,十五層,
RPQOMLSKKHMFFDE58CC,5,48.71,住家用,見其它登記事項,100年11月4日,一層,
RPROMLSKKHMFFDE68CC,5,48.71,住家用,見其它登記事項,100年11月4日,一層,
RPSOMLSKKHMFFDE78CC,5,201.55,住商用,鋼筋混凝土造,101年4月3日,二層,
RPTOMLSKKHMFFDE88CC,5,223.37,住商用,鋼筋混凝土造,101年4月3日,二層,
