編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLKLKHMFFCF97EA,,50.73,見其他登記事項,見其他登記事項,104年12月31日,十二層,四層
RPSNMLKLKHMFFCF97EA,,8.90,見其他登記事項,見其他登記事項,104年12月31日,十二層,
RPSNMLKLKHMFFCF97EA,,14.11,見其他登記事項,見其他登記事項,104年12月31日,十二層,
RPSNMLKLKHMFFCF97EA,,1.08,見其他登記事項,見其他登記事項,104年12月31日,十二層,
RPTOMLTLLHMFFBF88CA,10,87.83,住家用,鋼筋混凝土造,95年12月21日,十一層,七層
RPTOMLTLLHMFFBF88CA,10,48.92,共有部分,鋼筋混凝土造,95年12月21日,十一層,
RPTOMLTLLHMFFBF88CA,10,17.28,共有部分,鋼筋混凝土造,95年12月21日,十一層,
RPQPMLLMLHMFFGF68EA,4,99.93,住家用,鋼筋混凝土造,101年11月26日,十二層,五層
RPQPMLLMLHMFFGF68EA,4,20.51,見其他登記事項,鋼筋混凝土造,101年11月26日,十二層,
RPQPMLLMLHMFFGF68EA,4,20.03,見其他登記事項,鋼筋混凝土造,101年11月26日,十二層,
RPQPMLLMLHMFFGF68EA,4,.55,見其他登記事項,鋼筋混凝土造,101年11月26日,十二層,地下一層
RPQPMLLMLHMFFGF68EA,4,26.86,見其他登記事項,鋼筋混凝土造,101年11月26日,十二層,
RPRPMLSKJHMFFGF88CA,2,91.82,見其他登記事項,鋼筋混凝土造,104年4月9日,二十二層,七層
RPRPMLSKJHMFFGF88CA,2,68.37,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPRPMLSKJHMFFGF88CA,2,19.31,見其他登記事項,鋼筋混凝土造,104年4月9日,二十二層,
RPQPMLRJMHMFFBF38CA,9,169.70,住家用,鋼筋混凝土造,97年4月10日,三層,一層 二層 三層 屋頂突出物
RPQPMLRJMHMFFBF38CA,9,63.17,共有部分,鋼筋混凝土造,97年4月10日,三層,
RPTOMLQLJHMFFGF88CA,2,129.45,見其他登記事項,鋼筋混凝土造,104年4月9日,二十層,十六層
RPTOMLQLJHMFFGF88CA,2,74.21,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPTOMLQLJHMFFGF88CA,2,28.03,見其他登記事項,鋼筋混凝土造,104年4月9日,二十層,
RPUOMLKKJHMFFGF28CA,1,214.10,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPUOMLKKJHMFFGF28CA,1,190.46,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPWOMLKKJHMFFGF48CA,1,188.16,住家用,鋼筋混凝土造,104年7月2日,十九層,十六層
RPWOMLKKJHMFFGF48CA,1,178.95,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPPRMLQJMHMFFAF48EA,21,35.71,住家用,鋼筋混凝土造,84年11月4日,十三層,十層
RPPRMLQJMHMFFAF48EA,21,2.15,共有部份,鋼筋混凝土造,84年11月4日,十三層,
RPWNMLMKJHMFFBF08CA,25,111.67,工業用,鋼筋混凝土造,80年6月28日,五層,一層
RPWNMLMKJHMFFBF08CA,25,31.94,共有部分,鋼筋混凝土造,80年6月28日,五層,
RPWNMLMKJHMFFBF08CA,25,4.53,共有部分,鋼筋混凝土造,80年6月28日,五層,
RPUNMLQJMHMFFAF58EA,,41.34,見使用執照,鋼骨鋼筋混凝土造,,二十二層,地下二層 地下三層
RPUNMLQJMHMFFAF58EA,,220.35,商業用,鋼骨鋼筋混凝土造,,二十二層,二十一層
RPUNMLQJMHMFFAF58EA,,9.95,共有部份,鋼骨鋼筋混凝土造,,二十二層,
RPUNMLQJMHMFFAF58EA,,48.74,共有部份,鋼骨鋼筋混凝土造,,二十二層,
RPXNMLPJMHMFFAF78EA,5,25.61,見其他登記事項,鋼筋混凝土造,101年3月6日,十四層,
RPXNMLPJMHMFFAF78EA,5,87.99,住家用,鋼筋混凝土造,101年3月6日,十四層,十二層
RPXNMLPJMHMFFAF78EA,5,10.66,見其他登記事項,鋼筋混凝土造,101年3月6日,十四層,
RPXNMLPJMHMFFAF78EA,5,46.08,見其他登記事項,鋼筋混凝土造,101年3月6日,十四層,
RPPNMLSLLHMFFGF78CA,23,37.57,見其他登記事項,鋼筋混凝土造,82年12月24日,十六層,地下三層
RPPNMLSLLHMFFGF78CA,23,104.64,住家用,鋼筋混凝土造,82年12月24日,十六層,十一層
RPPNMLSLLHMFFGF78CA,23,2.78,共有部分,鋼筋混凝土造,82年12月24日,十六層,
RPPNMLSLLHMFFGF78CA,23,14.08,共有部分,鋼筋混凝土造,82年12月24日,十六層,
RPWNMLQJKHMFFGF98CA,2,129.71,見其他登記事項,鋼筋混凝土造,104年4月9日,二十層,六層
RPWNMLQJKHMFFGF98CA,2,47.23,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPWNMLQJKHMFFGF98CA,2,28.07,見其他登記事項,鋼筋混凝土造,104年4月9日,二十層,
RPOQMLPJMHMFFAF18EA,31,116.40,住家用,鋼筋混凝土造,74年11月19日,二層,一層 二層 夾層
RPXQMLQJMHMFFAF56EA,1,79.49,見其他登記事項,鋼筋混凝土造,104年12月28日,十一層,八層
RPXQMLQJMHMFFAF56EA,1,33.16,見其他登記事項,鋼筋混凝土造,104年12月28日,十一層,
RPWPMLOLJHMFFIF66CA,,82.00,住家用,加強磚造,,二層,一層 二層
RPQOMLRJMHMFFAF38EA,6,103.53,住家用,鋼筋混凝土造,99年11月22日,十五層,十四層
RPQOMLRJMHMFFAF38EA,6,39.96,見其他登記事項,鋼筋混凝土造,99年11月22日,十五層,
RPTNMLQJMHMFFAF48EA,,79.20,工業用,鋼筋混凝土造,,五層,五層
RPRPMLQJMHMFFAF48EA,,98.84,見其他登記事項,鋼筋混凝土造,105年11月22日,十五層,十四層
RPRPMLQJMHMFFAF48EA,,50.72,見其他登記事項,鋼筋混凝土造,105年11月22日,十五層,
RPRPMLQJMHMFFAF48EA,,13.28,見其他登記事項,鋼筋混凝土造,105年11月22日,十五層,
RPSPMLQJMHMFFAF58EA,,74.20,見其他登記事項,鋼筋混凝土造,105年11月22日,十五層,二層
RPSPMLQJMHMFFAF58EA,,38.08,見其他登記事項,鋼筋混凝土造,105年11月22日,十五層,
