鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新莊區,房地(土地+建物)+車位,光明段991~1020地號,24.31,住,,,1050911,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.86,4,2,2,有,無,17750000,90657,坡道平面,34.37,1750000,,RPTNMLRKKHMFFBF48CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.35,住,,,1050501,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.86,3,2,2,有,無,14780000,99088,坡道平面,34.37,1850000,,RPUNMLRKKHMFFBF58CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.23,住,,,1040830,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.45,3,2,2,有,無,13700000,90097,坡道平面,34.37,1800000,,RPVNMLRKKHMFFBF68CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,13.58,住,,,1040816,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.78,2,2,1,有,無,10920000,94138,坡道平面,34.37,1750000,,RPWNMLRKKHMFFBF78CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,13.29,住,,,1041115,土地1建物1車位1,一層,15,店面(店鋪),住家用,鋼筋混凝土造,,125.9,0,0,1,無,無,16930000,165301,坡道平面,34.37,1800000,,RPXNMLRKKHMFFBF88CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,24.31,住,,,1051023,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.86,4,2,2,有,無,18400000,93773,坡道平面,34.37,1850000,,RPOOMLRKKHMFFBF08CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.23,住,,,1050605,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.37,3,2,2,有,無,13880000,92977,坡道平面,34.37,1700000,,RPPOMLRKKHMFFBF18CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.9,住,,,1041003,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.9,3,2,2,有,無,14600000,94444,坡道平面,34.37,1800000,,RPQOMLRKKHMFFBF28CB
新莊區,房地(土地+建物),光明段991~1020地號,14.16,住,,,1040801,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.76,2,2,1,有,無,9730000,93774,,0.0,0,,RPROMLRKKHMFFBF38CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.82,住,,,1040813,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.5,3,2,2,有,無,15550000,101587,坡道平面,35.64,1850000,,RPSOMLRKKHMFFBF48CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,18.23,住,,,1050604,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.45,3,2,2,有,無,14330000,95245,坡道平面,34.37,1750000,,RPTOMLRKKHMFFBF58CB
新莊區,房地(土地+建物)+車位,光明段991~1020地號,14.37,住,,,1041108,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.05,2,2,1,有,無,11800000,97340,坡道平面,33.29,1700000,,RPUOMLRKKHMFFBF68CB
新莊區,房地(土地+建物),光明段991~1020地號,14.16,住,,,1040925,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.76,2,2,1,有,無,9900000,95412,,0.0,0,,RPVOMLRKKHMFFBF78CB
