編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUQMLLLKILFFGF98CC,33,219.09,見其他登記事項,鋼筋混凝土造,73年1月31日,三層,
RPUNMLRLKILFFIF86CC,3,1366.40,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPUNMLRLKILFFIF86CC,3,1527.36,見其他登記事項,見其他登記事項,102年12月25日,四層,
RPRNMLSLKILFFBF68DC,21,227.80,住商用,鋼筋混凝土造,84年7月19日,四層,
RPRNMLSLKILFFBF68DC,21,85.70,共有部份,鋼筋混凝土造,84年7月19日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPTNMLLMKILFFHF78CC,43,101.04,住家用,加強磚造,62年12月14日,四層,
RPSQMLNJJHMFFBF18CC,10,1178.38,工業用,見其他登記事項,96年4月9日,二層,
RPVRMLTJJHMFFBF56CC,29,600.20,工業用,鋼造,77年5月4日,一層,
RPURMLKKJHMFFAF38EC,47,203.91,住家用,加強磚造,58年11月28日,三層,
RPWTMLKKJHMFFEF56EC,50,153.00,住商用,加強磚造,56年2月1日,二層,
RPRPMLMKJHMFFBF97CC,36,303.87,工業用,鋼筋混凝土造,69年10月14日,三層,
RPQNMLPKJHMFFEF28CC,8,196.04,住家用,鋼筋混凝土造,97年11月6日,四層,
RPQNMLPKJHMFFEF28CC,8,118.91,共有部份,鋼筋混凝土造,97年11月6日,四層,
RPQNMLPKJHMFFEF28CC,8,14.99,共有部份,鋼筋混凝土造,97年11月6日,四層,
RPQPMLQKJHMFFBF28CC,25,1031.54,見其他登記事項,見其他登記事項,80年7月26日,一層,
RPTOMLQKJHMFFAF58EC,36,94.38,住商用,鋼筋混凝土造,69年11月3日,三層,
RPPPMLOLJHMFFIF78CC,,255.43,見其他登記事項,見其他登記事項,,二層,
RPXVMLPLJHMFFBF96CC,39,307.58,工業用,鋼筋混凝土造,67年3月13日,二層,
RPXVMLPLJHMFFBF96CC,39,295.76,工業用,鋼筋混凝土造,67年3月13日,二層,
RPSNMLQLJHMFFGF88CC,51,490.05,工業用,見其他登記事項,55年6月30日,一層,
RPSNMLQLJHMFFGF88CC,51,62.40,工業用,加強磚造,55年6月30日,一層,
RPQNMLRJKHMFFIF98DC,,106.06,住家用,加強磚造,,二層,
RPQNMLRJKHMFFIF98DC,,48.33,住家用,加強磚造,,二層,
RPRPMLTJKHMFFHF66CC,29,258.27,工商用,鋼筋混凝土造,76年12月19日,二層,
RPRPMLTJKHMFFHF66CC,29,302.85,工商用,鋼筋混凝土造,76年12月19日,二層,
RPROMLTJKHMFFEF88CC,35,88.55,商業用,鋼筋混凝土造,70年8月27日,五層,
RPROMLTJKHMFFEF88CC,35,88.55,住家用,鋼筋混凝土造,70年8月27日,五層,
RPVOMLKKKHMFFEF48CC,36,167.98,住家用,加強磚造,70年3月10日,二層,
RPQQMLQKKHMFFEF78CC,3,146.15,住家用,鋼筋混凝土造,102年8月28日,八層,
