鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段196巷1~30號,100.39,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,207.81,3,2,3,有,無,10200000,49083,坡道平面,0.0,0,私契日:105.08.06,RPXPMLRLLHMFFBG66CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段196巷1~30號,97.58,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,199.84,3,2,3,有,無,10700000,53543,坡道平面,0.0,0,私契日:104.01.24,RPOQMLRLLHMFFBG48CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段196巷1~30號,109.01,住,,,1051208,土地3建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,193.91,3,2,3,有,無,11200000,57759,坡道平面,0.0,0,私契日:104.01.17,RPQQMLRLLHMFFBG68CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,126.42,住,,,1051208,土地3建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,275.48,3,2,3,有,無,12980000,47118,坡道平面,0.0,0,私契日:103.10.28,RPUNMLRLLHMFFBG78CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,106.24,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,248.24,4,2,4,有,無,10300000,41492,坡道平面,0.0,0,私契日:103.08.04,RPVNMLRLLHMFFBG88CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,108.58,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,252.97,3,2,3,有,無,11000000,43483,坡道平面,0.0,0,私契日:103.08.07,RPWNMLRLLHMFFBG98CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,116.76,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,284.83,3,2,3,有,無,13300000,46695,坡道平面,0.0,0,"預售屋轉售,私契日:104.03.31",RPPOMLRLLHMFFBG38CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,111.89,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,287.28999999999996,4,2,3,有,無,12400000,43162,坡道平面,0.0,0,私契日:103.06.26,RPQOMLRLLHMFFBG48CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.33,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,284.09999999999997,3,2,3,有,無,12150000,42767,坡道平面,0.0,0,私契日:103.09.12,RPROMLRLLHMFFBG58CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.33,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,284.09999999999997,4,2,4,有,無,12250000,43119,坡道平面,0.0,0,私契日:103.07.01,RPTOMLRLLHMFFBG78CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.33,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,284.09999999999997,3,2,3,有,無,12150000,42767,坡道平面,0.0,0,私契日:103.07.05,RPUOMLRLLHMFFBG88CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.33,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,284.09999999999997,3,2,3,有,無,12150000,42767,坡道平面,0.0,0,私契日:103.07.05,RPWOMLRLLHMFFBG09CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,112.89,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,295.58,3,2,3,有,無,12400000,41951,坡道平面,0.0,0,私契日:103.07.05,RPXOMLRLLHMFFBG56CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.19,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,266.09999999999997,3,2,3,有,無,11000000,41338,坡道平面,0.0,0,私契日:103.08.07,RPQPMLRLLHMFFBG58CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.19,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,283.71,3,2,3,有,無,11980000,42226,坡道平面,0.0,0,私契日:103.09.04,RPRPMLRLLHMFFBG68CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.19,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,283.46999999999997,3,2,3,有,無,12900000,45507,坡道平面,0.0,0,私契日:103.08.15,RPSPMLRLLHMFFBG78CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,109.19,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,283.46999999999997,3,2,3,有,無,12500000,44096,坡道平面,0.0,0,私契日:103.08.24,RPTPMLRLLHMFFBG88CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,110.16,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,286.68,4,2,4,有,無,12000000,41859,坡道平面,0.0,0,私契日:103.07.05,RPUPMLRLLHMFFBG98CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,147.84,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,341.37,4,2,2,有,無,13800000,40425,坡道平面,0.0,0,私契日:103.09.03,RPWPMLRLLHMFFBG56CA
礁溪鄉,土地,常興段781~810地號,1152.0,,一般農業區,農牧用地,1021205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2260000,1962,,0.0,0,土地為配建,RPPOMLTLLHMFFBG58CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,110.94,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,275.57,4,2,3,有,無,12150000,44090,坡道平面,0.0,0,私契日:103.08.23,RPXNMLRLLHMFFBG09CA
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段180巷1~30號,113.33,住,,,1051208,土地2建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051014,281.67,3,2,2,有,無,12100000,42958,坡道平面,0.0,0,私契日:103.07.23,RPOOMLRLLHMFFBG28CA
羅東鎮,土地,北成段1801~1830地號,137.0,其他,,,1060206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2650000,19343,,0.0,0,,RPTNMLRKKHMFFAG48DA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮外大溪路181~210號,32.4,住,,,1060119,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690701,41.65,5,2,3,有,無,2500000,60024,,0.0,0,,RPQOMLKLKHMFFBG77DA
蘇澳鎮,土地,濱海段511~540地號,1317.08,農,,,1060112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2239430,1700,,0.0,0,,RPVNMLRKKHMFFAG78EA
蘇澳鎮,土地,濱海段481~510地號,1410.11,農,,,1060112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2091687,1483,,0.0,0,,RPWNMLRKKHMFFAG88EA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中興一路181巷1~30號,25.8,,特定農業區,甲種建築用地,1060206,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840605,66.41,3,2,2,有,無,1600000,24093,,0.0,0,,RPTNMLRKKHMFFBG68EA
礁溪鄉,土地,保安段151~180地號,2467.59,,特定農業區,農牧用地,1060202,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1216,,0.0,0,,RPPNMLKLKHMFFBG67EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路二段21巷1~30號,138.0,住,,,1060125,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0771214,181.5,5,2,5,有,無,14500000,79890,,0.0,0,,RPVNMLKLKHMFFBG28EA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿梅路61~90號,92.39,,特定農業區,甲種建築用地,1060125,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041124,191.31,5,2,5,有,無,10500000,54885,,0.0,0,,RPSNMLRKKHMFFAG28CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮博愛路31~60號,32.5,住,,,1051219,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680721,105.98,3,2,2,有,無,5000000,47179,,0.0,0,,RPVPMLNLKHMFFAG48CA
冬山鄉,土地,柯林二段241~270地號,3122.54,,特定農業區,甲種建築用地,1051224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67536637,21629,,0.0,0,,RPVNMLOLKHMFFAG38CA
