編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXPMLRLLHMFFBG66CA,,205.72,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPXPMLRLLHMFFBG66CA,,2.09,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPOQMLRLLHMFFBG48CA,,197.75,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPOQMLRLLHMFFBG48CA,,2.09,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPQQMLRLLHMFFBG68CA,,191.82,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項
RPQQMLRLLHMFFBG68CA,,2.09,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPUNMLRLLHMFFBG78CA,,236.36,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPUNMLRLLHMFFBG78CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPVNMLRLLHMFFBG88CA,,209.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPVNMLRLLHMFFBG88CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPWNMLRLLHMFFBG98CA,,213.85,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,三層 地下一層 一層 二層 見其他登記事項
RPWNMLRLLHMFFBG98CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPPOMLRLLHMFFBG38CA,,245.71,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPPOMLRLLHMFFBG38CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPQOMLRLLHMFFBG48CA,,248.17,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 見其他登記事項 地下一層
RPQOMLRLLHMFFBG48CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPROMLRLLHMFFBG58CA,,244.98,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPROMLRLLHMFFBG58CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPTOMLRLLHMFFBG78CA,,244.98,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPTOMLRLLHMFFBG78CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPUOMLRLLHMFFBG88CA,,244.98,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPUOMLRLLHMFFBG88CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPWOMLRLLHMFFBG09CA,,244.98,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPWOMLRLLHMFFBG09CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPXOMLRLLHMFFBG56CA,,256.46,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPXOMLRLLHMFFBG56CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPQPMLRLLHMFFBG58CA,,226.98,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPQPMLRLLHMFFBG58CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPRPMLRLLHMFFBG68CA,,244.59,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPRPMLRLLHMFFBG68CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPSPMLRLLHMFFBG78CA,,244.35,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPSPMLRLLHMFFBG78CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPTPMLRLLHMFFBG88CA,,244.35,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPTPMLRLLHMFFBG88CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPUPMLRLLHMFFBG98CA,,247.56,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,地下一層 見其他登記事項 一層 二層 三層
RPUPMLRLLHMFFBG98CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPWPMLRLLHMFFBG56CA,,302.25,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPWPMLRLLHMFFBG56CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPXNMLRLLHMFFBG09CA,,236.45,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPXNMLRLLHMFFBG09CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPOOMLRLLHMFFBG28CA,,242.55,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,一層 二層 三層 地下一層 見其他登記事項
RPOOMLRLLHMFFBG28CA,,39.12,見其他登記事項,鋼筋混凝土造,105年10月14日,三層,
RPQOMLKLKHMFFBG77DA,37,41.65,住家用,鋼筋混凝土加強磚造,69年7月1日,二層,一層 二層
RPTNMLRKKHMFFBG68EA,22,59.88,住家用,鋼筋混凝土造,84年6月5日,四層,四層
RPTNMLRKKHMFFBG68EA,22,6.53,共有部分,鋼筋混凝土造,84年6月5日,四層,
RPVNMLKLKHMFFBG28EA,28,181.50,住家用,鋼筋混凝土加強磚造,77年12月14日,二層,一層 二層
RPSNMLRKKHMFFAG28CA,1,191.31,見其他登記事項,鋼筋混凝土造,104年11月24日,三層,一層 二層 三層 見其他登記事項
RPVPMLNLKHMFFAG48CA,37,105.98,住家用,鋼筋混凝土造,68年7月21日,五層,三層
RPROMLSKKHMFFBG48CA,19,159.25,住家用,鋼筋混凝土造,86年12月5日,三層,一層 二層 三層
