鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區海山路350巷18弄1~30號,178.06,,一般農業區,甲種建築用地,1030901,土地4建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031230,309.49,6,1,6,有,無,24000000,77547,一樓平面,0.0,0,,RPQNMLNKMHMFFEH58EA
蘆竹區,土地,坑子外段山腳小段361~390地號,142.06,,一般農業區,甲種建築用地,1030901,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPTQMLNKMHMFFEH56EA
蘆竹區,土地,坑子外段山腳小段361~390地號,36.0,,一般農業區,農牧用地,1030901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPVQMLNKMHMFFEH76EA
蘆竹區,房地(土地+建物),桃園市蘆竹區海山路350巷18弄1~30號,194.64,,一般農業區,甲種建築用地,1050401,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031230,322.91,6,1,6,有,無,19100000,59150,,0.0,0,,RPRNMLNKMHMFFEH68EA
蘆竹區,土地,坑子外段山腳小段361~390地號,36.0,,一般農業區,農牧用地,1050401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPRRMLNKMHMFFEH09EA
蘆竹區,土地,坑子外段山腳小段361~390地號,158.64,,一般農業區,甲種建築用地,1050401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPTRMLNKMHMFFEH66EA
蘆竹區,土地,上興段61~90地號,478.34,住,,,1050501,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32750000,68466,,0.0,0,,RPSOMLPJMHMFFEH98EA
蘆竹區,土地,坑子外段山腳小段361~390地號,134.34,,一般農業區,甲種建築用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPXQMLNKMHMFFEH96EA
蘆竹區,房地(土地+建物),桃園市蘆竹區海山路350巷18弄1~30號,170.34,,一般農業區,甲種建築用地,1050601,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031230,301.94,4,2,6,有,無,18200000,60277,,0.0,0,,RPSNMLNKMHMFFEH78EA
蘆竹區,土地,坑子外段山腳小段361~390地號,36.0,,一般農業區,農牧用地,1050601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPPRMLNKMHMFFEH88EA
蘆竹區,土地,河底段901~930地號,174.19,農,,,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8516149,48890,,0.0,0,國有土地標售,RPXPMLQJMHMFFEH07EA
桃園區,土地,中路三段31~60地號,1202.42,住,,,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,223836495,186155,,0.0,0,,RPVOMLSJJILFFAH88EA
中壢區,房地(土地+建物)+車位,桃園市中壢區華美三路271~300號,12.35,商,,,1030501,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050219,117.86,2,1,1,有,有,5530000,49612,坡道平面,27.56,1050000,,RPROMLRJMHMFFBH78EA
八德區,房地(土地+建物)+車位,桃園市八德區廣興路31~60號,24.76,商,,,1051001,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040125,176.26,2,2,2,有,有,7800000,47797,坡道平面,37.13,1150000,親友、員工或其他特殊關係間之交易。,RPPNMLKKMHMFFFH28EA
大園區,房地(土地+建物)+車位,桃園市大園區五福路241~270號,30.26,,鄉村區,乙種建築用地,1051101,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050607,151.78,3,2,2,有,有,7580000,49941,坡道平面,0.0,0,,RPTOMLMKMHMFFEH88EA
大園區,房地(土地+建物)+車位,桃園市大園區五福路241~270號,24.44,,鄉村區,乙種建築用地,1051001,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050607,127.73,2,2,1,有,有,7380000,57778,坡道平面,0.0,0,,RPUOMLMKMHMFFEH98EA
大園區,房地(土地+建物)+車位,桃園市大園區五福路241~270號,24.44,,鄉村區,乙種建築用地,1051101,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050607,127.73,2,2,1,有,有,6300000,49323,坡道平面,0.0,0,,RPVOMLMKMHMFFEH09EA
桃園區,房地(土地+建物)+車位,桃園市桃園區國鼎一街1~30號,11.52,住,,,1051101,土地1建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840120,150.21,3,2,2,有,有,5700000,37947,坡道平面,0.0,0,,RPRNMLMLLHMFFAH18EA
桃園區,房地(土地+建物)+車位,桃園市桃園區天祥五街1~30號,12.33,住,,,1051001,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880111,153.57999999999998,3,2,2,有,有,9000000,58601,坡道平面,0.0,0,,RPQNMLMLLHMFFAH08EA
桃園區,房地(土地+建物),桃園市桃園區大有路151~180號,4.38,住,,,1051101,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830318,39.36,1,0,1,有,有,1880000,47764,,0.0,0,,RPWNMLOLLHMFFAH88EA
龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路61~90號,14.14,住,,,1051001,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030224,128.51,2,2,1,有,有,7030000,54704,坡道平面,28.83,0,,RPSNMLKKMHMFFHH78EA
中壢區,房地(土地+建物)+車位,桃園市中壢區自立五街61~90號,31.85,住,,,1051101,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920602,190.07,3,2,2,有,有,6566000,34545,坡道平面,0.0,0,,RPPQMLNKMHMFFBH48EA
桃園區,房地(土地+建物),桃園市桃園區永安北路421~450號,12.31,住,,,1051101,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830303,70.33,2,1,2,有,有,4500000,63984,,0.0,0,,RPSNMLNLLHMFFAH18CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平鎮區東勢里32鄰三和路31~60號,30.22,,鄉村區,乙種建築用地,1041201,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050718,126.63,2,2,2,有,有,5300000,45591,坡道平面,23.54,600000,,RPVNMLKKMHMFFGH78CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平鎮區東勢里32鄰三和路31~60號,39.49,,鄉村區,乙種建築用地,1050401,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050718,156.05,3,2,2,有,有,6770000,45915,坡道平面,21.67,600000,,RPWNMLKKMHMFFGH88CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平鎮區東勢里32鄰三和路31~60號,39.49,,鄉村區,乙種建築用地,1041101,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050718,134.38,3,2,2,有,有,6308000,46942,一樓平面,0.0,600000,,RPXNMLKKMHMFFGH98CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平鎮區東勢里32鄰三和路31~60號,30.22,,鄉村區,乙種建築用地,1050901,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050718,126.63,2,2,2,有,有,5600000,48501,坡道平面,23.54,600000,,RPOOMLKKMHMFFGH18CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平鎮區東勢里32鄰三和路31~60號,39.49,,鄉村區,乙種建築用地,1041001,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050718,157.92000000000002,3,2,2,有,有,6800000,46138,坡道平面,23.54,600000,,RPTOMLKKMHMFFGH68CA
桃園區,房地(土地+建物),桃園市桃園區大有路151~180號,4.51,住,,,1051201,土地1建物1車位0,十層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830318,35.72,1,0,1,有,有,1800000,50392,,0.0,0,,RPVNMLOLLHMFFAH78EA
平鎮區,房地(土地+建物),桃園市平鎮區廣達街87巷1~30號,76.0,住,,,1051001,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0820413,256.85,5,2,3,有,無,13500000,52560,,0.0,0,,RPSNMLNKMHMFFGH78CA
中壢區,房地(土地+建物)+車位,桃園市中壢區永春路151~180號,60.16,住,,,1051201,土地1建物1車位3,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040715,457.87,0,0,0,無,有,39800000,86924,坡道平面,114.31,0,,RPSNMLRJMHMFFBH78EA
蘆竹區,土地,坑子外段山腳小段361~390地號,152.67,,一般農業區,甲種建築用地,1050801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPVRMLNKMHMFFEH86EA
蘆竹區,土地,坑子外段山腳小段361~390地號,36.0,,一般農業區,農牧用地,1050801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,0,0,,0.0,0,,RPXRMLNKMHMFFEH07EA
蘆竹區,房地(土地+建物),桃園市蘆竹區海山路350巷18弄1~30號,188.67,,一般農業區,甲種建築用地,1050801,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031230,322.35,6,1,6,有,無,18000000,55840,,0.0,0,,RPTNMLNKMHMFFEH88EA
桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路249巷1~30號,28.84,住,,,1051201,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020730,160.54000000000002,3,2,2,有,無,10630000,66214,坡道平面,42.97,0,,RPTNMLMLLHMFFAH38EA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區延平路一段1~30號,24.04,商,,,1051201,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031222,293.02,4,2,3,有,有,20380000,75684,坡道平面,63.38,3000000,,RPWNMLPJMHMFFGH66CA
龜山區,土地,南崁頂段員林坑小段31~60地號,1278.71,其他,,,1060101,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1173,,0.0,0,,RPRNMLNLJHMFFHH58CA
八德區,房地(土地+建物),桃園市八德區興豐路836巷4弄1~30號,77.76,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950519,148.73,8,2,2,有,無,7300000,49082,,0.0,0,含增建或未登記建物。,RPWNMLQJMHMFFFH86EA
八德區,房地(土地+建物),桃園市八德區桃鶯路宏福巷1弄2衖31~60號,58.17,,鄉村區,乙種建築用地,1060101,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0700314,111.16,6,2,3,有,無,7500000,67470,,0.0,0,含增建或未登記建物。,RPPOMLPJMHMFFFH78EA
桃園區,房地(土地+建物),桃園市桃園區大有路511~540號,5.11,住,,,1060101,土地1建物1車位0,十六層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840419,48.75,1,1,1,有,有,2350000,48205,,0.0,0,,RPPNMLMLLHMFFAH97EA
桃園區,房地(土地+建物)+車位,桃園市桃園區國強七街91~120號,11.53,住,,,1051201,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860214,106.87,2,2,1,有,有,3920000,36680,升降平面,0.0,0,,RPUNMLOLLHMFFAH68EA
