編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLRJMHMFFBH78EA,,55.51,見其他登記事項,鋼筋混凝土造,105年2月19日,十五層,
RPROMLRJMHMFFBH78EA,,62.35,見其他登記事項,鋼筋混凝土造,105年2月19日,十五層,五層
RPPNMLKKMHMFFFH28EA,2,92.92,住家用,鋼筋混凝土造,104年1月25日,十二層,五層
RPPNMLKKMHMFFFH28EA,2,60.57,見其他登記事項,鋼筋混凝土造,104年1月25日,十二層,
RPPNMLKKMHMFFFH28EA,2,22.77,見其他登記事項,鋼筋混凝土造,104年1月25日,十二層,
RPRNMLMLLHMFFAH18EA,22,72.84,住家用,鋼筋混凝土造,84年1月20日,十六層,十三層
RPRNMLMLLHMFFAH18EA,22,13.92,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPRNMLMLLHMFFAH18EA,22,47.16,見其他登記事項,鋼筋混凝土造,84年1月20日,十六層,地下一層
RPRNMLMLLHMFFAH18EA,22,16.28,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPQNMLMLLHMFFAH08EA,18,93.63,住家用,鋼筋混凝土造,88年1月11日,二十一層,六層
RPQNMLMLLHMFFAH08EA,18,16.33,共有部份,鋼筋混凝土造,88年1月11日,二十一層,
RPQNMLMLLHMFFAH08EA,18,7.01,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPQNMLMLLHMFFAH08EA,18,.09,見其他登記事項,鋼筋混凝土造,88年1月11日,二十二層,地下一層
RPQNMLMLLHMFFAH08EA,18,36.52,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPQNMLMLLHMFFAH08EA,18,.01,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPWNMLOLLHMFFAH88EA,23,27.61,住家用,鋼筋混凝土造,83年3月18日,十二層,七層
RPWNMLOLLHMFFAH88EA,23,11.75,共有部份,鋼筋混凝土造,83年3月18日,十二層,
RPSNMLKKMHMFFHH78EA,3,68.76,住家用,鋼筋混凝土造,103年2月24日,十八層,十二層
RPSNMLKKMHMFFHH78EA,3,18.42,見其他登記事項,鋼筋混凝土造,103年2月24日,十八層,
