編號,車位類別,車位價格,車位面積平方公尺
RPROMLRJMHMFFBH78EA,坡道平面,1050000,27.56
RPPNMLKKMHMFFFH28EA,坡道平面,1150000,37.13
RPRNMLMLLHMFFAH18EA,坡道平面,0,
RPQNMLMLLHMFFAH08EA,坡道平面,0,
RPSNMLKKMHMFFHH78EA,坡道平面,0,28.83
RPVNMLKKMHMFFGH78CA,坡道平面,600000,23.54
RPWNMLKKMHMFFGH88CA,坡道平面,600000,21.67
RPXNMLKKMHMFFGH98CA,一樓平面,600000,
RPOOMLKKMHMFFGH18CA,坡道平面,600000,23.54
RPTOMLKKMHMFFGH68CA,坡道平面,600000,23.54
RPSNMLRJMHMFFBH78EA,坡道平面,0,34.43
RPSNMLRJMHMFFBH78EA,坡道平面,0,39.94
RPSNMLRJMHMFFBH78EA,坡道平面,0,39.94
RPTNMLMLLHMFFAH38EA,坡道平面,0,42.97
RPWNMLPJMHMFFGH66CA,坡道平面,0,31.69
RPWNMLPJMHMFFGH66CA,坡道平面,0,31.69
RPUNMLOLLHMFFAH68EA,升降平面,0,
RPSOMLLMLHMFFBH28CA,坡道平面,0,
RPSNMLNKLHMFFEH48CA,坡道平面,1250000,30.07
RPURMLOKLHMFFEH56CA,坡道平面,0,
RPWNMLSKKHMFFFH76CA,坡道平面,1300000,34.40
RPPOMLSKKHMFFFH78CA,坡道平面,1150000,34.40
RPSOMLKLKHMFFFH38CA,坡道平面,1250000,34.40
RPTOMLKLKHMFFFH48CA,坡道平面,1300000,34.40
RPQNMLNLKHMFFFH38CA,坡道平面,1000000,29.74
RPRNMLRKKHMFFHH98CA,坡道平面,0,36.27
RPSNMLRKKHMFFHH09CA,一樓平面,0,
RPTNMLSKKHMFFHH66CA,坡道機械,850000,40.34
RPWNMLQKLHMFFGH76CA,坡道平面,0,
RPWNMLQKLHMFFGH76CA,坡道平面,0,
RPXNMLRKLHMFFGH96CA,坡道平面,0,42.59
RPSNMLNKLHMFFFH58CA,坡道平面,1350000,25.84
RPTNMLNKLHMFFFH68CA,坡道平面,1200000,25.84
RPRPMLOKLHMFFFH78CA,坡道平面,1200000,33.75
RPOOMLLLKHMFFGH18CA,坡道平面,0,
RPPOMLLJLHMFFGH18CA,坡道平面,0,
RPTPMLLLKHMFFBH38DA,坡道平面,0,38.01
RPVQMLLLKHMFFBH68DA,一樓平面,0,
