編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUPMLRJKILFFBH98CC,20,79.14,住家用,鋼筋混凝土造,85年9月4日,十二層,
RPUPMLRJKILFFBH98CC,20,1.14,共有部份,鋼筋混凝土造,85年9月4日,十三層,
RPUPMLRJKILFFBH98CC,20,9.05,共有部份,鋼筋混凝土造,85年9月4日,十三層,
RPWPMLSJKILFFBH66CC,41,162.00,住家用,加強磚造,64年8月22日,二層,
RPROMLTJKILFFDH98CC,21,337.06,工業用,鋼造,84年11月28日,二層,
RPSPMLOKKILFFBH58CC,10,297.63,見其他登記事項,鋼筋混凝土造,95年11月1日,五層,
RPOQMLOKKILFFBH28CC,39,47.08,住家用,加強磚造,66年10月1日,二層,
RPTNMLOKKILFFFH88CC,21,189.64,見其他登記事項,鋼筋混凝土造,84年10月6日,五層,
RPUNMLQKKILFFDH09DC,2,222.40,見其他登記事項,鋼筋混凝土造,103年8月18日,四層,
RPQNMLTKKILFFFH09CC,22,249.04,見其他登記事項,鋼筋混凝土造,83年8月25日,五層,
RPTPMLNLKILFFGH56CC,36,101.00,住家用,加強磚造,69年9月6日,三層,
RPUPMLNLKILFFGH66CC,39,245.90,住家用,鋼筋混凝土造,67年2月13日,三層,
RPPQMLNLKILFFBH38CC,39,81.50,住家用,加強磚造,66年10月1日,二層,
RPTQMLNLKILFFBH78CC,47,1335.54,工業用,加強磚造,59年2月16日,二層,
RPUNMLNLKILFFAH48CC,11,390.49,見其他登記事項,鋼筋混凝土造,95年3月28日,五層,
RPUNMLOLKILFFGH66DC,8,310.11,見其他登記事項,鋼筋混凝土造,97年10月28日,四層,
RPVNMLOLKILFFGH76DC,3,188.12,見其他登記事項,鋼筋混凝土造,103年4月23日,四層,
RPQPMLSLKILFFAH88DC,30,128.37,住家用,鋼筋混凝土造,76年2月18日,二層,
RPRNMLNJJHMFFHH58CC,1,99.85,住家用,鋼筋混凝土造,104年8月14日,二十層,
RPRNMLNJJHMFFHH58CC,1,8.86,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPRNMLNJJHMFFHH58CC,1,4.46,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPRNMLNJJHMFFHH58CC,1,31.66,見其他登記事項,鋼筋混凝土造,104年8月14日,二十層,
RPRNMLNJJHMFFHH58CC,1,37.58,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPXRMLNJJHMFFBH98CC,34,166.77,見其他登記事項,鋼筋混凝土造,71年9月20日,三層,
RPTOMLPJJHMFFBH48CC,39,492.30,商業用,鋼筋混凝土造,66年11月8日,四層,
RPTNMLQJJHMFFHH09CC,1,53.10,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPTNMLQJJHMFFHH09CC,1,17.49,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPTNMLQJJHMFFHH09CC,1,5.34,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPTNMLQJJHMFFHH09CC,1,.01,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPSNMLTJJHMFFHH66CC,37,258.72,住家用,鋼筋混凝土造,69年4月25日,三層,
RPSNMLTJJHMFFHH66CC,37,251.79,住家用,鋼筋混凝土造,69年4月25日,三層,
RPRQMLKKJHMFFFH58DC,11,236.28,住商用,鋼筋混凝土造,94年8月2日,五層,
RPTOMLLKJHMFFGH68CC,5,221.53,住家用,鋼筋混凝土造,100年11月18日,四層,
RPTOMLLKJHMFFGH68CC,5,.12,共有部份,鋼筋混凝土造,100年11月18日,一層,
RPSQMLLKJHMFFBH28CC,39,74.34,住家用,加強磚造,66年12月15日,二層,
RPUOMLNKJHMFFEH88DC,28,24.80,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,39.60,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,36.00,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,14.80,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPUOMLNKJHMFFEH88DC,28,15.00,見其他登記事項,鋼筋混凝土造,78年4月3日,三層,
RPQNMLQKJHMFFHH88CC,16,172.44,工業用,鋼筋混凝土造,89年10月3日,七層,
RPQNMLQKJHMFFHH88CC,16,188.64,工業用,鋼筋混凝土造,89年10月3日,七層,
RPRNMLQKJHMFFHH98CC,2,89.28,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPRNMLQKJHMFFHH98CC,2,29.38,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPRNMLQKJHMFFHH98CC,2,8.96,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPRNMLQKJHMFFHH98CC,2,.01,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPRPMLRKJHMFFDH88CC,30,126.86,住家用,加強磚造,76年7月5日,二層,
RPPOMLSKJHMFFEH78CC,4,236.47,見其他登記事項,見其他登記事項,101年8月20日,二層,
RPPOMLSKJHMFFEH78CC,4,236.47,見其他登記事項,見其他登記事項,101年8月20日,二層,
RPPOMLSKJHMFFEH78CC,4,77.04,共有部份,見其他登記事項,101年8月20日,二層,
RPOPMLSKJHMFFHH09CC,1,99.85,住家用,鋼筋混凝土造,104年8月14日,二十三層,
RPOPMLSKJHMFFHH09CC,1,8.86,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPOPMLSKJHMFFHH09CC,1,4.46,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPOPMLSKJHMFFHH09CC,1,28.50,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPOOMLTKJHMFFHH09CC,12,182.63,住家用,鋼骨鋼筋混凝土造,94年2月5日,十四層,
RPWRMLTKJHMFFDH17CC,6,196.87,見其他登記事項,鋼筋混凝土造,100年4月15日,四層,
RPWRMLTKJHMFFDH17CC,6,5.13,見其他登記事項,鋼筋混凝土造,100年4月15日,四層,
RPUOMLKLJHMFFDH58DC,16,160.12,住家用,鋼筋混凝土造,90年5月7日,四層,
RPUOMLNLJHMFFGH66EC,23,168.48,住家用,鋼筋混凝土造,82年10月26日,三層,
RPUNMLNLJHMFFHH09CC,13,73.61,住家用,鋼筋混凝土造,93年6月30日,十二層,
RPUNMLNLJHMFFHH09CC,13,.11,見其他登記事項,鋼筋混凝土造,93年6月30日,十二層,
RPVNMLNLJHMFFHH56CC,13,73.61,住家用,鋼筋混凝土造,93年6月30日,十二層,
RPVNMLNLJHMFFHH56CC,13,.11,見其他登記事項,鋼筋混凝土造,93年6月30日,十二層,
RPWNMLOLJHMFFHH76CC,19,33.67,住家用,鋼筋混凝土造,87年4月18日,八層,
RPOOMLOLJHMFFHH68CC,1,113.43,住家用,鋼筋混凝土造,104年7月9日,十九層,
RPOOMLOLJHMFFHH68CC,1,37.13,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPOOMLOLJHMFFHH68CC,1,11.33,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPOOMLOLJHMFFHH68CC,1,1.01,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPSNMLPLJHMFFEH78CC,28,152.35,見其他登記事項,鋼筋混凝土造,78年4月3日,四層,
RPPNMLNJKHMFFHH58DC,39,126.53,住家用,加強磚造,66年9月6日,二層,
RPSNMLQJKHMFFHH09CC,45,97.27,見其他登記事項,加強磚造,61年1月1日,二層,
RPSNMLQJKHMFFHH09CC,45,134.38,見其他登記事項,加強磚造,61年1月1日,二層,
RPOOMLQJKHMFFHH78CC,2,89.28,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPOOMLQJKHMFFHH78CC,2,29.38,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPOOMLQJKHMFFHH78CC,2,8.96,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPOOMLQJKHMFFHH78CC,2,.01,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPXNMLRJKHMFFHH07CC,1,90.83,住家用,鋼筋混凝土造,104年8月14日,二十層,
RPXNMLRJKHMFFHH07CC,1,9.02,住家用,鋼筋混凝土造,104年8月14日,二十層,
RPXNMLRJKHMFFHH07CC,1,8.86,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPXNMLRJKHMFFHH07CC,1,4.46,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPXNMLRJKHMFFHH07CC,1,29.32,見其他登記事項,鋼筋混凝土造,104年8月14日,二十層,
RPUNMLKKKHMFFHH78CC,1,368.26,見其他登記事項,鋼筋混凝土造,104年8月14日,二十三層,
RPVOMLOKKHMFFBH78CC,41,81.49,住家用,加強磚造,64年10月29日,一層,
RPQOMLPKKHMFFEH68CC,27,1055.00,見其他登記事項,鋼筋混凝土造,79年1月24日,一層,
RPTNMLPKKHMFFHH56CC,23,90.25,住家用,鋼筋混凝土造,82年10月8日,六層,
RPTNMLPKKHMFFHH56CC,23,13.53,共有部份,鋼筋混凝土造,82年10月8日,六層,
RPTNMLPKKHMFFHH56CC,23,37.68,共有部份,鋼筋混凝土造,82年10月8日,六層,
RPPNMLQKKHMFFHH88CC,6,174.13,住家用,鋼筋混凝土造,100年7月1日,十五層,
RPSNMLQKKHMFFHH56CC,2,69.47,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPSNMLQKKHMFFHH56CC,2,22.85,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPSNMLQKKHMFFHH56CC,2,6.97,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPSNMLQKKHMFFHH56CC,2,.01,見其他登記事項,鋼筋混凝土造,104年7月9日,二十一層,
RPWNMLQKKHMFFHH96CC,35,26.40,住家用,鋼筋混凝土造,70年12月31日,十二層,
RPWNMLQKKHMFFHH96CC,35,4.96,共有部份,鋼筋混凝土造,70年12月31日,十二層,
RPROMLQKKHMFFFH98CC,3,88.72,住家用,鋼筋混凝土造,103年1月20日,十五層,
RPROMLQKKHMFFFH98CC,3,17.98,見其他登記事項,鋼筋混凝土造,103年1月20日,十五層,
RPROMLQKKHMFFFH98CC,3,2.93,見其他登記事項,鋼筋混凝土造,103年1月20日,十五層,
RPROMLQKKHMFFFH98CC,3,45.86,見其他登記事項,鋼筋混凝土造,103年1月20日,十五層,
RPWNMLQKKHMFFEH66CC,12,231.35,見其他登記事項,鋼筋混凝土造,93年12月7日,五層,
RPXNMLQKKHMFFEH76CC,1,60.32,住家用,鋼筋混凝土造,104年9月3日,八層,
RPXNMLQKKHMFFEH76CC,1,64.15,共有部份,鋼筋混凝土造,104年9月3日,八層,
RPORMLQKKHMFFBH58CC,4,66.67,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPORMLQKKHMFFBH58CC,4,61.16,見其他登記事項,鋼筋混凝土造,102年5月25日,十五層,
RPRNMLQKKHMFFFH98DC,3,140.47,見其他登記事項,鋼筋混凝土造,103年6月23日,十五層,
RPPOMLRKKHMFFBH48CC,40,77.60,工業用,加強磚造,65年8月7日,一層,
RPOOMLRKKHMFFEH68CC,14,87.41,住家用,鋼筋混凝土造,92年1月9日,十二層,
RPQNMLRKKHMFFHH09CC,1,99.48,住家用,鋼筋混凝土造,104年10月1日,十四層,
RPQNMLRKKHMFFHH09CC,21,22.90,住家用,鋼筋混凝土造,85年3月13日,八層,
RPQNMLRKKHMFFHH09CC,21,31.20,住家用,鋼筋混凝土造,85年3月13日,八層,
RPPNMLSKKHMFFEH78CC,2,98.81,見其他登記事項,鋼筋混凝土造,104年7月13日,十七層,
RPPNMLSKKHMFFEH78CC,2,48.16,共有部份,鋼筋混凝土造,104年7月13日,十八層,
RPPNMLSKKHMFFEH78CC,2,32.48,共有部份,鋼筋混凝土造,104年7月13日,十八層,
RPOOMLSKKHMFFAH38CC,45,111.94,住家用,加強磚造,60年11月10日,二層,
RPROMLSKKHMFFBH78CC,13,70.99,住家用,鋼筋混凝土造,92年8月28日,八層,
RPROMLSKKHMFFBH78CC,13,20.54,共有部分,鋼筋混凝土造,92年8月28日,八層,
RPPQMLKLKHMFFBH08CC,3,82.87,見其他登記事項,鋼筋混凝土造,103年6月28日,十五層,
RPPQMLKLKHMFFBH08CC,3,69.95,見其他登記事項,鋼筋混凝土造,103年6月28日,十五層,
RPRQMLKLKHMFFBH28CC,24,80.62,住家用,鋼筋混凝土造,82年3月24日,十二層,
RPRQMLKLKHMFFBH28CC,24,12.90,共有部分,鋼筋混凝土造,82年3月24日,十二層,
RPRQMLKLKHMFFBH28CC,24,7.46,共有部分,鋼筋混凝土造,82年3月24日,十二層,
RPPOMLKLKHMFFDH08CC,21,57.85,住家用,鋼筋混凝土造,84年11月7日,十二層,
RPPOMLKLKHMFFDH08CC,21,36.37,見其他登記事項,鋼筋混凝土造,84年11月7日,十二層,
RPPOMLKLKHMFFDH08CC,21,8.24,見其他登記事項,鋼筋混凝土造,84年11月7日,十二層,
RPSOMLKLKHMFFEH48CC,22,96.91,住家用,鋼筋混凝土造,84年4月25日,五層,
RPXNMLKLKHMFFFH98CC,38,13.12,住家用,鋼筋混凝土造,68年4月20日,四層,
RPXNMLKLKHMFFGH09CC,29,134.72,住家用,加強磚造,76年11月28日,二層,
RPWNMLKLKHMFFFH98DC,3,183.40,住家用,鋼筋混凝土造,102年11月15日,十四層,
RPUOMLKLKHMFFFH88DC,3,172.69,住家用,鋼筋混凝土造,103年5月26日,十四層,
RPPNMLLLKHMFFEH28DC,7,134.45,見其他登記事項,鋼筋混凝土造,99年6月10日,十四層,
RPPNMLLLKHMFFEH28DC,7,21.33,共有部份,鋼筋混凝土造,99年6月10日,十四層,
RPPNMLLLKHMFFEH28DC,7,11.04,共有部份,鋼筋混凝土造,99年6月10日,十四層,
RPPNMLLLKHMFFEH28DC,7,20.30,共有部份,鋼筋混凝土造,99年6月10日,十四層,
RPPNMLLLKHMFFEH28DC,7,.05,見其他登記事項,鋼筋混凝土造,99年6月10日,十四層,
RPPNMLLLKHMFFEH28DC,7,36.29,共有部份,鋼筋混凝土造,99年6月10日,十四層,
RPSNMLLLKHMFFGH78DC,9,65.39,住家用,鋼筋混凝土造,96年10月25日,十三層,
RPQOMLLLKHMFFGH68DC,1,61.64,住家用,鋼筋混凝土造,104年9月30日,十九層,
RPQOMLLLKHMFFGH68DC,1,9.72,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPQOMLLLKHMFFGH68DC,1,38.94,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPQOMLLLKHMFFGH68DC,1,21.25,共有部份,鋼筋混凝土造,104年9月30日,十九層,
RPTNMLLLKHMFFFH78DC,19,106.72,住家用,鋼筋混凝土造,86年9月19日,九層,
RPTNMLLLKHMFFFH78DC,19,13.26,共有部分,鋼筋混凝土造,86年9月19日,九層,
RPTNMLLLKHMFFFH78DC,19,2.61,共有部分,鋼筋混凝土造,86年9月19日,九層,
RPTNMLLLKHMFFFH78DC,19,34.80,共有部分,鋼筋混凝土造,86年9月19日,九層,
RPXNMLLLKHMFFFH56DC,9,89.86,住家用,鋼筋混凝土造,96年8月15日,十三層,
RPXNMLLLKHMFFFH56DC,9,40.74,共有部分,鋼筋混凝土造,96年8月15日,十五層,
RPXNMLLLKHMFFFH56DC,9,15.73,共有部分,鋼筋混凝土造,96年8月15日,十三層,
RPPOMLLLKHMFFFH48DC,17,92.00,住家用,鋼筋混凝土造,88年11月25日,十三層,
RPPOMLLLKHMFFFH48DC,17,18.95,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPPOMLLLKHMFFFH48DC,17,23.45,共有部分,鋼筋混凝土造,88年11月25日,十三層,
RPROMLLLKHMFFFH78EC,12,122.77,見使用執照,鋼筋混凝土造,93年9月19日,五層,
RPROMLLLKHMFFFH78EC,12,31.03,共有部份,鋼筋混凝土造,93年9月19日,五層,
RPWNMLLLKHMFFCH78DC,10,60.76,見其他登記事項,鋼筋混凝土造,96年7月12日,九層,
RPPOMLLLKHMFFGH48CC,18,78.66,見其他登記事項,鋼筋混凝土造,88年7月26日,十八層,
RPPOMLLLKHMFFGH48CC,18,17.28,共有部份,鋼筋混凝土造,88年7月26日,十八層,
RPPOMLLLKHMFFGH48CC,18,5.66,共有部份,鋼筋混凝土造,88年7月26日,十八層,
RPPOMLLLKHMFFGH48CC,18,2.86,共有部份,鋼筋混凝土造,88年7月26日,十八層,
RPPOMLLLKHMFFGH48CC,18,2.86,共有部份,鋼筋混凝土造,88年7月26日,十八層,
RPPOMLLLKHMFFGH48CC,18,2.94,共有部份,鋼筋混凝土造,88年7月26日,十八層,
RPPOMLLLKHMFFGH48CC,18,5.27,見其他登記事項,鋼筋混凝土造,88年7月26日,十八層,
RPXOMLLLKHMFFBH88DC,9,55.84,住家用,鋼筋混凝土造,96年10月25日,七層,
RPXOMLLLKHMFFBH88DC,9,2.72,住家用,鋼筋混凝土造,96年10月25日,七層,
RPXOMLLLKHMFFBH88DC,9,2.94,住家用,鋼筋混凝土造,96年10月25日,七層,
RPXOMLLLKHMFFBH88DC,9,13.51,共有部分,鋼筋混凝土造,96年10月25日,七層,
RPXOMLLLKHMFFBH88DC,9,41.40,共有部分,鋼筋混凝土造,96年10月25日,八層,
RPWOMLLLKHMFFBH68CC,48,40.90,住家用,加強磚造,57年12月31日,一層,
RPVPMLLLKHMFFBH68CC,35,126.28,住商用,鋼筋混凝土造,70年8月24日,四層,
RPWPMLLLKHMFFBH78CC,28,22.11,住家用,鋼筋混凝土造,77年9月23日,五層,
RPQOMLMLKHMFFBH18CC,45,129.98,住家用,加強磚造,61年6月16日,二層,
RPSPMLMLKHMFFBH48CC,11,57.52,見其他登記事項,鋼筋混凝土造,94年8月24日,十二層,
RPSPMLMLKHMFFBH48CC,11,3.36,共有部分,鋼筋混凝土造,94年8月24日,十二層,
RPUPMLMLKHMFFBH68CC,39,74.34,住家用,加強磚造,66年12月15日,二層,
RPSOMLMLKHMFFEH68CC,15,1550.79,見其他登記事項,見其他登記事項,91年2月5日,二層,
RPSOMLMLKHMFFEH68CC,10,1602.68,見其他登記事項,見其他登記事項,96年3月28日,一層,
RPRNMLMLKHMFFAH08CC,25,122.73,見其他登記事項,鋼筋混凝土造,80年9月18日,十二層,
RPOOMLMLKHMFFBH08DC,19,214.83,住家用,鋼筋混凝土造,87年8月5日,七層,
RPRQMLMLKHMFFBH58DC,12,145.32,見其他登記事項,鋼筋混凝土造,94年3月20日,七層,
RPTQMLMLKHMFFBH78DC,37,15.00,住商用,加強磚造,68年11月26日,二層,
RPUQMLMLKHMFFBH88DC,10,14.00,見其他登記事項,鋼筋混凝土造,95年8月25日,四層,
RPVQMLMLKHMFFBH98DC,10,14.00,見其他登記事項,鋼筋混凝土造,95年8月25日,四層,
RPVNMLMLKHMFFGH09CC,11,69.39,住家用,鋼筋混凝土造,95年7月16日,十三層,
RPVNMLMLKHMFFGH09CC,11,13.42,共有部份,鋼筋混凝土造,95年7月16日,十三層,
RPVNMLMLKHMFFGH09CC,11,14.23,共有部份,鋼筋混凝土造,95年7月16日,十三層,
RPPOMLMLKHMFFFH48CC,2,62.77,住家用,鋼筋混凝土造,104年4月16日,十三層,
RPPOMLMLKHMFFFH48CC,2,63.46,見其他登記事項,鋼筋混凝土造,104年4月16日,十三層,
RPVOMLMLKHMFFFH09CC,24,63.85,住家用,鋼筋混凝土造,82年2月25日,十一層,
RPVOMLMLKHMFFFH09CC,24,8.06,住家用,鋼筋混凝土造,82年2月25日,十一層,
RPVOMLMLKHMFFFH09CC,24,12.54,共有部分,鋼筋混凝土造,82年2月25日,十一層,
RPVOMLMLKHMFFFH09CC,24,8.97,共有部分,鋼筋混凝土造,82年2月25日,十三層,
RPSNMLMLKHMFFHH88CC,21,85.36,住家用,鋼筋混凝土造,84年9月11日,四層,
RPSNMLMLKHMFFHH88CC,21,43.11,共有部份,鋼筋混凝土造,84年9月11日,四層,
RPWNMLMLKHMFFFH56DC,5,90.54,住家用,鋼筋混凝土造,100年11月18日,十三層,
RPWNMLMLKHMFFFH56DC,5,21.59,見其他登記事項,鋼筋混凝土造,100年11月18日,十三層,
RPWNMLMLKHMFFFH56DC,5,44.81,見其他登記事項,鋼筋混凝土造,100年11月18日,十三層,
RPROMLMLKHMFFFH78DC,4,270.63,見其他登記事項,鋼筋混凝土造,101年11月6日,五層,
RPVNMLNLKHMFFFH56DC,28,124.14,住商用,鋼筋混凝土造,78年8月10日,三層,
RPTOMLNLKHMFFFH09DC,24,81.16,住家用,鋼筋混凝土造,81年12月22日,七層,
RPTOMLNLKHMFFFH09DC,24,4.07,住家用,鋼筋混凝土造,81年12月22日,七層,
RPTOMLNLKHMFFFH09DC,24,21.02,共有部分,鋼筋混凝土造,81年12月22日,七層,
RPTOMLNLKHMFFFH09DC,24,27.72,見其他登記事項,鋼筋混凝土造,81年12月22日,七層,
RPTNMLNLKHMFFFH09EC,2,68.12,見其他登記事項,鋼筋混凝土造,104年6月17日,二十四層,
RPTNMLNLKHMFFFH09EC,2,45.16,見其他登記事項,鋼筋混凝土造,104年6月17日,二十四層,
RPSOMLNLKHMFFAH38CC,22,53.65,住家用,鋼筋混凝土造,84年1月20日,十六層,
RPSOMLNLKHMFFAH38CC,22,7.32,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPSOMLNLKHMFFAH38CC,22,12.00,共有部份,鋼筋混凝土造,84年1月20日,十六層,
RPUNMLOLKHMFFEH98CC,18,133.30,住家用,鋼筋混凝土造,87年12月29日,十四層,
RPUNMLOLKHMFFEH98CC,18,15.41,共有部份,鋼筋混凝土造,87年12月29日,十四層,
RPUNMLOLKHMFFEH98CC,18,54.76,共有部份,鋼筋混凝土造,87年12月29日,十四層,
RPOOMLOLKHMFFEH48CC,27,176.52,工業用,鋼造,79年1月5日,一層,
RPQOMLOLKHMFFBH38CC,14,114.07,住家用,鋼筋混凝土造,92年6月2日,十四層,
RPQOMLOLKHMFFBH38CC,14,24.52,共有部分,鋼筋混凝土造,92年6月2日,十四層,
RPQOMLOLKHMFFBH38CC,14,51.48,共有部分,鋼筋混凝土造,92年6月2日,十四層,
RPTNMLOLKHMFFHH56CC,27,90.51,見其他登記事項,鋼筋混凝土造,79年2月9日,五層,
RPUNMLOLKHMFFHH66CC,27,90.51,見其他登記事項,鋼筋混凝土造,79年2月9日,五層,
RPRRMLOLKHMFFBH98EC,6,64.51,住家用,鋼筋混凝土造,99年5月22日,二十三層,
RPRRMLOLKHMFFBH98EC,6,15.50,見其他登記事項,鋼筋混凝土造,99年5月22日,二十三層,
RPRRMLOLKHMFFBH98EC,6,29.18,見其他登記事項,鋼筋混凝土造,99年5月22日,二十三層,
RPSRMLOLKHMFFBH09EC,8,257.50,見其他登記事項,鋼筋混凝土造,97年4月24日,四層,
RPPNMLPLKHMFFFH88EC,1,60.24,住家用,鋼筋混凝土造,104年12月17日,十六層,
RPPNMLPLKHMFFFH88EC,1,14.07,見其他登記事項,鋼筋混凝土造,104年12月17日,十六層,
RPPNMLPLKHMFFFH88EC,1,38.47,見其他登記事項,鋼筋混凝土造,104年12月17日,十六層,
RPPNMLPLKHMFFFH88EC,1,14.04,見其他登記事項,鋼筋混凝土造,104年12月17日,十六層,
RPPNMLQLKHMFFBH48DC,10,14.00,見其他登記事項,鋼筋混凝土造,95年8月25日,四層,
RPQNMLQLKHMFFBH58DC,10,14.00,見其他登記事項,鋼筋混凝土造,95年8月25日,四層,
