編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUPMLRJKILFFBH98CC,復興段,.00,都市：住
RPWPMLSJKILFFBH66CC,老街溪段,.00,都市：住
RPROMLTJKILFFDH98CC,高獅段,195.96,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPROMLTJKILFFDH98CC,高獅段,239.94,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPSPMLOKKILFFBH58CC,中壢埔頂段,.00,都市：住
RPOQMLOKKILFFBH28CC,仁美段,.00,都市：住
RPTNMLOKKILFFFH88CC,廣隆段,55.30,都市：住
RPUNMLQKKILFFDH09DC,草湳坡段埔心小段,91.00,都市：住
RPQNMLTKKILFFFH09CC,東勇段,81.05,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLNLKILFFGH56CC,西社段,.00,都市：住
RPTPMLNLKILFFGH56CC,西社段,.00,都市：其他
RPUPMLNLKILFFGH66CC,德育段,.00,都市：住
RPPQMLNLKILFFBH38CC,仁祥段,.00,都市：住
RPTQMLNLKILFFBH78CC,內壢段,.00,都市：工
RPUNMLNLKILFFAH48CC,新埔段,107.00,都市：住
RPUNMLOLKILFFGH66DC,金鍊段,87.19,都市：住
RPUNMLOLKILFFGH66DC,金鍊段,21.64,都市：住
RPVNMLOLKILFFGH76DC,富貴段,.27,都市：住
RPVNMLOLKILFFGH76DC,富貴段,82.23,都市：住
RPVNMLOLKILFFGH76DC,富貴段,9.35,都市：住
RPVNMLOLKILFFGH76DC,富貴段,2.16,都市：住
RPQPMLSLKILFFAH88DC,龍安段,110.00,都市：住
RPRNMLNJJHMFFHH58CC,善捷段,.00,都市：其他
RPXRMLNJJHMFFBH98CC,中壢埔頂段,.00,都市：住
RPTOMLPJJHMFFBH48CC,石頭段,.00,都市：商
RPTNMLQJJHMFFHH09CC,善捷段,11.09,都市：住
RPSNMLTJJHMFFHH66CC,興華段,130.00,都市：住
RPSNMLTJJHMFFHH66CC,興華段,126.00,都市：住
RPRQMLKKJHMFFFH58DC,興隆段,86.07,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLLKJHMFFGH68CC,南勢段,.00,都市：住
RPTOMLLKJHMFFGH68CC,南勢段,.00,都市：住
RPSQMLLKJHMFFBH28CC,忠孝段,.00,都市：住
RPUOMLNKJHMFFEH88DC,大竹圍段,48.88,都市：住
RPQNMLQKJHMFFHH88CC,蔗園段,3398.00,都市：其他
RPRNMLQKJHMFFHH98CC,善捷段,18.56,都市：住
RPRPMLRKJHMFFDH88CC,草湳坡段埔心小段,.00,都市：住
RPPOMLSKJHMFFEH78CC,長興段,39.13,都市：工
RPPOMLSKJHMFFEH78CC,長興段,386.14,都市：工
RPOPMLSKJHMFFHH09CC,善捷段,22.59,都市：住
RPOOMLTKJHMFFHH09CC,陸光段,36.27,都市：住
RPWRMLTKJHMFFDH17CC,甡甡段,.00,都市：農
RPUOMLKLJHMFFDH58DC,清華段,80.82,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUOMLNLJHMFFGH66EC,平鎮段,58.87,都市：商
RPUNMLNLJHMFFHH09CC,龜山段,14.53,都市：商
RPUNMLNLJHMFFHH09CC,龜山段,4.40,都市：其他
RPVNMLNLJHMFFHH56CC,龜山段,14.53,都市：商
RPVNMLNLJHMFFHH56CC,龜山段,4.40,都市：其他
RPWNMLOLJHMFFHH76CC,興華段,9.31,都市：其他
RPOOMLOLJHMFFHH68CC,善捷段,23.47,都市：住
RPSNMLPLJHMFFEH78CC,大竹圍段,64.56,都市：住
RPPNMLNJKHMFFHH58DC,山鶯段,79.04,都市：住
RPSNMLQJKHMFFHH09CC,蔗園段,168.38,都市：工
RPSNMLQJKHMFFHH09CC,蔗園段,168.49,都市：工
RPOOMLQJKHMFFHH78CC,善捷段,18.56,都市：住
RPXNMLRJKHMFFHH07CC,善捷段,22.28,都市：住
RPUNMLKKKHMFFHH78CC,善捷段,26.11,都市：商
RPVOMLOKKHMFFBH78CC,興南段公坡小段,.00,都市：農
RPQOMLPKKHMFFEH68CC,長興段,1694.81,都市：工
RPTNMLPKKHMFFHH56CC,興華段,42.94,都市：住
RPPNMLQKKHMFFHH88CC,精忠段,19.61,都市：住
RPSNMLQKKHMFFHH56CC,善捷段,14.44,都市：住
RPWNMLQKKHMFFHH96CC,龜山段,.00,都市：商
RPROMLQKKHMFFFH98CC,福興段,.00,都市：商
RPWNMLQKKHMFFEH66CC,五福段,.00,都市：住
RPXNMLQKKHMFFEH76CC,客運二段,.00,都市：住
RPORMLQKKHMFFBH58CC,三座屋段三座屋小段,17.13,都市：住
RPRNMLQKKHMFFFH98DC,興仁段,20.97,都市：商
RPPOMLRKKHMFFBH48CC,中原段,.00,都市：住
RPOOMLRKKHMFFEH68CC,河底段,15.00,都市：住
RPQNMLRKKHMFFHH09CC,興華段,14.10,都市：住
RPPNMLSKKHMFFEH78CC,六福段,.00,都市：工
RPOOMLSKKHMFFAH38CC,慈文段,.00,都市：住
RPROMLSKKHMFFBH78CC,後興段,.00,都市：住
RPPQMLKLKHMFFBH08CC,培英段,23.91,都市：其他
RPRQMLKLKHMFFBH28CC,中壢埔頂段,.00,都市：住
RPPOMLKLKHMFFDH08CC,幼獅段,.00,都市：住
RPSOMLKLKHMFFEH48CC,竹圍段拔子林小段,37.65,都市：住
RPXNMLKLKHMFFFH98CC,大智段,.00,都市：住
RPXNMLKLKHMFFGH09CC,振平段,.00,都市：住
RPWNMLKLKHMFFFH98DC,豐田段,32.07,都市：住
RPUOMLKLKHMFFFH88DC,福興段,32.80,都市：住
RPRNMLKLKHMFFEH38DC,宏昌段,394.36,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLKLKHMFFEH38DC,宏昌段,79.45,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLKLKHMFFEH38DC,宏昌段,375.10,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLKLKHMFFEH38DC,宏昌段,712.89,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLKLKHMFFEH38DC,宏昌段,138.38,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLLKHMFFEH28DC,錦中段,22.65,都市：工
RPSNMLLLKHMFFGH78DC,平鎮段,14.65,都市：商
RPQOMLLLKHMFFGH68DC,忠貞段,11.22,都市：商
RPTNMLLLKHMFFFH78DC,永福段,23.22,都市：住
RPXNMLLLKHMFFFH56DC,大和段,19.04,都市：住
RPPOMLLLKHMFFFH48DC,大智段,24.16,都市：住
RPROMLLLKHMFFFH78EC,大智段,.40,都市：住
RPWNMLLLKHMFFCH78DC,南龍段,19.96,都市：住
RPPOMLLLKHMFFGH48CC,新富段,.00,都市：住
RPXOMLLLKHMFFBH88DC,富台段,22.48,都市：住
RPWOMLLLKHMFFBH68CC,東寮段,75.89,都市：住
RPVPMLLLKHMFFBH68CC,遠東段,.00,都市：住
RPWPMLLLKHMFFBH78CC,忠孝段,.00,都市：住
RPWPMLLLKHMFFBH78CC,忠孝段,.00,都市：住
RPQOMLMLKHMFFBH18CC,老街溪段,.00,都市：住
RPSPMLMLKHMFFBH48CC,復興段,.00,都市：住
RPUPMLMLKHMFFBH68CC,忠孝段,.00,都市：住
RPSOMLMLKHMFFEH68CC,橫山段橫山小段,2923.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPSOMLMLKHMFFEH68CC,橫山段橫山小段,1538.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPRNMLMLKHMFFAH08CC,新埔段,13.12,都市：住
RPOOMLMLKHMFFBH08DC,石頭段,26.37,都市：住
RPOOMLMLKHMFFBH08DC,石頭段,.75,都市：住
RPRQMLMLKHMFFBH58DC,興南段中壢老小段,279.00,都市：商
RPRQMLMLKHMFFBH58DC,石頭段,2.00,都市：商
RPTQMLMLKHMFFBH78DC,東寮段,15.00,都市：住
RPUQMLMLKHMFFBH88DC,前寮段,14.00,都市：住
RPVQMLMLKHMFFBH98DC,前寮段,14.00,都市：住
RPVNMLMLKHMFFGH09CC,廣豐段,.00,都市：其他
RPPOMLMLKHMFFFH48CC,福興段,.00,都市：住
RPVOMLMLKHMFFFH09CC,大智段,12.70,都市：住
RPSNMLMLKHMFFHH88CC,興華段,52.63,都市：住
RPWNMLMLKHMFFFH56DC,明智段,20.26,都市：住
RPROMLMLKHMFFFH78DC,豐田段,348.29,都市：住
RPVNMLNLKHMFFFH56DC,大安段,18.93,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNLKHMFFFH56DC,大安段,46.48,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLNLKHMFFFH09DC,大義段,20.34,都市：住
RPTNMLNLKHMFFFH09EC,興仁段,.00,都市：商
RPXNMLNLKHMFFGH76CC,廣東段,163.00,都市：其他
RPSOMLNLKHMFFAH38CC,國聖段,8.40,都市：住
RPUNMLOLKHMFFEH98CC,五福段,.00,都市：住
RPOOMLOLKHMFFEH48CC,長興段,953.38,都市：工
RPQOMLOLKHMFFBH38CC,自立段,.00,都市：住
RPTNMLOLKHMFFHH56CC,迴龍段,44.18,非都市： ; 非都市編定：
RPUNMLOLKHMFFHH66CC,迴龍段,44.18,非都市： ; 非都市編定：
RPRRMLOLKHMFFBH98EC,普義段,7.99,都市：住
RPSRMLOLKHMFFBH09EC,環東段,75.00,都市：住
RPPNMLPLKHMFFFH88EC,興仁段,14.54,都市：商
RPPNMLQLKHMFFBH48DC,前寮段,14.00,都市：住
RPQNMLQLKHMFFBH58DC,前寮段,14.00,都市：住
