鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
嘉義市,土地,湖子內段湖美小段91~120地號,74.07,住,,,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3653000,49318,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLTLKILFFAI76EA
嘉義市,土地,湖東段91~120地號,14.0,住,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,652260,46590,,0.0,0,向政府機關承購之案件。,RPSNMLTLKILFFAI98EA
嘉義市,土地,元段二小段181~210地號,34.0,商,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,11765,,0.0,0,含增建或未登記建物。,RPTNMLTLKILFFAI09EA
嘉義市,土地,大溪段721~750地號,306.28,住,,,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4073391,13300,,0.0,0,,RPXNMLTLKILFFAI86EA
嘉義市,建物,嘉義市嘉義市金山路91~120號,0.0,,,,1051201,土地0建物1車位0,七層，走廊,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840803,130.12,3,1,2,有,無,2000000,15370,,0.0,0,土地地上權利金價款新台幣90萬建物價款新台幣110萬,RPPNMLRLKILFFAI48EA
嘉義市,土地,湖子內段湖美小段241~270地號,92.05,住,,,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,13036,,0.0,0,親友(母女)關係間之交易。,RPPOMLTLKILFFAI58CA
嘉義市,土地,榮段四小段1~30地號,21.33,商,,,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,93765,,0.0,0,,RPROMLTLKILFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040801,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9567800,53731,,0.0,0,,RPOOMLRJLHMFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040901,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9651500,54201,,0.0,0,,RPVNMLRJLHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路二段361~390號,108.2,農,,,1040901,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1051219,178.07,4,2,4,有,無,9604600,53937,,0.0,0,,RPWNMLRJLHMFFAI88CA
嘉義市,房地(土地+建物),嘉義市嘉義市保仁一街1~30號,95.0,住,,,1060101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870506,198.0,5,2,4,有,無,7360000,37172,,0.0,0,,RPPNMLQJLHMFFAI08CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市四維路91~120號,13.4,住,,,1060201,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880212,115.93,3,2,2,有,有,3000000,25878,坡道機械,0.0,0,,RPPNMLLKLHMFFAI67CA
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路四段350巷21弄61~90號,19.93,住,,,1060101,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810903,96.26,3,2,2,有,有,2300000,23894,,0.0,0,,RPWNMLQKKHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市海埔新村31~60號,31.8,住,,,1060101,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720331,83.08,3,2,2,有,無,1500000,18055,,0.0,0,,RPPNMLLLKHMFFAI67CA
嘉義市,土地,湖子內段興安小段61~90地號,268.45,住,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11368000,42347,,0.0,0,,RPVNMLMLKHMFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路301~330號,121.0,住,,,1060201,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0800625,305.91,6,3,5,有,無,5750000,18796,,0.0,0,,RPWPMLNLKHMFFAI78CA
嘉義市,房地(土地+建物),嘉義市嘉義市市自由路481~510號,10.09,住,,,1051101,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,120.21000000000001,3,2,2,有,有,2750000,22877,,0.0,0,,RPWQMLNLKHMFFAI88CA
嘉義市,土地,湖子內段湖美小段121~150地號,190.56,住,,,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6862637,36013,,0.0,0,向政府機關承購之案件。,RPWNMLSJLHMFFAI56EA
嘉義市,房地(土地+建物),嘉義市嘉義市軍輝路136巷1~30號,72.0,住,,,1051101,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0800312,153.3,3,1,3,有,無,1660480,10832,,0.0,0,親友關係間之交易。,RPWNMLRKKHMFFAI09EA
嘉義市,房地(土地+建物),嘉義市嘉義市大同路391~420號,7.92,住,,,1060101,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830622,63.660000000000004,2,1,1,有,無,1550000,24348,,0.0,0,,RPTNMLKLKHMFFAI18EA
嘉義市,房地(土地+建物),嘉義市嘉義市八德路151~180號,90.0,住,,,1051001,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690702,113.66,3,1,2,有,無,4500000,39592,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLSJLHMFFAI66EA
嘉義市,土地,湖子內段湖美小段151~180地號,101.61,商,,,1060201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4530545,44588,,0.0,0,,RPWOMLOLKHMFFAI98EA
