編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRLKILFFAI48EA,21,101.94,住家用,鋼筋混凝土造,84年8月3日,十二層,七層 走廊
RPPNMLRLKILFFAI48EA,21,28.18,共有部份,鋼筋混凝土造,84年8月3日,十二層,
RPOOMLRJLHMFFAI18CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPVNMLRJLHMFFAI78CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPWNMLRJLHMFFAI88CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPPNMLQJLHMFFAI08CA,19,198.00,住家用,鋼筋混凝土造,87年5月6日,三層,一層 二層 三層
RPPNMLLKLHMFFAI67CA,18,77.00,住家用,鋼筋混凝土造,88年2月12日,十三層,三層
RPPNMLLKLHMFFAI67CA,18,26.73,共有部份,鋼筋混凝土造,88年2月12日,十三層,
RPPNMLLKLHMFFAI67CA,18,12.20,共有部份,鋼筋混凝土造,88年2月12日,十三層,
RPWNMLQKKHMFFAI78CA,24,72.28,住家用,鋼筋混凝土造,81年9月3日,六層,三層
RPWNMLQKKHMFFAI78CA,24,10.40,共有部份,鋼筋混凝土造,81年9月3日,六層,
RPWNMLQKKHMFFAI78CA,24,13.58,共有部份,鋼筋混凝土造,81年9月3日,六層,
RPPNMLLLKHMFFAI67CA,34,75.77,住家用,鋼筋混凝土造,72年3月31日,五層,二層
RPPNMLLLKHMFFAI67CA,34,7.31,共有部份,鋼筋混凝土造,72年3月31日,五層,
RPWPMLNLKHMFFAI78CA,26,305.91,見其他登記事項,鋼筋混凝土造,80年6月25日,五層,一層 二層 三層 四層 五層 地下層
RPWQMLNLKHMFFAI88CA,22,90.98,住家用,鋼筋混凝土造,83年5月30日,十六層,十四層
RPWQMLNLKHMFFAI88CA,22,29.23,共有部份,鋼筋混凝土造,83年5月30日,十六層,
RPWNMLRKKHMFFAI09EA,26,153.30,住家用,鋼筋混凝土造,80年3月12日,四層,一層 二層 三層 四層
RPTNMLKLKHMFFAI18EA,23,48.99,住家用,鋼筋混凝土造,83年6月22日,十三層,四層
RPTNMLKLKHMFFAI18EA,23,14.67,共有部份,鋼筋混凝土造,83年6月22日,十三層,
RPXNMLSJLHMFFAI66EA,36,113.66,住商用,鋼筋混凝土加強磚造,69年7月2日,二層,一層 二層 騎樓
RPOOMLNKLHMFFAI08EA,19,15.00,見其他登記事項,鋼筋混凝土造,87年3月19日,二十二層,地下一層 地下二層
RPOOMLNKLHMFFAI08EA,19,79.98,住家用,鋼筋混凝土造,87年3月19日,二十二層,十五層
RPOOMLNKLHMFFAI08EA,19,16.85,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPOOMLNKLHMFFAI08EA,19,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPOOMLNKLHMFFAI08EA,19,15.51,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPTNMLOLKHMFFAI38CA,29,306.25,住商用,鋼筋混凝土造,77年7月22日,五層,一層 二層 三層 四層 五層 騎樓
RPXPMLNLKHMFFAI88CA,27,141.11,住家用,鋼筋混凝土造,79年6月12日,三層,一層 二層 三層
RPRNMLKLKHMFFAI77CA,31,189.23,住家用,加強磚造,74年10月28日,二層,一層 二層
RPPOMLLLKHMFFAI77CA,21,28.93,住家用,鋼筋混凝土造,85年6月18日,九層,三層
RPPOMLLLKHMFFAI77CA,21,11.92,共有部份,鋼筋混凝土造,85年6月18日,九層,
RPQOMLLLKHMFFAI87CA,21,38.69,住家用,鋼筋混凝土造,85年6月18日,九層,八層
RPQOMLLLKHMFFAI87CA,21,12.84,共有部份,鋼筋混凝土造,85年6月18日,九層,
RPUNMLMLKHMFFAI28CA,52,87.75,住家用,見使用執照,53年9月11日,二層,一層 二層 走廊
RPPNMLKLKHMFFAI57CA,4,443.42,見其他登記事項,見其他登記事項,102年6月5日,五層,一層 二層 三層 四層 五層
RPPNMLKLKHMFFAI57CA,4,2.94,見其他登記事項,見其他登記事項,102年6月5日,一層,
