編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLTLKILFFAI76EA,湖子內段湖美小段,74.07,都市：住
RPSNMLTLKILFFAI98EA,湖東段,3.00,都市：住
RPSNMLTLKILFFAI98EA,湖東段,11.00,都市：住
RPTNMLTLKILFFAI09EA,元段二小段,34.00,都市：商
RPXNMLTLKILFFAI86EA,大溪段,111.28,都市：住
RPXNMLTLKILFFAI86EA,大溪段,195.00,都市：住
RPPOMLTLKILFFAI58CA,湖子內段湖美小段,92.05,都市：住
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,4.17,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.67,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,5.83,都市：商
RPOOMLRJLHMFFAI18CA,劉厝段,88.00,都市：農
RPOOMLRJLHMFFAI18CA,劉厝段,.68,都市：農
RPOOMLRJLHMFFAI18CA,劉厝段,19.52,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,88.00,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,.68,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,19.52,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,88.00,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,.68,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,19.52,都市：農
RPPNMLQJLHMFFAI08CA,同興段,95.00,都市：住
RPPNMLLKLHMFFAI67CA,竹圍子段,13.40,都市：住
RPWNMLQKKHMFFAI78CA,下路頭段,19.93,都市：住
RPPNMLLLKHMFFAI67CA,中庄段,31.80,都市：住
RPVNMLMLKHMFFAI38CA,湖子內段興安小段,268.45,都市：住
RPWPMLNLKHMFFAI78CA,短竹段,121.00,都市：住
RPWQMLNLKHMFFAI88CA,北社尾段保安小段,10.09,都市：住
RPWNMLSJLHMFFAI56EA,湖子內段湖美小段,190.56,都市：住
RPWNMLRKKHMFFAI09EA,軍輝段,72.00,都市：住
RPTNMLKLKHMFFAI18EA,港子坪段港坪小段,7.92,都市：住
RPXNMLSJLHMFFAI66EA,竹圍子段一小段,90.00,都市：住
RPWOMLOLKHMFFAI98EA,湖子內段湖美小段,13.23,都市：商
RPWOMLOLKHMFFAI98EA,湖子內段湖美小段,88.39,都市：商
RPOOMLNKLHMFFAI08EA,太平段,13.67,都市：住
RPTNMLOLKHMFFAI38CA,車店段車店小段,83.00,都市：住
RPXPMLNLKHMFFAI88CA,同興段,101.00,都市：住
RPRNMLKLKHMFFAI77CA,台斗坑段,191.00,都市：住
RPRNMLKLKHMFFAI77CA,台斗坑段,6.56,都市：其他
RPVNMLKLKHMFFAI18CA,湖子內段興安小段,171.66,都市：住
RPPOMLLLKHMFFAI77CA,盧厝段,6.52,都市：住
RPQOMLLLKHMFFAI87CA,盧厝段,8.15,都市：住
RPUNMLMLKHMFFAI28CA,玉川段,73.00,都市：住
RPWOMLSKKHMFFAI09CA,湖子內段湖美小段,254.29,都市：住
RPXOMLSKKHMFFAI56CA,湖子內段湖美小段,254.29,都市：住
RPPNMLKLKHMFFAI57CA,興村段興村小段,.23,都市：住
RPPNMLKLKHMFFAI57CA,興村段興村小段,3.63,都市：住
RPPNMLKLKHMFFAI57CA,興村段興村小段,181.27,都市：住
RPPNMLKLKHMFFAI57CA,興村段興村小段,6.68,都市：住
