編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLTJJHMFFBJ88CA,1,419.20,住商用,鋼筋混凝土造,104年11月23日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPTNMLTJJHMFFDJ09DA,,47.10,住家用,加強磚造,,三層,一層
RPQNMLQLJHMFFCJ48CA,12,202.88,住家用,鋼筋混凝土造,94年4月29日,四層,一層 二層 三層 四層
RPPNMLPKJHMFFCJ18CA,,14888.08,見其他登記事項,鋼筋混凝土造,,七層,一層 二層 三層 四層 五層 六層 七層 地下一層 地下二層
RPRNMLMJKHMFFCJ08CA,17,133.77,住家用,鋼筋混凝土造,88年9月30日,八層,五層
RPRNMLMJKHMFFCJ08CA,17,24.72,見其他登記事項,鋼筋混凝土造,88年9月30日,八層,
RPRNMLMJKHMFFCJ08CA,17,20.16,見其他登記事項,鋼筋混凝土造,88年9月30日,八層,一層 地下一層
RPTNMLTKJHMFFDJ09CA,2,230.72,見其他登記事項,鋼筋混凝土造,104年3月27日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLQLJHMFFCJ68CA,6,23.22,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSNMLQLJHMFFCJ68CA,6,45.10,見其他登記事項,鋼筋混凝土造,99年12月31日,十層,九層
RPSNMLQLJHMFFCJ68CA,6,10.97,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSRMLSJLHMFFBJ56CA,23,93.59,住家用,鋼筋混凝土造,83年6月22日,十層,八層
RPSRMLSJLHMFFBJ56CA,23,22.97,共用部分,鋼筋混凝土造,83年6月22日,十層,
RPSRMLSJLHMFFBJ56CA,23,10.16,共用部分,鋼筋混凝土造,83年6月22日,十層,
RPVNMLQJLHMFFBJ88CA,2,84.59,見其他登記事項,鋼筋混凝土造,104年1月7日,二層,一層 二層
RPVNMLQJLHMFFBJ88CA,2,29.18,見其他登記事項,鋼筋混凝土造,104年1月7日,十五層,
RPROMLRKKHMFFBJ68CA,9,22.57,商業用,鋼筋混凝土造,97年6月19日,八層,二層
RPROMLRKKHMFFBJ68CA,9,11.51,共用部分,鋼筋混凝土造,97年6月19日,八層,
RPVOMLRKKHMFFBJ09CA,,210.58,住家用,鋼筋混凝土造,105年10月14日,二十一層,五層
RPVOMLRKKHMFFBJ09CA,,55.68,見其他登記事項,鋼筋混凝土造,105年10月14日,二十一層,
RPVOMLRKKHMFFBJ09CA,,172.00,見其他登記事項,鋼筋混凝土造,105年10月14日,二十一層,
RPXOMLRKKHMFFBJ66CA,9,.02,見其他登記事項,鋼筋混凝土造,97年3月21日,十四層,一層
RPXOMLRKKHMFFBJ66CA,9,28.84,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPXOMLRKKHMFFBJ66CA,9,31.19,商業用,鋼筋混凝土造,97年3月21日,十三層,十三層
RPXOMLRKKHMFFBJ66CA,9,2.77,共用部分,鋼筋混凝土造,97年3月21日,十四層,
