鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
竹北市,建物,新竹縣竹北市環北路一段361~390號,0.0,工,,,1051201,土地0建物1車位0,見其他登記事項,3,工廠,工業用,鋼筋混凝土造,0960302,463.38,0,0,0,無,無,無,88000,,,0.0,0,,RPXQMLKLKILFFBJ09CC
竹北市,建物,新竹縣竹北市福興路755巷1~30號,0.0,住,,,1060101,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0861008,185.66,5,2,3,有,無,有,32000,172,,0.0,0,,RPTOMLNKJHMFFBJ58CC
竹北市,建物,新竹縣竹北市嘉豐六路二段91~120號,0.0,住,,,1060101,土地0建物1車位0,見其他登記事項,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0980106,201.10999999999999,5,2,3,有,有,無,30000,149,,0.0,0,一層+二層+地下一層,RPQOMLTKJHMFFBJ88CC
竹北市,建物,新竹縣竹北市成功九街91~120號,0.0,住,,,1060101,土地0建物1車位0,見其他登記事項,15,店面(店鋪),商業用,鋼筋混凝土造,1001103,147.28,0,0,0,無,無,有,40000,272,,0.0,0,租賃層次：1~2層,RPPNMLLLJHMFFBJ97CC
竹北市,建物,新竹縣竹北市復興一街181~210號,0.0,住,,,1060101,土地0建物1車位0,見其他登記事項,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970201,248.38,0,0,2,有,有,無,23895,96,,0.0,0,,RPVRMLNKKHMFFBJ56CC
芎林鄉,房地(土地+建物),新竹縣竹東鎮富林路三段151~180號,80.07,,特定農業區,甲種建築用地,1060201,土地1建物1車位0,二層,2,店面(店鋪),住家用,鋼筋混凝土造,0821130,43.84,0,0,0,無,無,無,20000,456,,0.0,0,,RPVNMLQKKHMFFCJ56CC
竹北市,建物,新竹縣竹北市復興一街181~210號,0.0,住,,,1060101,土地0建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980121,137.44,4,2,2,有,有,有,37000,269,坡道平面,0.0,0,租金含管.稅.二代健保.網路.第四台續租,RPWOMLKLKHMFFBJ78CC
竹北市,建物,新竹縣竹北市復興三路二段61~90號,0.0,商,,,1060201,土地0建物1車位1,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0970321,272.83,0,0,0,無,有,無,37000,136,坡道平面,0.0,0,,RPOOMLLLKHMFFBJ08CC
竹北市,建物,新竹縣竹北市莊敬三路61~90號,0.0,商,,,1060101,土地0建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930705,129.0,3,2,2,有,有,有,20000,155,坡道平面,0.0,0,租金含管,RPROMLMLKHMFFBJ48CC
竹北市,建物,新竹縣竹北市勝利八街一段211~240號,0.0,商,,,1060201,土地0建物1車位1,八層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,125.03,2,1,1,有,有,有,15000,120,坡道平面,0.0,0,租金含管理費附部份家具,RPQPMLMLKHMFFBJ48CC
竹北市,建物,新竹縣竹北市勝利八街一段211~240號,0.0,住,,,1060201,土地0建物1車位1,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,125.02,2,2,1,有,有,有,17500,140,坡道平面,0.0,0,租金含管.網路.第四台,RPOQMLMLKHMFFBJ38CC
竹北市,建物,新竹縣竹北市嘉豐十路1~30號,0.0,住,,,1060201,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970321,44.77,1,0,1,有,有,有,10000,223,,0.0,0,租金含管.網路.第四台,RPXQMLMLKHMFFBJ66CC
竹北市,建物,新竹縣竹北市莊敬三路31~60號,0.0,商,,,1060201,土地0建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930705,132.11,4,2,2,有,有,有,20000,151,坡道平面,0.0,0,續租,RPURMLMLKHMFFBJ09CC
竹北市,建物,新竹縣竹北市莊敬六街1~30號,0.0,住,,,1060201,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,136.10000000000002,3,2,2,有,有,無,17000,125,坡道平面,0.0,0,續租,RPPTMLMLKHMFFBJ78CC
竹北市,建物,新竹縣竹北市復興一街181~210號,0.0,住,,,1060101,土地0建物1車位0,見其他登記事項,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980121,167.4,0,0,2,有,有,無,23895,143,,0.0,0,,RPVNMLNLKHMFFBJ88CC
竹北市,房地(土地+建物),新竹縣竹北市復興三路二段1~30號,18.52,住,,,1060201,土地1建物1車位0,一層,20,店面(店鋪),商業用,鋼筋混凝土造,1050111,122.18,0,0,0,無,無,無,68112,557,,0.0,0,,RPPOMLOLKHMFFBJ48CC
