編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXQMLKLKILFFBJ09CC,10,463.38,工業用,鋼筋混凝土造,96年3月2日,三層,
RPTOMLNKJHMFFBJ58CC,19,185.66,住商用,鋼筋混凝土造,86年10月8日,三層,
RPQOMLTKJHMFFBJ88CC,8,159.70,住商用,鋼筋混凝土造,98年1月6日,十四層,
RPQOMLTKJHMFFBJ88CC,8,18.65,共用部分,鋼筋混凝土造,98年1月6日,十四層,
RPQOMLTKJHMFFBJ88CC,8,22.76,共用部分,鋼筋混凝土造,98年1月6日,十四層,
RPPNMLLLJHMFFBJ97CC,5,147.28,商業用,鋼筋混凝土造,100年11月3日,十五層,
RPVRMLNKKHMFFBJ56CC,9,204.41,商業用,鋼筋混凝土造,97年2月1日,十九層,
RPVRMLNKKHMFFBJ56CC,9,16.63,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPVRMLNKKHMFFBJ56CC,9,27.34,共用部分,鋼筋混凝土造,97年2月1日,十九層,
RPVNMLQKKHMFFCJ56CC,23,43.84,住家用,鋼筋混凝土造,82年11月30日,一層,
RPWOMLKLKHMFFBJ78CC,8,123.90,住家用,鋼筋混凝土造,98年1月21日,十三層,
RPWOMLKLKHMFFBJ78CC,8,13.54,共用部分,鋼筋混凝土造,98年1月21日,十三層,
RPOOMLLLKHMFFBJ08CC,9,231.76,商業用,鋼筋混凝土造,97年3月21日,十四層,
RPOOMLLLKHMFFBJ08CC,9,31.93,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPOOMLLLKHMFFBJ08CC,9,9.14,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPROMLMLKHMFFBJ48CC,13,99.90,住家用,鋼筋混凝土造,93年7月5日,十三層,
RPROMLMLKHMFFBJ48CC,13,12.54,共用部分,鋼筋混凝土造,93年7月5日,十三層,
RPROMLMLKHMFFBJ48CC,13,16.56,共用部分,鋼筋混凝土造,93年7月5日,十三層,
RPQPMLMLKHMFFBJ48CC,1,64.47,住家用,鋼筋混凝土造,105年6月8日,二十七層,
RPQPMLMLKHMFFBJ48CC,1,19.88,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPQPMLMLKHMFFBJ48CC,1,40.68,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPOQMLMLKHMFFBJ38CC,1,64.47,住家用,鋼筋混凝土造,105年6月8日,二十七層,
RPOQMLMLKHMFFBJ38CC,1,19.87,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPOQMLMLKHMFFBJ38CC,1,40.68,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPXQMLMLKHMFFBJ66CC,9,3.58,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPXQMLMLKHMFFBJ66CC,9,30.60,商業用,鋼筋混凝土造,97年3月21日,十三層,
RPXQMLMLKHMFFBJ66CC,9,10.59,共用部分,鋼筋混凝土造,97年3月21日,十三層,
RPURMLMLKHMFFBJ09CC,13,119.78,住家用,鋼筋混凝土造,93年7月5日,十三層,
RPURMLMLKHMFFBJ09CC,13,12.33,共用部分,鋼筋混凝土造,93年7月5日,十三層,
RPPTMLMLKHMFFBJ78CC,11,92.18,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPPTMLMLKHMFFBJ78CC,11,43.92,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPVNMLNLKHMFFBJ88CC,8,133.40,商業用,鋼筋混凝土造,98年1月21日,十三層,
RPVNMLNLKHMFFBJ88CC,8,14.67,共用部分,鋼筋混凝土造,98年1月21日,十三層,
RPVNMLNLKHMFFBJ88CC,8,19.33,共用部分,鋼筋混凝土造,98年1月21日,十三層,
RPPOMLOLKHMFFBJ48CC,1,94.79,商業用,鋼筋混凝土造,105年1月11日,二十層,
RPPOMLOLKHMFFBJ48CC,1,27.39,見其他登記事項,鋼筋混凝土造,105年1月11日,二十一層,
