編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXQMLKLKILFFBJ09CC,台元段,.00,都市：工
RPTOMLNKJHMFFBJ58CC,縣福段,.00,都市：住
RPTOMLNKJHMFFBJ58CC,縣福段,.00,都市：住
RPQOMLTKJHMFFBJ88CC,家興段,.00,都市：住
RPPNMLLLJHMFFBJ97CC,自強段,.00,都市：住
RPVRMLNKKHMFFBJ56CC,家興段,.00,都市：住
RPVNMLQKKHMFFCJ56CC,富林段,46.30,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLQKKHMFFCJ56CC,富林段,9.18,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLQKKHMFFCJ56CC,富林段,24.59,非都市：特定農業區 ; 非都市編定：農牧用地
RPWOMLKLKHMFFBJ78CC,永興段,.00,都市：住
RPOOMLLLKHMFFBJ08CC,永興段,.00,都市：商
RPROMLMLKHMFFBJ48CC,大學段,.00,都市：商
RPQPMLMLKHMFFBJ48CC,莊敬段,.00,都市：商
RPOQMLMLKHMFFBJ38CC,莊敬段,.00,都市：住
RPXQMLMLKHMFFBJ66CC,永興段,.00,都市：住
RPURMLMLKHMFFBJ09CC,大學段,.00,都市：商
RPPTMLMLKHMFFBJ78CC,大學段,.00,都市：住
RPVNMLNLKHMFFBJ88CC,永興段,.00,都市：住
RPPOMLOLKHMFFBJ48CC,永興段,18.52,都市：住
