鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹南鎮,土地,竹南段二小段1051~1080地號,4.0,商,,,1050701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,62500,,0.0,0,,RPQNMLMKMHMFFDK48CA
苗栗市,建物,苗栗縣苗栗市大同里5鄰三湖道6巷1~30號,0.0,,,,1051201,土地0建物1車位0,一層,一層,其他,住家用,木造,0280310,50.0,0,0,1,無,無,4800,96,,0.0,0,平房，宗親內買賣，權利人 使用標的建物逾五十年。,RPQNMLNJJHMFFBK97CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051201,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,185.52,4,3,3,有,無,5281000,28466,,0.0,0,,RPWNMLNLJHMFFCK88CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051201,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,185.54,4,3,3,有,無,5282000,28468,,0.0,0,,SPWNMLNLJHMFFCK98CA
苑裡鎮,建物,苗栗縣苑裡鎮客庄里14鄰世界路一段89巷1~30號,0.0,,,,1051201,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041015,158.89,4,3,3,有,無,4523000,28466,,0.0,0,,TPWNMLNLJHMFFCK09CA
苗栗市,建物,苗栗縣苗栗市勝利里36鄰榮興1~30號,0.0,,,,1051201,土地0建物1車位0,一層,,其他,住家用,加強磚造,0740510,49.58,1,1,1,有,無,900000,18152,,0.0,0,,RPSNMLKMKILFFBK38DA
苗栗市,建物,苗栗縣苗栗市勝利里36鄰榮興1~30號,0.0,,,,1051201,土地0建物1車位0,一層,,其他,住家用,加強磚造,0740510,49.58,1,1,1,有,無,800000,16136,,0.0,0,,RPPNMLNJJHMFFBK97DA
苗栗市,房地(土地+建物),苗栗縣苗栗市福麗里31鄰文發路98巷18弄31~60號,110.42,住,,,1051101,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1041028,237.09,4,2,4,有,無,12800000,53988,,0.0,0,1.親友、員工或其他特殊關係間之交易。2.設有電梯五至六人一台。,RPPOMLKMLHMFFBK28DA
苗栗市,建物,苗栗縣苗栗市日新街1~30號,0.0,,,,1051201,土地0建物1車位0,全,,透天厝,住商用,加強磚造,0660629,268.32,4,2,3,有,無,1320000,4919,,0.0,0,,RPWNMLTKJHMFFBK66CA
後龍鎮,土地,灣瓦段751~780地號,1190.27,,特定農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1309297,1100,,0.0,0,,RPQPMLOLJHMFFDK68CA
三義鄉,土地,雙連潭段241~270地號,2775.3,,山坡地保育區,農牧用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11500000,4144,,0.0,0,本買賣包含土地上一切設施及道路通行役權,RPSNMLPKKHMFFEK88CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮民生里8鄰新一街130巷1~30號,123.9,住,,,1060101,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041230,186.09,4,2,3,有,無,8300000,44602,,0.0,0,,RPOOMLQKKHMFFFK78CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮民族里7鄰中華路931~960號,1.98,住,,,1060201,土地2建物1車位0,地下層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840331,15.68,0,0,0,無,有,480000,30612,,0.0,0,單獨車位交易。,RPQOMLQKKHMFFFK98CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮珊湖里18鄰中正三路27巷31~60號,69.52,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0681231,99.9,4,2,2,有,無,3000000,30030,,0.0,0,,RPPNMLRKKHMFFFK88CA
頭份鎮,土地,太陽段511~540地號,65.21,,鄉村區,乙種建築用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1183562,18150,,0.0,0,,RPSNMLRKKHMFFFK56CA
頭份鎮,土地,太陽段481~510地號,90.45,,鄉村區,乙種建築用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1641668,18150,,0.0,0,,RPTNMLRKKHMFFFK66CA
頭份鎮,房地(土地+建物)+車位,苗栗縣頭份鎮仁愛里4鄰仁愛路1~30號,9.16,住,,,1051201,土地1建物2車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871202,80.54,3,2,2,有,有,2800000,34765,坡道機械,0.0,0,,RPVNMLRKKHMFFFK86CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮蟠桃里14鄰信三街12巷1~30號,16.62,住,,,1051201,土地2建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860129,122.11,3,2,2,有,有,4050000,33167,,0.0,0,,RPSNMLSKKHMFFFK66CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔街91~120號,31.72,住,,,1051201,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1051026,107.75,2,2,1,有,有,5690000,55645,坡道機械,14.48,500000,,RPUNMLSKKHMFFDK66CA
竹南鎮,土地,營盤邊段山寮小段181~210地號,30.0,,特定農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,194100,6470,,0.0,0,向政府機關承購之案件。,RPQNMLLLKHMFFDK28CA
竹南鎮,土地,龍山段721~750地號,78.76,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4764980,60500,,0.0,0,,RPRNMLNJLHMFFDK48CA
造橋鄉,土地,平安段1141~1170地號,133.09,住,,,1060201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2050000,15403,,0.0,0,,RPSNMLRKKHMFFDK98CA
