編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNJJHMFFBK97CA,78,50.00,住家用,木造,28年3月10日,一層,一層
RPWNMLNLJHMFFCK88CA,1,185.52,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
SPWNMLNLJHMFFCK98CA,1,185.54,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
TPWNMLNLJHMFFCK09CA,1,158.89,見其他登記事項,鋼筋混凝土造,104年10月15日,四層,一層 二層 三層 四層
RPSNMLKMKILFFBK38DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPPNMLNJJHMFFBK97DA,32,49.58,住家用,加強磚造,74年5月10日,,一層
RPPOMLKMLHMFFBK28DA,1,237.09,住家用,鋼筋混凝土造,104年10月28日,四層,一層 二層 三層 四層
RPWNMLTKJHMFFBK66CA,40,268.32,住商用,加強磚造,66年6月29日,,一層 二層 三層 四層 地下層 見其他登記事項
RPOOMLQKKHMFFFK78CA,1,186.09,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層 見其他登記事項
RPQOMLQKKHMFFFK98CA,22,.10,商業用,鋼筋混凝土造,84年3月31日,十三層,地下層
RPQOMLQKKHMFFFK98CA,22,15.58,見其他登記事項,鋼筋混凝土造,84年3月31日,十三層,
RPPNMLRKKHMFFFK88CA,37,99.90,住家用,鋼筋混凝土加強磚造,68年12月31日,二層,一層 二層 騎樓
RPVNMLRKKHMFFFK86CA,18,69.76,住家用,鋼筋混凝土造,87年12月2日,十層,十層
RPVNMLRKKHMFFFK86CA,18,.07,見其他登記事項,鋼筋混凝土造,87年12月2日,十層,
RPVNMLRKKHMFFFK86CA,18,6.17,見其他登記事項,鋼筋混凝土造,87年12月2日,十層,
RPVNMLRKKHMFFFK86CA,18,.14,見其他登記事項,鋼筋混凝土造,87年12月2日,十層,一層
RPVNMLRKKHMFFFK86CA,18,.00,見其他登記事項,鋼筋混凝土造,87年12月2日,十層,
RPVNMLRKKHMFFFK86CA,18,4.40,見其他登記事項,鋼筋混凝土造,87年12月2日,十層,
RPSNMLSKKHMFFFK66CA,20,98.56,住家用,鋼筋混凝土造,86年1月29日,九層,四層
