編號,車位類別,車位價格,車位面積平方公尺
RPVNMLRKKHMFFFK86CA,坡道機械,0,
RPUNMLSKKHMFFDK66CA,坡道機械,0,14.48
RPQNMLLLKHMFFFK48CA,坡道平面,850000,41.12
RPSNMLLLKHMFFFK68CA,坡道平面,850000,41.12
RPVNMLLLKHMFFFK98CA,一樓平面,0,
RPWNMLKLKHMFFFK98CA,坡道平面,1400000,45.11
RPOOMLKLKHMFFFK28CA,坡道平面,900000,28.44
RPPOMLKLKHMFFFK38CA,坡道平面,900000,45.11
RPPOMLKLKHMFFFK38CA,坡道平面,1395000,31.73
RPQOMLKLKHMFFFK48CA,坡道平面,1800000,30.12
RPQOMLKLKHMFFFK48CA,坡道平面,0,30.12
RPROMLKLKHMFFFK58CA,坡道平面,1900000,30.12
RPROMLKLKHMFFFK58CA,坡道平面,0,30.12
RPSOMLKLKHMFFFK68CA,坡道平面,900000,30.12
RPTOMLKLKHMFFFK78CA,坡道平面,900000,30.12
RPUOMLKLKHMFFFK88CA,坡道平面,900000,30.12
RPVOMLKLKHMFFFK98CA,坡道平面,1800000,30.12
RPVOMLKLKHMFFFK98CA,坡道平面,0,30.12
RPWOMLKLKHMFFFK09CA,坡道平面,1800000,30.12
RPWOMLKLKHMFFFK09CA,坡道平面,0,30.12
RPWNMLOKLHMFFBK98CA,坡道平面,0,26.85
RPWNMLOKLHMFFBK98CA,坡道平面,0,26.85
RPPOMLKLKHMFFDK18CA,坡道平面,0,
RPQOMLLLKHMFFDK38CA,一樓平面,0,
RPPNMLNLKHMFFDK38CA,坡道平面,0,
RPTNMLMJLHMFFDK58CA,坡道平面,880000,32.12
RPQNMLSKLHMFFDK98CA,坡道平面,1000000,26.44
RPPNMLKLLHMFFDK18CA,坡道平面,900000,
RPSNMLKLLHMFFDK48CA,坡道平面,0,
RPWNMLMLKHMFFFK56CA,坡道平面,0,
RPWNMLSJLHMFFFK07CA,坡道平面,0,
RPXNMLSJLHMFFFK17CA,坡道平面,0,
RPOOMLSJLHMFFFK98CA,坡道平面,0,
RPPOMLSJLHMFFFK09CA,坡道平面,0,
RPQOMLSJLHMFFFK56CA,坡道平面,0,
RPSOMLSJLHMFFFK76CA,坡道平面,0,
RPTOMLSJLHMFFFK86CA,坡道平面,0,
RPUOMLSJLHMFFFK96CA,坡道平面,0,
RPVOMLSJLHMFFFK07CA,坡道平面,0,
RPWOMLSJLHMFFFK17CA,坡道平面,0,
RPXOMLSJLHMFFFK27CA,坡道平面,0,
RPOPMLSJLHMFFFK09CA,坡道平面,0,
RPPPMLSJLHMFFFK56CA,坡道平面,0,
RPQPMLSJLHMFFFK66CA,坡道平面,0,
RPRPMLSJLHMFFFK76CA,坡道平面,0,
RPQNMLTJLHMFFFK56CA,坡道平面,0,
RPRNMLTJLHMFFFK66CA,坡道平面,0,
RPSNMLTJLHMFFFK76CA,坡道平面,0,
RPTNMLTJLHMFFFK86CA,坡道平面,0,
RPVNMLTJLHMFFFK07CA,坡道平面,0,
RPWNMLTJLHMFFFK17CA,坡道平面,0,
RPXNMLTJLHMFFFK27CA,坡道平面,0,
RPOOMLTJLHMFFFK09CA,坡道平面,0,
RPPOMLTJLHMFFFK56CA,坡道平面,0,
RPQOMLTJLHMFFFK66CA,坡道平面,0,
RPROMLTJLHMFFFK76CA,坡道平面,0,
RPSOMLTJLHMFFFK86CA,坡道平面,0,
RPTOMLTJLHMFFFK96CA,坡道平面,0,
RPVOMLTJLHMFFFK17CA,坡道平面,0,
RPWOMLTJLHMFFFK27CA,坡道平面,0,
RPXOMLTJLHMFFFK37CA,坡道平面,0,
RPQPMLTJLHMFFFK76CA,坡道平面,0,
RPRPMLTJLHMFFFK86CA,坡道平面,0,
RPSPMLTJLHMFFFK96CA,坡道平面,0,
RPTPMLTJLHMFFFK07CA,坡道平面,0,
RPUPMLTJLHMFFFK17CA,坡道平面,0,
RPVPMLTJLHMFFFK27CA,坡道平面,0,
RPWPMLTJLHMFFFK37CA,坡道平面,0,
RPXPMLTJLHMFFFK47CA,坡道平面,0,
RPXPMLTJLHMFFFK47CA,坡道平面,0,
RPOQMLTJLHMFFFK66CA,坡道平面,0,
RPPQMLTJLHMFFFK76CA,坡道平面,0,
RPQQMLTJLHMFFFK86CA,坡道平面,0,
RPRQMLTJLHMFFFK96CA,坡道平面,0,
RPSQMLTJLHMFFFK07CA,坡道平面,0,
RPTQMLTJLHMFFFK17CA,坡道平面,0,
RPUQMLTJLHMFFFK27CA,坡道平面,0,
RPVQMLTJLHMFFFK37CA,坡道平面,0,
RPWQMLTJLHMFFFK47CA,坡道平面,0,
RPXQMLTJLHMFFFK57CA,坡道平面,0,
RPRRMLTJLHMFFFK07CA,坡道平面,0,
RPTNMLOLKHMFFFK09CA,其他,840000,
RPUSMLKKLHMFFFK66CA,坡道平面,0,
RPURMLTJLHMFFFK37CA,坡道平面,0,
RPVRMLTJLHMFFFK47CA,坡道平面,0,
RPXRMLTJLHMFFFK67CA,坡道平面,0,
RPPSMLTJLHMFFFK96CA,坡道平面,0,
RPQSMLTJLHMFFFK07CA,坡道平面,0,
RPSSMLTJLHMFFFK27CA,坡道平面,0,
RPVSMLTJLHMFFFK57CA,坡道平面,0,
RPOTMLTJLHMFFFK96CA,坡道平面,0,
RPPTMLTJLHMFFFK07CA,坡道平面,0,
RPRTMLTJLHMFFFK27CA,坡道平面,0,
RPSTMLTJLHMFFFK37CA,坡道平面,0,
RPTTMLTJLHMFFFK47CA,坡道平面,0,
RPPNMLKKLHMFFFK28CA,坡道平面,0,
RPQNMLKKLHMFFFK38CA,坡道平面,0,
RPRNMLKKLHMFFFK48CA,坡道平面,0,
RPSNMLKKLHMFFFK58CA,坡道平面,0,
RPVNMLKKLHMFFFK88CA,坡道平面,0,
RPWNMLKKLHMFFFK98CA,坡道平面,0,
RPXNMLKKLHMFFFK09CA,坡道平面,0,
RPOOMLKKLHMFFFK28CA,坡道平面,0,
RPQOMLKKLHMFFFK48CA,坡道平面,0,
RPROMLKKLHMFFFK58CA,坡道平面,0,
RPTOMLKKLHMFFFK78CA,坡道平面,0,
RPUOMLKKLHMFFFK88CA,坡道平面,0,
RPVOMLKKLHMFFFK98CA,坡道平面,0,
RPWOMLKKLHMFFFK09CA,坡道平面,0,
RPXOMLKKLHMFFFK56CA,坡道平面,0,
RPSNMLLLLHMFFBK38CA,坡道平面,0,26.85
RPVNMLNLKHMFFDK98CA,一樓平面,0,
RPUNMLLJLHMFFDK58CA,坡道機械,0,14.48
RPVNMLLJLHMFFDK68CA,坡道機械,0,14.48
RPWNMLLJLHMFFDK78CA,坡道機械,0,14.48
RPSNMLNJLHMFFDK58CA,一樓平面,0,15.99
RPQOMLNJLHMFFBK28CA,坡道平面,0,13.92
RPPNMLKKLHMFFBK87CA,一樓平面,0,
RPWNMLOLKHMFFFK76CA,坡道平面,1800000,30.12
RPWNMLOLKHMFFFK76CA,坡道平面,0,30.12
RPXNMLOLKHMFFFK86CA,坡道平面,1900000,30.12
RPXNMLOLKHMFFFK86CA,坡道平面,0,30.12
RPOOMLOLKHMFFFK68CA,坡道平面,1800000,30.12
RPOOMLOLKHMFFFK68CA,坡道平面,0,30.12
RPPOMLOLKHMFFFK78CA,坡道平面,1900000,30.12
RPPOMLOLKHMFFFK78CA,坡道平面,0,30.12
RPQOMLOLKHMFFFK88CA,坡道平面,1900000,30.12
RPQOMLOLKHMFFFK88CA,坡道平面,0,30.12
RPPNMLOLKHMFFFK68CA,坡道平面,0,
RPOPMLKKLHMFFFK38CA,坡道平面,0,
RPPPMLKKLHMFFFK48CA,坡道平面,0,
RPQPMLKKLHMFFFK58CA,坡道平面,0,
RPTNMLMJLHMFFBK38CA,一樓平面,0,
RPTNMLNKLHMFFBK58CA,一樓平面,0,
RPSNMLKKLHMFFDK38CA,坡道平面,0,25.95
RPRNMLLJLHMFFDK28CA,坡道機械,0,
