鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
集集鎮,房地(土地+建物),南投縣集集鎮中集二街1~30號,204.99,住,,,1050524,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1040826,262.98,5,2,6,有,無,11900000,45251,,0.0,0,,RPQNMLOLOHLFFEM56CA
草屯鎮,房地(土地+建物),南投縣草屯鎮玉屏巷61~90號,1890.71,,特定農業區,農牧用地,1051201,土地2建物1車位0,一層,一層,農舍,農舍,見其他登記事項,1030929,168.0,2,2,2,有,無,25800000,,,0.0,0,作為寺廟佛堂使用,RPUPMLPJMHMFFBM66CA
草屯鎮,建物,南投縣草屯鎮新豐路601~630號,0.0,,,,1051201,土地0建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1000517,261.42,4,2,4,有,無,3800000,14536,,0.0,0,,RPRNMLNKJHMFFBM38CA
竹山鎮,建物,南投縣竹山鎮前山路橫巷1~30號,0.0,,,,1051201,土地0建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840408,118.81,3,2,2,有,有,1120000,9427,,0.0,0,,RPSNMLOLJHMFFDM88CA
南投市,建物,南投縣南投市信義街152巷9弄61~90號,0.0,,,,1060101,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0740426,107.1,4,2,2,有,無,1500000,14006,,0.0,0,親友間之交易。,RPQNMLNKJHMFFAM18CA
草屯鎮,土地,頂崁段241~270地號,2662.46,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30604820,11495,,0.0,0,作為寺廟佛堂使用,RPVPMLPJMHMFFBM76CA
埔里鎮,土地,內埔段211~240地號,18.29,,特定農業區,水利用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,5467,,0.0,0,,RPSNMLQKKHMFFCM98CA
埔里鎮,房地(土地+建物),南投縣埔里鎮中心路1~30號,1185.11,,特定農業區,農牧用地,1060101,土地1建物1車位0,一層，二層,二層,農舍,農舍,見其他登記事項,0970414,200.98,4,2,2,有,無,30000000,,,0.0,0,,RPUNMLSKKHMFFCM76CA
草屯鎮,土地,溪底段601~630地號,1577.96,,特定農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3700000,2345,,0.0,0,親友、員工或其他特殊關係間之交易。伯姪，(急需用款)。,RPRNMLNJLHMFFBM48CA
埔里鎮,土地,北環段661~690地號,85.44,其他,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,11704,,0.0,0,(包含)公共設施保留地之交易。瑕疵物件之交易。,RPPOMLLLKHMFFCM38CA
草屯鎮,房地(土地+建物),南投縣草屯鎮虎山路威虎巷2弄1~30號,80.6,住,,,1060101,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680222,111.2,4,2,2,有,無,3960000,35612,,0.0,0,買受人為兩人登記持分各半,RPWNMLOLKHMFFBM56CA
名間鄉,土地,新光段301~330地號,1844.22,,一般農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4750000,2576,,0.0,0,,RPVNMLQKKHMFFAM09CA
