編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLOLOHLFFEM56CA,1,262.98,見其他登記事項,見其他登記事項,104年8月26日,三層,一層 二層 三層 見其他登記事項
RPUPMLPJMHMFFBM66CA,2,168.00,農舍,見其他登記事項,103年9月29日,一層,一層
RPRNMLNKJHMFFBM38CA,6,261.42,見其他登記事項,鋼筋混凝土造,100年5月17日,四層,一層 二層 三層 四層
RPSNMLOLJHMFFDM88CA,22,100.49,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,五層
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,.30,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPSNMLOLJHMFFDM88CA,22,17.72,見其他登記事項,鋼筋混凝土造,84年4月8日,六層,
RPQNMLNKJHMFFAM18CA,32,107.10,住家用,加強磚造,74年4月26日,二層,一層 二層
RPUNMLSKKHMFFCM76CA,9,200.98,農舍,見其他登記事項,97年4月14日,二層,一層 二層
RPWNMLOLKHMFFBM56CA,38,111.20,住商用,鋼筋混凝土加強磚造,68年2月22日,二層,一層 二層 騎樓
RPTNMLRKKHMFFAM98CA,22,109.20,見其他登記事項,鋼筋混凝土造,83年11月9日,十六層,一層 二層 騎樓
RPTNMLRKKHMFFAM98CA,22,16.71,見其他登記事項,鋼筋混凝土造,83年11月9日,十六層,
RPQNMLKLKHMFFAM08CA,21,205.53,見其他登記事項,鋼筋混凝土造,84年11月4日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPQNMLSKKHMFFDM09CA,14,69.52,住家用,鋼筋混凝土造,92年6月26日,三層,一層 二層 三層
RPQNMLSKKHMFFDM09CA,14,69.52,住家用,鋼筋混凝土造,92年6月26日,三層,一層 二層 三層
RPQNMLLJLHMFFDM38CA,18,175.30,住商用,鋼筋混凝土造,88年1月21日,三層,一層 二層 三層 電梯樓梯間
RPQNMLRLLHMFFDM56CA,45,212.16,工業用,鋼筋混凝土加強磚造,60年10月15日,二層,一層 二層
RPSNMLKLKHMFFAM38DA,23,95.68,住家用,鋼筋混凝土造,83年5月3日,五層,三層
RPSNMLKLKHMFFAM38DA,23,17.26,見其他登記事項,鋼筋混凝土造,83年5月3日,五層,
RPQNMLOLKHMFFDM88DA,13,151.11,住家用,鋼筋混凝土造,93年2月5日,三層,一層 二層 三層 屋頂突出物
RPXNMLKMLHMFFCM56CA,12,139.37,農舍,鋼筋混凝土造,94年5月20日,二層,一層 二層
RPPNMLLJLHMFFCM18CA,33,117.02,住商用,鋼筋混凝土造,72年12月29日,二層,一層 二層 騎樓
RPPNMLPLKHMFFBM58CA,21,87.36,住家用,鋼筋混凝土造,84年9月27日,十二層,十二層
RPPNMLPLKHMFFBM58CA,21,30.82,見其他登記事項,鋼筋混凝土造,84年9月27日,十二層,
RPVNMLMLKHMFFBM88CA,2,232.39,見其他登記事項,鋼筋混凝土造,103年9月1日,四層,一層 二層 三層 四層 騎樓
RPPNMLTKLHMFFAM88CA,,222.44,住家用,鋼筋混凝土造,105年10月6日,四層,一層 二層 三層 四層
RPQNMLRJLHMFFBM78CA,,180.61,住家用,鋼筋混凝土造,105年11月2日,四層,一層 二層 三層 四層
RPRNMLLLKHMFFCM48CA,24,143.68,住家用,鋼筋混凝土造,81年8月17日,三層,一層 二層 三層
RPUNMLLLKHMFFCM78CA,21,180.12,住家用,鋼筋混凝土造,85年4月8日,三層,一層 二層 三層 屋頂突出物
