編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLOLOHLFFEM56CA,和平段,204.99,都市：住
RPUPMLPJMHMFFBM66CA,頂崁段,1839.72,非都市：特定農業區 ; 非都市編定：農牧用地
RPUPMLPJMHMFFBM66CA,頂崁段,50.99,非都市：特定農業區 ; 非都市編定：交通用地
RPVPMLPJMHMFFBM76CA,頂崁段,2662.46,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLQKKHMFFCM98CA,內埔段,18.29,非都市：特定農業區 ; 非都市編定：水利用地
RPUNMLSKKHMFFCM76CA,文頭股段,1185.11,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNJLHMFFBM48CA,溪底段,1577.96,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLLLKHMFFCM38CA,北環段,85.44,都市：其他
RPWNMLOLKHMFFBM56CA,新虎山段,80.60,都市：住
RPVNMLQKKHMFFAM09CA,新光段,1844.22,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLRKKHMFFAM98CA,包尾段,13.87,都市：住
RPVNMLRKKHMFFAM56CA,南勢段,541.52,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLKLKHMFFAM08CA,包尾段,74.00,都市：住
RPQNMLOLKHMFFAM48CA,鳳山段,1918.71,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLRKKHMFFBM78CA,中興段,82.00,都市：住
RPRNMLQKKHMFFDM98CA,南雲段,3280.99,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLSKKHMFFDM09CA,番子寮段,54.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLSKKHMFFDM09CA,番子寮段,54.50,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQNMLLJLHMFFDM38CA,鹿彰段,94.69,都市：住
RPQNMLLJLHMFFDM38CA,鹿彰段,1.55,都市：住
RPQNMLLJLHMFFDM38CA,鹿彰段,8.74,都市：住
RPQNMLRLLHMFFDM56CA,南雲段,820.43,非都市：特定農業區 ; 非都市編定：丁種建築用地
