鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
和美鎮,土地,和東段1171~1200地號,230.0,住,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,13043,,0.0,0,,RPSNMLRJMHMFFBN56CA
二水鄉,房地(土地+建物),彰化縣二水鄉山腳路二段352巷8弄1~30號,170.05,,山坡地保育區,丙種建築用地,1051201,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841124,265.86,6,3,5,有,無,4000000,15046,,0.0,0,,RPRNMLQLKILFFEN66CA
二水鄉,房地(土地+建物),彰化縣二水鄉山腳路二段352巷1~30號,157.43,,山坡地保育區,丙種建築用地,1051201,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0841124,225.52,5,2,5,有,無,4000000,17737,,0.0,0,,SPRNMLQLKILFFEN76CA
二水鄉,房地(土地+建物),彰化縣二水鄉山腳路二段352巷8弄1~30號,169.64,,山坡地保育區,丙種建築用地,1051201,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841124,265.86,6,3,5,有,無,4000000,15046,,0.0,0,,TPRNMLQLKILFFEN86CA
二水鄉,房地(土地+建物),彰化縣二水鄉山腳路二段331~360號,122.8,,山坡地保育區,丙種建築用地,1051201,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841124,219.25,4,3,4,有,無,4000000,18244,,0.0,0,,UPRNMLQLKILFFEN96CA
福興鄉,房地(土地+建物),彰化縣福興鄉福興路61~90號,73.38,住,,,1051001,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050720,181.76,0,0,0,無,無,9000000,49516,,0.0,0,,RPQNMLRJMHMFFCN09CA
福興鄉,房地(土地+建物),彰化縣福興鄉福興路61~90號,71.78,住,,,1051001,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050720,181.76,0,0,0,無,無,9020000,49626,,0.0,0,,RPSNMLRJMHMFFCN66CA
鹿港鎮,土地,永樂段511~540地號,51.99,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,40392,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLKMLHMFFCN09CA
員林鎮,土地,員林段211~240地號,97.0,商,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15300000,157732,,0.0,0,含未登記建物一併移轉。,RPRNMLLMLHMFFDN88CA
二林鎮,房地(土地+建物),彰化縣二林鎮力行街133巷38弄31~60號,129.98,住,,,1060101,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051128,174.96,4,2,3,有,無,5649035,32288,,0.0,0,,RPTNMLKKMHMFFGN56CA
二林鎮,房地(土地+建物),彰化縣二林鎮力行街133巷38弄31~60號,129.07,住,,,1060101,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051128,174.96,4,2,3,有,無,5830000,33322,,0.0,0,,RPUNMLKKMHMFFGN66CA
二林鎮,房地(土地+建物),彰化縣二林鎮力行街133巷38弄31~60號,128.92,住,,,1060101,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051128,174.96,4,2,3,有,無,5532989,31624,,0.0,0,,RPRNMLKKMHMFFGN98CA
二林鎮,房地(土地+建物),彰化縣二林鎮力行街133巷38弄61~90號,128.15,住,,,1060101,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051128,174.96,4,2,3,有,無,5700000,32579,,0.0,0,,RPSNMLKKMHMFFGN09CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮中正路421~450號,20.61,住,,,1051201,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830316,129.16,3,2,2,有,無,3468000,26850,,0.0,0,,RPQNMLKMLHMFFCN58CA
福興鄉,房地(土地+建物)+車位,彰化縣福興鄉彰鹿路七段585巷33弄1~30號,18.28,住,,,1060101,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820630,118.1,0,0,0,無,無,3200000,27096,坡道平面,14.99,0,,RPRNMLKMLHMFFCN68CA
北斗鎮,房地(土地+建物),彰化縣北斗鎮文苑路二段79巷1~30號,91.49,住,,,1051201,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050525,174.87,4,3,3,有,無,7500000,42889,,0.0,0,,RPPNMLPLKHMFFFN09CA
北斗鎮,房地(土地+建物),彰化縣北斗鎮宮後街178巷29弄1~30號,112.31,住,,,1051201,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050513,184.48,4,3,3,有,無,7500000,40655,,0.0,0,,RPQNMLPLKHMFFFN56CA
芳苑鄉,土地,新湖段661~690地號,1826.55,,一般農業區,農牧用地,1060201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1498000,820,,0.0,0,,RPXNMLQKKHMFFGN37CA
二林鎮,土地,崙仔腳段991~1020地號,4813.63,,特定農業區,農牧用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,2077,,0.0,0,,RPSOMLQKKHMFFGN96CA
竹塘鄉,房地(土地+建物),彰化縣竹塘鄉大湖路61~90號,95.0,,鄉村區,乙種建築用地,1060101,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0850304,141.36,3,2,2,有,無,2600000,18393,,0.0,0,,RPPNMLSKKHMFFGN76CA
溪州鄉,土地,圳寮段331~360地號,3413.0,,特定農業區,農牧用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4197990,1230,,0.0,0,,RPSNMLQKKHMFFFN76CA
二林鎮,房地(土地+建物),彰化縣二林鎮新民街31~60號,47.69,住,,,1060201,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0701211,128.94,3,3,3,有,無,4800000,37227,,0.0,0,,RPTNMLLJLHMFFGN09CA
員林鎮,房地(土地+建物),彰化縣員林市員南路420巷20弄1~30號,115.68,住,,,1060101,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850628,130.51,4,3,3,有,無,4800000,36779,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPSNMLOKLHMFFDN09CA
員林鎮,房地(土地+建物),彰化縣員林市大同路二段211~240號,118.0,住,,,1051201,土地1建物1車位0,一層，二層，三層，四層，騎樓,四層,店面(店鋪),住家用,鋼筋混凝土造,0770114,395.19,0,0,0,無,無,16000000,40487,,0.0,0,,RPPNMLQKLHMFFDN98CA
員林鎮,房地(土地+建物),彰化縣員林市四平街16巷1~30號,72.0,住,,,1060101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620828,81.16,6,2,2,有,無,1829700,22544,,0.0,0,親友關係間之交易。含增建或未登記建物。,RPXNMLLLKHMFFDN66CA
員林鎮,土地,惠農段1291~1320地號,250.5,住,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22731000,90743,,0.0,0,,RPPNMLLKLHMFFDN48CA
福興鄉,房地(土地+建物),彰化縣福興鄉橋和街31~60號,157.0,住,,,1051201,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0930324,214.3,4,2,3,有,無,2719700,12691,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLSLLHMFFCN86CA
永靖鄉,土地,東寧段601~630地號,76.99,,特定農業區,甲種建築用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,8443,,0.0,0,,RPQNMLSKKHMFFDN56CA
永靖鄉,土地,東寧段601~630地號,76.99,,特定農業區,甲種建築用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,8443,,0.0,0,,RPRNMLSKKHMFFDN66CA
員林鎮,房地(土地+建物),彰化縣員林市育英路474巷85弄1~30號,1032.08,工,,,1051201,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0940811,568.76,7,3,5,有,無,44800000,78768,,0.0,0,,RPQNMLKLKHMFFDN48CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮楊厝巷31~60號,115.1,,鄉村區,乙種建築用地,1060201,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050427,239.24,3,2,3,有,無,7200000,30095,,0.0,0,,RPRNMLNKLHMFFCN78CA
福興鄉,房地(土地+建物),彰化縣福興鄉橋和街31~60號,189.0,住,,,1060101,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,0711007,161.92,4,2,3,有,無,2928100,18084,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLTKKHMFFCN56CA
伸港鄉,房地(土地+建物),彰化縣伸港鄉新港村自強路31~60號,117.0,住,,,1060101,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0700620,158.13,4,2,3,有,無,2500000,15810,,0.0,0,親友(父子)、員工或其他特殊關係間之交易。,RPRNMLTJLHMFFBN56CA
和美鎮,房地(土地+建物),彰化縣和美鎮東發路222巷1~30號,89.15,住,,,1040101,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050803,206.39,4,2,4,有,無,9300000,45060,,0.0,0,,RPTNMLLLKHMFFBN68CA
和美鎮,房地(土地+建物),彰化縣和美鎮東發路222巷1~30號,88.6,住,,,1040101,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050803,204.48,4,2,4,有,無,9380000,45872,,0.0,0,,RPUNMLLLKHMFFBN78CA
和美鎮,房地(土地+建物),彰化縣和美鎮東發路222巷1~30號,94.18,住,,,1031201,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050803,206.0,4,2,4,有,無,9680000,46990,,0.0,0,,RPVNMLLLKHMFFBN88CA
和美鎮,房地(土地+建物),彰化縣和美鎮東發路211~240號,115.38,住,,,1040101,土地3建物1車位0,一層，二層，三層，見其他登記事項,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050803,179.64,4,2,4,有,無,12500000,69584,,0.0,0,,RPWNMLLLKHMFFBN98CA
