編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLQLKILFFEN66CA,21,265.86,住家用,鋼筋混凝土造,84年11月24日,四層,一層 二層 三層 四層
SPRNMLQLKILFFEN76CA,21,225.52,見其他登記事項,鋼筋混凝土造,84年11月24日,四層,一層 二層 三層 四層
TPRNMLQLKILFFEN86CA,21,265.86,住家用,鋼筋混凝土造,84年11月24日,四層,一層 二層 三層 四層
UPRNMLQLKILFFEN96CA,21,219.25,住家用,鋼筋混凝土造,84年11月24日,四層,一層 二層 三層 四層
RPQNMLRJMHMFFCN09CA,,181.76,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSNMLRJMHMFFCN66CA,,181.76,見其他登記事項,鋼筋混凝土造,105年7月20日,三層,一層 二層 三層 屋頂突出物 騎樓
RPTNMLKKMHMFFGN56CA,,174.96,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層
RPUNMLKKMHMFFGN66CA,,174.96,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層
RPRNMLKKMHMFFGN98CA,,174.96,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層
RPSNMLKKMHMFFGN09CA,,174.96,住家用,鋼筋混凝土造,105年11月28日,三層,一層 二層 三層
RPQNMLKMLHMFFCN58CA,23,98.12,住家用,鋼筋混凝土造,83年3月16日,九層,八層
RPQNMLKMLHMFFCN58CA,23,31.04,見其他登記事項,鋼筋混凝土造,83年3月16日,九層,
RPRNMLKMLHMFFCN68CA,24,80.92,住家用,鋼筋混凝土造,82年6月30日,七層,五層
RPRNMLKMLHMFFCN68CA,24,22.18,見其他登記事項,鋼筋混凝土造,82年6月30日,七層,
RPRNMLKMLHMFFCN68CA,24,15.00,停車空間,鋼筋混凝土造,82年6月30日,七層,
RPPNMLPLKHMFFFN09CA,1,174.87,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPQNMLPLKHMFFFN56CA,1,184.48,見其他登記事項,鋼筋混凝土造,105年5月13日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKKHMFFGN76CA,21,141.36,住商用,鋼筋混凝土造,85年3月4日,三層,一層 二層 三層
RPTNMLLJLHMFFGN09CA,35,128.94,住商用,加強磚造,70年12月11日,三層,一層 二層 三層 騎樓
RPSNMLOKLHMFFDN09CA,21,130.51,住家用,鋼筋混凝土造,85年6月28日,三層,一層 二層 三層
RPPNMLQKLHMFFDN98CA,29,395.19,住家用,鋼筋混凝土造,77年1月14日,四層,一層 二層 三層 四層 騎樓
RPXNMLLLKHMFFDN66CA,43,81.16,住家用,鋼筋混凝土加強磚造,62年8月28日,二層,一層 二層
RPSNMLSLLHMFFCN86CA,13,214.30,住家用,鋼筋混凝土造,93年3月24日,三層,一層 二層 三層 見其他登記事項
RPQNMLKLKHMFFDN48CA,11,568.76,見其他登記事項,鋼筋混凝土造,94年8月11日,四層,一層 二層 三層 水箱
RPRNMLNKLHMFFCN78CA,1,239.24,住家用,鋼筋混凝土造,105年4月27日,四層,一層 二層 三層 四層
RPQNMLTKKHMFFCN56CA,34,161.92,住家用,加強磚造,71年10月7日,二層,一層 二層 騎樓
RPRNMLTJLHMFFBN56CA,36,158.13,住商用,加強磚造,70年6月20日,三層,一層 二層 三層 騎樓
RPTNMLLLKHMFFBN68CA,,206.39,見其他登記事項,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPUNMLLLKHMFFBN78CA,,204.48,見其他登記事項,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPVNMLLLKHMFFBN88CA,,206.00,見其他登記事項,鋼筋混凝土造,105年8月3日,四層,一層 二層 三層 四層
RPWNMLLLKHMFFBN98CA,,179.64,見其他登記事項,鋼筋混凝土造,105年8月3日,三層,一層 二層 三層 見其他登記事項
RPQNMLLLKHMFFBN38CA,2,357.39,見其他登記事項,鋼筋混凝土造,104年3月27日,四層,一層 二層 三層 四層 屋頂突出物
RPQNMLLLKHMFFAN28CA,41,117.02,住家用,加強磚造,65年1月12日,二層,一層 二層
RPTOMLRKKHMFFAN56CA,16,99.97,住家用,鋼筋混凝土造,89年10月20日,十四層,四層
RPTOMLRKKHMFFAN56CA,16,56.78,見其他登記事項,鋼筋混凝土造,89年10月20日,十四層,
RPPNMLSKKHMFFAN78CA,35,42.25,見其他登記事項,鋼筋混凝土造,71年7月9日,五層,地下層
RPQOMLOLKHMFFAN68CA,30,116.32,住家用,加強磚造,76年6月6日,二層,一層 二層
RPVOMLOLKHMFFAN56CA,46,130.41,住家用,磚造,60年4月21日,一層,一層
RPOOMLMJLHMFFAN18CA,38,87.06,住家用,鋼筋混凝土加強磚造,68年3月12日,二層,一層 二層
RPXNMLPKLHMFFAN76CA,18,1138.34,見其他登記事項,鋼筋混凝土造,88年1月11日,四層,一層 二層 三層 四層 地下層
RPXNMLPKLHMFFAN76CA,18,2433.35,見其他登記事項,鋼筋混凝土造,88年1月11日,四層,一層 二層 三層 四層
RPSNMLRKKHMFFAN09DA,39,89.20,住家用,鋼筋混凝土加強磚造,67年5月18日,二層,一層 二層
RPUNMLRKKHMFFAN66DA,42,88.36,住商用,鋼筋混凝土加強磚造,64年1月30日,二層,一層 二層 騎樓
RPRNMLKLKHMFFAN38DA,28,105.00,住家用,鋼筋混凝土造,78年4月21日,十層,五層
RPRNMLKLKHMFFAN38DA,28,10.27,,鋼筋混凝土造,78年4月21日,十層,
RPRNMLKLKHMFFAN38DA,28,14.42,,鋼筋混凝土造,78年4月21日,十層,
RPSNMLSKKHMFFBN56CA,2,157.70,住家用,鋼筋混凝土造,104年8月5日,三層,一層 二層 三層
RPTNMLSKKHMFFBN66CA,6,173.87,住家用,鋼筋混凝土造,100年3月11日,三層,一層 二層 三層 屋頂突出物
RPUNMLSKKHMFFBN76CA,23,25.29,見其他登記事項,鋼筋混凝土造,83年5月31日,七層,
RPUNMLSKKHMFFBN76CA,23,66.62,住家用,鋼筋混凝土造,83年5月31日,七層,五層
RPUNMLSKKHMFFBN76CA,23,25.29,見其他登記事項,鋼筋混凝土造,83年5月31日,七層,
RPUNMLSKKHMFFBN76CA,23,66.62,住家用,鋼筋混凝土造,83年5月31日,七層,五層
RPXNMLNJLHMFFAN09CA,10,178.21,住家用,鋼筋混凝土造,95年12月14日,四層,一層 二層 三層 四層
RPROMLOLKHMFFAN78CA,11,197.96,見其他登記事項,鋼筋混凝土造,94年9月20日,三層,一層 二層 三層
RPVNMLMLKHMFFAN88CA,38,153.80,住商用,混凝土造,67年9月12日,三層,一層 二層 三層 騎樓
RPUOMLLLKHMFFAN78CA,20,50.58,住家用,鋼筋混凝土造,86年5月26日,十七層,四層
RPUOMLLLKHMFFAN78CA,20,23.50,見其他登記事項,鋼筋混凝土造,86年5月26日,十七層,
RPTNMLOLKHMFFBN98CA,22,131.28,住家用,鋼筋混凝土造,83年10月7日,三層,一層 二層 三層
RPSNMLRJLHMFFBN09CA,40,106.08,住家用,加強磚造,66年1月1日,二層,一層 二層
RPTNMLRJLHMFFBN56CA,1,141.58,農舍,鋼筋混凝土造,105年6月27日,三層,一層 二層 三層
RPTNMLKLKHMFFDN78CA,,182.00,住家用,鋼筋混凝土造,105年12月2日,四層,一層 二層 三層 四層
RPQNMLKKLHMFFDN48CA,23,115.20,見其他登記事項,鋼筋混凝土造,82年12月1日,九層,六層
RPQNMLKKLHMFFDN48CA,23,14.00,見其他登記事項,鋼筋混凝土造,82年12月1日,九層,
RPQNMLKKLHMFFDN48CA,23,16.95,見其他登記事項,鋼筋混凝土造,82年12月1日,九層,
RPQOMLNJLHMFFDN78CA,25,204.18,商業用,鋼筋混凝土造,80年10月23日,五層,地下層
RPQOMLNJLHMFFDN78CA,25,14.89,見其他登記事項,鋼筋混凝土造,80年10月23日,五層,
RPUNMLLJLHMFFDN88CA,2,195.57,見其他登記事項,鋼筋混凝土造,103年9月3日,四層,一層 二層 三層 四層
RPUNMLLJLHMFFDN88CA,2,1.08,見其他登記事項,鋼筋混凝土造,103年9月3日,二層,一層 二層
RPQNMLSKKHMFFEN66CA,9,253.76,農舍,鋼骨混凝土造,96年12月19日,一層,一層
RPRNMLSKKHMFFEN76CA,1,308.71,住家用,鋼筋混凝土造,105年3月14日,四層,一層 二層 三層 四層 騎樓
RPPNMLRKLHMFFGN76CA,24,458.25,住工用,鋼筋混凝土造,82年8月10日,三層,一層 二層 三層
RPQNMLTJLHMFFEN76CA,1,177.58,住家用,鋼筋混凝土造,105年6月28日,三層,一層 二層 三層 騎樓 見其他登記事項
RPPNMLPLKHMFFDN88CA,22,81.41,見其他登記事項,鋼筋混凝土造,84年1月16日,九層,二層
RPPNMLPLKHMFFDN88CA,22,.36,見其他登記事項,鋼筋混凝土造,84年1月16日,九層,地下層
RPPNMLPLKHMFFDN88CA,22,8.04,見其他登記事項,鋼筋混凝土造,84年1月16日,九層,
RPPNMLPLKHMFFDN88CA,22,13.87,見其他登記事項,鋼筋混凝土造,84年1月16日,九層,
RPPNMLPLKHMFFDN88CA,22,18.04,見其他登記事項,鋼筋混凝土造,84年1月16日,九層,
RPQNMLSJLHMFFDN56CA,23,201.85,住商用,鋼筋混凝土造,82年12月16日,四層,一層 二層 三層 四層 騎樓
RPQNMLSJLHMFFDN56CA,23,201.85,住商用,鋼筋混凝土造,82年12月16日,四層,一層 二層 三層 四層 騎樓
RPSOMLPKLHMFFCN56CA,19,146.57,住家用,加強磚造,86年11月3日,三層,一層 二層 三層 電梯樓梯間
RPRNMLNKLHMFFBN68CA,36,92.00,住商用,加強磚造,69年10月17日,二層,一層 二層 騎樓
RPTNMLMLKHMFFCN88CA,,174.96,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPQNMLMLKHMFFAN38CA,22,132.70,住家用,鋼筋混凝土造,83年12月28日,十九層,六層
RPQNMLMLKHMFFAN38CA,22,24.68,見其他登記事項,鋼筋混凝土造,83年12月28日,十九層,
RPQNMLMLKHMFFAN38CA,22,15.20,見其他登記事項,鋼筋混凝土造,83年12月28日,十九層,
RPQNMLMLKHMFFAN38CA,22,1.05,見其他登記事項,鋼筋混凝土造,83年12月28日,十九層,地下層
RPQNMLMLKHMFFAN38CA,22,1515.72,見其他登記事項,鋼筋混凝土造,83年12月28日,十九層,
RPPNMLKLKHMFFBN18CA,4,186.36,見其他登記事項,鋼筋混凝土造,102年5月24日,四層,一層 二層 三層 四層 騎樓
RPQNMLKLKHMFFBN28CA,,188.53,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPRNMLKLKHMFFBN38CA,,188.53,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPQNMLSKKHMFFCN56DA,21,194.10,見其他登記事項,鋼筋混凝土造,85年4月6日,四層,一層 二層 三層 四層 地下層
RPQNMLSKKHMFFCN56DA,21,22.05,停車空間,鋼筋混凝土造,85年4月6日,四層,
RPSNMLMLKHMFFCN88DA,23,125.12,住家用,鋼筋混凝土造,83年3月16日,九層,六層
