編號,車位類別,車位價格,車位面積平方公尺
RPRNMLKMLHMFFCN68CA,坡道平面,0,14.99
RPTOMLRKKHMFFAN56CA,坡道平面,0,31.26
RPUOMLLLKHMFFAN78CA,坡道機械,0,
RPPNMLPLKHMFFDN88CA,坡道平面,0,
RPQNMLMLKHMFFAN38CA,坡道平面,0,
RPQNMLMLKHMFFAN38CA,坡道機械,0,
RPQNMLMLKHMFFAN38CA,坡道機械,0,
RPRNMLMLKHMFFAN48CA,升降機械,0,
RPTNMLMLKHMFFAN68CA,坡道平面,0,
RPQOMLRKLHMFFAN98CA,坡道平面,500000,
RPXNMLKMLHMFFCN66CA,坡道平面,0,
RPSNMLRKLHMFFDN76CA,升降機械,0,
RPSNMLQKLHMFFDN66CA,一樓平面,0,
RPRNMLMJLHMFFDN68CA,升降機械,0,
RPPOMLMLKHMFFDN68CA,坡道平面,0,
RPQNMLKKLHMFFAN18CA,其他,0,
RPVNMLNLKHMFFAN98CA,坡道平面,0,
RPRNMLQKLHMFFDN56CA,一樓平面,0,
RPRNMLQKLHMFFAN88CA,坡道平面,0,
