鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路19巷91~120號,17.98,其他,,,1050405,土地3建物2車位2,一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971022,173.19,4,2,3,有,有,19000000,109712,坡道平面,0.0,0,,RPQQMLRJOHLFFAO96EA
新竹市,房地(土地+建物),新竹市新竹市東大路三段451~480號,71.82,住,,,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050320,253.41,6,1,6,有,無,16880000,66611,,0.0,0,,RPRPMLLMLHMFFAO09EA
新竹市,土地,仁愛段481~510地號,13.39,工,,,1051201,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,249999,18671,,0.0,0,,RPVNMLNLKHMFFAO66EA
新竹市,土地,東光段361~390地號,6.29,其他,,,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,935000,148649,,0.0,0,,RPSNMLKLKHMFFAO48CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路91~120號,24.46,商,,,1060201,土地1建物1車位2,七層,三十層,辦公商業大樓,辦公室,鋼筋混凝土造,1051004,307.89,0,0,0,無,有,25010000,92767,坡道平面,59.86,2000000,,RPTNMLKLKHMFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路91~120號,24.46,商,,,1051201,土地1建物1車位2,十三層,三十層,辦公商業大樓,辦公室,鋼筋混凝土造,1051004,307.78999999999996,0,0,0,無,有,25420000,94458,坡道平面,59.86,2000000,,RPUNMLKLKHMFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路91~120號,13.76,商,,,1051201,土地1建物1車位1,十三層,三十層,辦公商業大樓,辦公室,鋼筋混凝土造,1051004,163.75,0,0,0,無,有,14170000,93318,坡道機械,19.95,750000,,RPVNMLKLKHMFFAO78CA
新竹市,房地(土地+建物),新竹市新竹市至善街35巷31~60號,13.83,,山坡地保育區,丙種建築用地,1060101,土地2建物3車位0,地下一層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860707,29.740000000000002,1,0,1,有,有,500000,16812,,0.0,0,,RPROMLRKKHMFFAO09CA
新竹市,房地(土地+建物),新竹市新竹市柯湳一街61~90號,44.79,,山坡地保育區,丙種建築用地,1051201,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0900601,60.21,3,0,3,有,有,1600000,26574,,0.0,0,,RPSOMLRKKHMFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路二段391~420號,23.56,商,,,1051201,土地1建物1車位1,十二層，夾層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0940801,209.46,5,2,3,有,有,15000000,71613,坡道平面,0.0,1100000,含增建物。,RPXQMLRKKHMFFAO27CA
新竹市,房地(土地+建物),新竹市新竹市閑谷二街52巷1~30號,2545.2,,山坡地保育區,林業用地,1051201,土地1建物1車位0,全,二層,透天厝,農舍,鋼筋混凝土造,0990625,525.56,0,0,0,無,有,62000000,117969,,0.0,0,,RPWNMLLLKHMFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市武陵路179巷1~30號,8.22,其他,,,1051201,土地2建物1車位0,九層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890501,69.97,2,2,2,有,有,4500000,64322,,0.0,0,,RPOPMLLLKHMFFAO38CA
新竹市,車位,新竹市新竹市武陵路181~210號,3.46,其他,,,1051201,土地0建物0車位1,,,其他,,,,37.49,0,0,0,有,有,1400000,,坡道平面,37.49,1400000,,RPQPMLLLKHMFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市北新街121~150號,6.66,住,,,1051201,土地2建物1車位0,六層,十層,辦公商業大樓,辦公室,鋼筋混凝土造,0980319,51.36,2,2,1,有,有,3850000,74961,,0.0,0,"有夾層增建,權利人登記2人",RPWNMLMLKHMFFAO09CA
新竹市,土地,北門段1501~1530地號,82.16,商,,,1060101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2003760,24389,,0.0,0,有民情風俗因素之交易。,RPPOMLOLKHMFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市和平路181~210號,29.57,住,,,1060101,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751014,113.38,4,2,2,有,有,2600000,22932,,0.0,0,,RPOQMLLJLHMFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路751~780號,14.1,其他,,,1060201,土地1建物1車位1,地下二層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,84.52000000000001,1,1,1,有,有,2600000,30762,坡道平面,34.06,0,,RPRNMLMJLHMFFAO48CA
新竹市,房地(土地+建物),新竹市新竹市武陵路175巷1~30號,16.98,其他,,,1060201,土地1建物1車位0,二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870623,116.49000000000001,3,2,2,有,有,5200000,44639,,0.0,0,,RPOOMLNJLHMFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹市崇和路1~30號,31.97,住,,,1060101,土地1建物1車位2,二十三層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040114,279.93,4,2,2,有,有,19300000,68946,坡道平面,29.18,0,,RPXNMLNLKHMFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹市湳雅街181~210號,49.12,住,,,1060101,土地1建物1車位1,八層，九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810128,355.85,4,2,2,有,有,12000000,33722,坡道平面,0.0,0,,RPPPMLMLKHMFFAO58CA
新竹市,房地(土地+建物)+車位,新竹市新竹市鐵道路一段28巷91~120號,24.32,其他,,,1060101,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020916,167.95999999999998,4,2,2,有,有,12500000,74422,坡道平面,0.0,0,,RPQPMLMLKHMFFAO68CA
