編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQQMLRJOHLFFAO96EA,7,87.95,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,一層
RPQQMLRJOHLFFAO96EA,7,17.70,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPQQMLRJOHLFFAO96EA,7,19.58,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPQQMLRJOHLFFAO96EA,7,.05,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,一層
RPQQMLRJOHLFFAO96EA,7,.01,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPQQMLRJOHLFFAO96EA,7,47.90,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPRPMLLMLHMFFAO09EA,1,253.41,見其他登記事項,鋼筋混凝土造,105年3月20日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPTNMLKLKHMFFAO58CA,,145.66,辦公室,鋼筋混凝土造,105年10月4日,三十層,七層
RPTNMLKLKHMFFAO58CA,,36.50,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPTNMLKLKHMFFAO58CA,,5.42,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPTNMLKLKHMFFAO58CA,,60.44,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPTNMLKLKHMFFAO58CA,,.04,辦公室,鋼筋混凝土造,105年10月4日,三十層,一層
RPTNMLKLKHMFFAO58CA,,59.83,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPUNMLKLKHMFFAO68CA,,145.56,辦公室,鋼筋混凝土造,105年10月4日,三十層,十三層
RPUNMLKLKHMFFAO68CA,,36.50,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPUNMLKLKHMFFAO68CA,,5.42,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPUNMLKLKHMFFAO68CA,,60.44,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPUNMLKLKHMFFAO68CA,,.04,辦公室,鋼筋混凝土造,105年10月4日,三十層,一層
RPUNMLKLKHMFFAO68CA,,59.83,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPVNMLKLKHMFFAO78CA,,84.40,辦公室,鋼筋混凝土造,105年10月4日,三十層,十三層
RPVNMLKLKHMFFAO78CA,,35.10,共有部分,鋼筋混凝土造,105年10月4日,三十層,
RPVNMLKLKHMFFAO78CA,,21.15,共有部分,鋼筋混凝土造,105年10月4日,三十層,
