編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQQMLRJOHLFFAO96EA,長春段,17.51,都市：其他
RPQQMLRJOHLFFAO96EA,長春段,.39,都市：住
RPQQMLRJOHLFFAO96EA,長春段,.08,都市：住
RPRPMLLMLHMFFAO09EA,康朗段,45.94,都市：住
RPRPMLLMLHMFFAO09EA,康朗段,25.88,都市：住
RPVNMLNLKHMFFAO66EA,西門段一小段,.13,都市：商
RPVNMLNLKHMFFAO66EA,西門段一小段,.13,都市：商
RPVNMLNLKHMFFAO66EA,西門段一小段,.04,都市：商
RPVNMLNLKHMFFAO66EA,北門段,2.35,都市：住
RPVNMLNLKHMFFAO66EA,仁愛段,5.02,都市：工
RPVNMLNLKHMFFAO66EA,仁愛段,5.71,都市：工
RPSNMLKLKHMFFAO48CA,東光段,6.29,都市：其他
RPTNMLKLKHMFFAO58CA,光武段,24.46,都市：商
RPUNMLKLKHMFFAO68CA,光武段,24.46,都市：商
RPVNMLKLKHMFFAO78CA,光武段,13.76,都市：商
RPROMLRKKHMFFAO09CA,茄苳段,13.68,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPROMLRKKHMFFAO09CA,茄苳段,.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLRKKHMFFAO56CA,茄苳段,35.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLRKKHMFFAO56CA,茄苳段,8.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXQMLRKKHMFFAO27CA,東山段一小段,23.56,都市：商
RPWNMLLLKHMFFAO98CA,香村段,2545.20,非都市：山坡地保育區 ; 非都市編定：林業用地
RPOPMLLLKHMFFAO38CA,武陵段,.15,都市：其他
RPOPMLLLKHMFFAO38CA,武陵段,8.07,都市：其他
RPQPMLLLKHMFFAO58CA,武陵段,3.46,都市：其他
RPWNMLMLKHMFFAO09CA,中雅段,6.45,都市：住
RPWNMLMLKHMFFAO09CA,崙子段,.21,都市：住
RPPOMLOLKHMFFAO68CA,北門段,.80,都市：商
RPPOMLOLKHMFFAO68CA,北門段,72.00,都市：商
RPPOMLOLKHMFFAO68CA,北門段,8.82,都市：商
RPPOMLOLKHMFFAO68CA,北門段,.53,都市：商
RPOQMLLJLHMFFAO38CA,崙子段,29.57,都市：住
RPRNMLMJLHMFFAO48CA,柴橋段,14.10,都市：其他
RPOOMLNJLHMFFAO38CA,武陵段,16.98,都市：其他
RPXNMLNLKHMFFAO66CA,光武段,31.97,都市：住
RPPPMLMLKHMFFAO58CA,武陵段,49.12,都市：住
RPQPMLMLKHMFFAO68CA,中華段,24.32,都市：其他
RPXNMLLLKHMFFAO09CA,東山段二小段,29.95,都市：住
RPUOMLLLKHMFFAO88CA,東濱段,3.13,都市：住
RPVOMLLLKHMFFAO98CA,東濱段,31.88,都市：住
RPWOMLLLKHMFFAO09CA,光復段,26.01,都市：住
RPTNMLSKKHMFFAO66CA,崙子段,73.00,都市：住
RPTOMLSKKHMFFAO76CA,國道段,12.02,都市：商
RPOOMLKLKHMFFAO18CA,東明段,26.59,都市：其他
RPRPMLKLKHMFFAO58CA,民富段,17.42,都市：商
RPRPMLKLKHMFFAO58CA,民富段,2.40,都市：商
RPTPMLKLKHMFFAO78CA,南華段,10.79,都市：住
RPOOMLNKLHMFFAO68EA,大學段,7.11,都市：住
RPPQMLLLKHMFFAO68DA,竹蓮段,19.47,都市：住
RPPQMLLLKHMFFAO68DA,竹蓮段,.17,都市：住
RPPQMLLLKHMFFAO68DA,竹蓮段,9.10,都市：住
RPPQMLLLKHMFFAO68DA,竹蓮段,2.36,都市：住
RPPQMLLLKHMFFAO68DA,竹蓮段,.67,都市：住
