編號,車位類別,車位價格,車位面積平方公尺
RPQQMLRJOHLFFAO96EA,坡道平面,0,
RPQQMLRJOHLFFAO96EA,坡道平面,0,
RPTNMLKLKHMFFAO58CA,坡道平面,1150000,39.91
RPTNMLKLKHMFFAO58CA,坡道機械,850000,19.95
RPUNMLKLKHMFFAO68CA,坡道平面,1150000,39.91
RPUNMLKLKHMFFAO68CA,坡道機械,850000,19.95
RPVNMLKLKHMFFAO78CA,坡道機械,750000,19.95
RPXQMLRKKHMFFAO27CA,坡道平面,1100000,
RPQPMLLLKHMFFAO58CA,坡道平面,1400000,37.49
RPRNMLMJLHMFFAO48CA,坡道平面,0,34.06
RPXNMLNLKHMFFAO66CA,坡道平面,0,14.59
RPXNMLNLKHMFFAO66CA,坡道平面,0,14.59
RPPPMLMLKHMFFAO58CA,坡道平面,0,
RPQPMLMLKHMFFAO68CA,坡道平面,0,
RPUOMLLLKHMFFAO88CA,坡道機械,700000,15.79
RPVOMLLLKHMFFAO98CA,坡道機械,700000,15.79
RPTOMLSKKHMFFAO76CA,坡道平面,1150000,33.07
RPPQMLLLKHMFFAO68DA,坡道機械,0,
RPTQMLSJLHMFFAO96CA,坡道平面,0,
RPPPPLRJLHMFFAO66CA,坡道平面,1200000,34.59
RPQPPLRJLHMFFAO76CA,坡道平面,1200000,34.59
RPSPPLRJLHMFFAO96CA,坡道平面,1200000,34.59
RPWQMLSJLHMFFAO27CA,坡道平面,0,42.50
RPWQMLSJLHMFFAO27CA,坡道平面,0,34.62
RPWOMLKKLHMFFAO98CA,一樓平面,1100000,26.55
RPXOMLKKLHMFFAO09CA,坡道平面,1100000,26.55
RPPPMLKKLHMFFAO38CA,坡道平面,1100000,26.55
RPVPMLKLKHMFFAO98CA,坡道平面,1100000,
RPVPMLKLKHMFFAO98CA,坡道平面,1100000,
RPSPMLSKKHMFFAO76CA,坡道平面,0,
RPOOMLMLKHMFFAO38CA,坡道平面,0,
RPOOMLMLKHMFFAO38CA,坡道平面,0,
RPPOMLMLKHMFFAO48CA,坡道平面,0,
RPPOMLMLKHMFFAO48CA,坡道平面,0,
RPQOMLMLKHMFFAO58CA,坡道平面,0,
RPQOMLMLKHMFFAO58CA,坡道平面,0,
RPXPMLLLKHMFFAO66CA,其他,0,
RPRNMLMLKHMFFAO58CA,坡道平面,1350000,
RPSNMLMLKHMFFAO68CA,坡道平面,0,
RPSNMLMLKHMFFAO68CA,坡道平面,0,
RPTNMLMLKHMFFAO78CA,坡道平面,1400000,
RPUNMLMLKHMFFAO88CA,坡道平面,1400000,
RPUNMLMJLHMFFAO78CA,坡道平面,0,
RPPNMLNJLHMFFAO38CA,坡道平面,0,
RPTNMLRJLHMFFAO56CA,坡道平面,0,26.22
RPTNMLRJLHMFFAO56CA,坡道平面,0,26.22
RPWNMLRJLHMFFAO86CA,坡道平面,1050000,26.22
RPOOMLRJLHMFFAO78CA,坡道平面,750000,26.22
RPWQMLNJLHMFFAO76CA,坡道平面,0,
RPXQMLNJLHMFFAO86CA,坡道平面,0,31.47
RPXQMLNJLHMFFAO86CA,坡道平面,0,31.47
RPRWMLQJLHMFFAO17CA,坡道平面,0,
RPRWMLQJLHMFFAO17CA,坡道平面,0,
RPPPMLRJLHMFFAO98CA,坡道平面,0,42.50
RPOOMLRKLHMFFAO88CA,升降平面,0,
RPVOMLMLKHMFFAO09CA,坡道平面,1100000,29.76
RPWOMLMLKHMFFAO56CA,坡道平面,0,
RPWOMLMLKHMFFAO56CA,坡道平面,0,
RPWOMLLJLHMFFAO98CA,坡道平面,0,
RPWOMLLJLHMFFAO98CA,坡道平面,0,
RPWPMLMLKHMFFAO66CA,坡道平面,0,39.50
RPXPMLMLKHMFFAO76CA,坡道機械,0,16.53
RPSNMLNLKHMFFAO78CA,坡道機械,0,
RPPNMLPKLHMFFAO68CA,坡道平面,0,29.06
RPQNMLMKLHMFFAO48CA,坡道平面,0,29.06
RPQNMLMKLHMFFAO48CA,坡道平面,0,29.06
RPOPMLQJLHMFFAO78CA,坡道機械,0,
RPQRMLRJLHMFFAO66CA,坡道平面,0,
RPQRMLRJLHMFFAO66CA,坡道平面,0,
RPRRMLRJLHMFFAO76CA,坡道平面,0,
RPRRMLRJLHMFFAO76CA,坡道平面,0,
RPSRMLRJLHMFFAO86CA,坡道平面,1250000,
RPTRMLRJLHMFFAO96CA,坡道平面,1300000,
RPURMLRJLHMFFAO07CA,坡道平面,0,
RPURMLRJLHMFFAO07CA,坡道平面,0,
RPVRMLRJLHMFFAO17CA,坡道平面,0,
RPVRMLRJLHMFFAO17CA,坡道平面,0,
RPWRMLRJLHMFFAO27CA,坡道平面,0,
RPWRMLRJLHMFFAO27CA,坡道平面,0,
RPXRMLRJLHMFFAO37CA,坡道平面,0,
RPXRMLRJLHMFFAO37CA,坡道平面,0,
RPPSMLRJLHMFFAO66CA,坡道平面,1100000,
RPOVMLRJLHMFFAO86CA,坡道機械,0,
RPTOMLPJLHMFFAO09CA,坡道平面,0,25.00
RPTOMLPJLHMFFAO09CA,坡道平面,0,25.00
RPUOMLPJLHMFFAO56CA,坡道平面,0,25.00
RPUOMLPJLHMFFAO56CA,坡道平面,0,25.00
RPXOMLNKLHMFFAO76CA,升降平面,0,
RPSNMLNJLHMFFAO68CA,坡道平面,0,
RPPPMLLJLHMFFAO38CA,坡道機械,0,
RPQPMLNJLHMFFAO68CA,坡道機械,700000,19.95
RPUOMLNJLHMFFAO98CA,坡道平面,1150000,39.91
RPUOMLNJLHMFFAO98CA,坡道機械,850000,19.95
RPWOMLNJLHMFFAO56CA,坡道機械,700000,19.95
RPXOMLNJLHMFFAO66CA,坡道機械,750000,19.95
RPPQMLNJLHMFFAO68CA,坡道平面,0,
RPOPMLMJLHMFFAO38CA,坡道平面,0,
RPVNMLLJLHMFFAO78CA,坡道平面,1000000,
RPVNMLLJLHMFFAO78CA,坡道平面,1000000,
RPXPMLRKLHMFFAO27CA,坡道平面,0,30.16
RPXNMLOKLHMFFAO76CA,坡道平面,0,
RPXNMLTJLHMFFAO17CA,坡道平面,1150000,37.34
RPVOMLTJLHMFFAO07CA,坡道平面,0,
RPVOMLTJLHMFFAO07CA,坡道平面,0,
RPXNMLSJLHMFFAO07CA,坡道平面,0,
RPXNMLSJLHMFFAO07CA,坡道平面,0,
RPPNMLQJLHMFFAO68CA,坡道平面,0,18.31
RPPNMLQJLHMFFAO68CA,坡道平面,0,14.02
