鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新竹市,建物,新竹市新竹市公道五路二段91~120號,0.0,工,,,1051101,土地0建物4車位0,見其他登記事項,16,廠辦,見其他登記事項,見其他登記事項,0990607,1152.95,0,0,0,無,有,無,435963,378,,0.0,0,,RPXQMLTJKILFFAO57CC
新竹市,建物,新竹市新竹市埔前路271~300號,0.0,工,,,1051101,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0980325,334.1,2,1,2,有,無,無,47000,141,,0.0,0,,RPTOMLOKKILFFAO56CC
新竹市,建物,新竹市新竹市中華路六段335巷31~60號,0.0,,山坡地保育區,丙種建築用地,1051201,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1041130,308.54,4,2,3,有,有,無,19000,62,,0.0,0,,RPOOMLOLKILFFAO78CC
新竹市,建物,新竹市新竹市力行六路1~30號,0.0,其他,,,1051101,土地0建物0車位0,見其他登記事項,10,廠辦,見其他登記事項,鋼筋混凝土造,0930305,7017.1,0,0,0,無,無,無,2423962,345,,0.0,0,租賃層次:3樓.5樓.6樓.7樓.8樓170個坡道平面車位,RPXNMLQLKILFFAO17CC
新竹市,建物,新竹市新竹市西大路780巷13弄1~30號,0.0,住,,,1051201,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,95.85,5,2,3,有,無,有,15000,156,,0.0,0,,RPUOMLLKJHMFFAO88CC
新竹市,房地(土地+建物),新竹市新竹市和福街1~30號,61.0,住,,,1060101,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0500401,91.82,0,0,0,無,無,無,50000,545,,0.0,0,,RPUOMLMKJHMFFAO98CC
新竹市,建物,新竹市新竹市關新東路91~120號,0.0,住,,,1051001,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1030312,86.44,2,1,2,有,有,有,29516,341,,0.0,0,租金含稅,RPQPMLRKKHMFFAO86EC
新竹市,房地(土地+建物),新竹市新竹市食品路181~210號,82.0,商,,,1060201,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720506,242.61,5,3,3,有,無,無,50000,206,,0.0,0,,RPPNMLSKKHMFFAO66EC
新竹市,建物,新竹市新竹市林森路181~210號,0.0,商,,,1060201,土地0建物1車位0,九層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0801111,44.57,1,1,1,有,有,有,6000,135,,0.0,0,,RPSNMLSKKHMFFAO76CC
新竹市,建物,新竹市新竹市竹蓮街173巷1~30號,0.0,商,,,1060201,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701228,75.42,2,1,1,有,無,無,12000,159,,0.0,0,,RPROMLKLKHMFFAO68CC
新竹市,建物,新竹市新竹市北大路1~30號,0.0,商,,,1060101,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990810,68.3,2,2,2,有,有,有,25000,366,,0.0,0,,RPXOMLKLKHMFFAO66CC
新竹市,建物,新竹市新竹市中正路485巷1~30號,0.0,住,,,1060101,土地0建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841030,144.69,3,2,2,有,有,有,16000,111,坡道機械,0.0,0,租金含管理費2200元及一個機械車位,RPROMLNLKHMFFAO98CC
