編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXQMLTJKILFFAO57CC,6,230.71,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,72.29,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,5.93,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,57.08,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,161.03,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,53.59,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,4.40,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,42.30,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,161.98,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,53.88,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,4.42,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,42.53,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,161.98,見其他登記事項,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,53.88,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,4.42,共有部分,見其他登記事項,99年6月7日,十六層,
RPXQMLTJKILFFAO57CC,6,42.53,共有部分,見其他登記事項,99年6月7日,十六層,
RPTOMLOKKILFFAO56CC,8,334.10,見其他登記事項,鋼筋混凝土造,98年3月25日,二層,
RPOOMLOLKILFFAO78CC,1,308.54,見其他登記事項,鋼筋混凝土造,104年11月30日,四層,
RPXNMLQLKILFFAO17CC,13,3450.24,見其他登記事項,鋼筋混凝土造,93年3月5日,十層,
RPXNMLQLKILFFAO17CC,13,3566.86,見其他登記事項,鋼筋混凝土造,93年3月5日,十層,
RPUOMLLKJHMFFAO88CC,,95.85,住家用,加強磚造,,二層,
RPUOMLMKJHMFFAO98CC,56,91.82,住家用,加強磚造,50年4月1日,二層,
RPQPMLRKKHMFFAO86EC,3,47.85,辦公室,鋼筋混凝土造,103年3月12日,九層,
RPQPMLRKKHMFFAO86EC,3,38.59,共有部分,鋼筋混凝土造,103年3月12日,九層,
RPPNMLSKKHMFFAO66EC,34,242.61,住商用,鋼筋混凝土造,72年5月6日,四層,
RPSNMLSKKHMFFAO76CC,25,32.94,商業用,鋼筋混凝土造,80年11月11日,十二層,
RPSNMLSKKHMFFAO76CC,25,11.63,共有部分,鋼筋混凝土造,80年11月11日,十二層,
RPROMLKLKHMFFAO68CC,35,75.42,住家用,鋼筋混凝土造,70年12月28日,五層,
RPXOMLKLKHMFFAO66CC,6,43.28,辦公室,鋼筋混凝土造,99年8月10日,九層,
RPXOMLKLKHMFFAO66CC,6,11.55,共有部分,鋼筋混凝土造,99年8月10日,九層,
RPXOMLKLKHMFFAO66CC,6,13.47,共有部分,鋼筋混凝土造,99年8月10日,九層,
RPROMLNLKHMFFAO98CC,21,98.81,住家用,鋼筋混凝土造,84年10月30日,七層,
RPROMLNLKHMFFAO98CC,21,16.58,共有部分,鋼筋混凝土造,84年10月30日,七層,
RPROMLNLKHMFFAO98CC,21,29.30,共有部分,鋼筋混凝土造,84年10月30日,七層,
