鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
西螺鎮,房地(土地+建物),雲林縣西螺鎮平和路121~150號,99.72,商,,,1051101,土地6建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041126,216.93,5,2,4,有,無,13500000,62232,,0.0,0,,RPRNMLOKKILFFCP98CA
口湖鄉,房地(土地+建物),雲林縣口湖鄉外埔121~150號,4444.44,,一般農業區,農牧用地,1051101,土地2建物1車位0,見其他登記事項,一層,其他,見其他登記事項,見其他登記事項,0910312,3555.43,0,0,0,有,無,9000000,2531,,0.0,0,整棟豬舍包含全自動機器設備及豬隻全部一併出售,RPQOMLMLKILFFEP56DA
虎尾鎮,建物,雲林縣虎尾鎮清雲三街61~90號,0.0,,,,1051101,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050308,202.7,4,2,4,有,無,3545000,17489,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLMKJHMFFDP68CA
虎尾鎮,建物,雲林縣虎尾鎮清雲三街61~90號,0.0,,,,1051101,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050308,202.25,4,2,4,有,無,3545000,17528,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLMKJHMFFDP78CA
口湖鄉,房地(土地+建物),雲林縣口湖鄉水尾1~30號,6356.0,,一般農業區,農牧用地,1051001,土地4建物1車位0,見其他登記事項,一層,農舍,見其他登記事項,見其他登記事項,0820810,2221.14,0,0,0,無,無,30000000,,,0.0,0,"本案土地上另有未保存登記建物一筆,本案買賣價金包含牛隻、養牛設備與擠乳設備。",RPQNMLTLKILFFEP07CA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉新興路橫街巷1~30號,97.99,住,,,1051201,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041204,172.57,4,1,5,有,無,12500000,72434,,0.0,0,,RPRNMLNJJHMFFFP09DA
斗六市,建物,雲林縣斗六市永康街61~90號,0.0,,,,1051201,土地0建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040512,79.8,2,1,1,有,有,2679500,33578,,0.0,0,,RPXOMLTJJHMFFAP27DA
斗六市,建物,雲林縣斗六市永康街61~90號,0.0,,,,1051201,土地0建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040512,79.94,2,1,1,有,有,2680000,33525,,0.0,0,,RPOPMLTJJHMFFAP09DA
水林鄉,房地(土地+建物),雲林縣水林鄉頂尖山61~90號,9046.0,,特定農業區,農牧用地,1051201,土地3建物1車位0,見其他登記事項,一層,其他,見其他登記事項,見其他登記事項,0910221,5193.06,0,0,0,無,無,32000000,6162,,0.0,0,豬舍,RPRNMLNKJHMFFEP09DA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉新興路橫街巷1~30號,93.0,住,,,1051201,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1041204,163.53,4,2,5,有,無,12400000,75827,,0.0,0,私契由當事人自行訂立,RPSNMLKLJHMFFFP56EA
古坑鄉,建物,雲林縣古坑鄉廣濟路31~60號,0.0,,,,1051201,土地0建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031230,159.6,3,2,2,有,無,2140000,13409,,0.0,0,,RPWOMLPLJHMFFAP86CA
古坑鄉,建物,雲林縣古坑鄉文淵路14巷1~30號,0.0,,,,1060101,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0890707,342.0,7,2,5,有,無,2800000,8187,,0.0,0,,RPWNMLMLKHMFFAP56CA
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉華興路20巷1弄1~30號,112.08,住,,,1060101,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050420,183.38,4,1,5,有,無,8000000,43625,,0.0,0,,RPTNMLTJKHMFFFP37DA
斗六市,房地(土地+建物),雲林縣斗六市西平路780巷181~210號,85.02,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691103,114.2,3,2,2,有,無,3250000,28459,,0.0,0,包括增建外推三樓,RPSNMLLMLHMFFAP88CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮南昌西路211~240號,101.0,住,,,1060101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050525,212.8,5,3,4,有,無,10500000,49342,,0.0,0,,RPQNMLRKKHMFFBP09CA
崙背鄉,土地,成功段931~960地號,818.0,,特定農業區,甲種建築用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1834,,0.0,0,"買方代為支付繳納土地增值稅，新台幣164,418元整。",RPSNMLRKKHMFFCP76CA
西螺鎮,房地(土地+建物),雲林縣西螺鎮興農西路130巷1~30號,107.0,住,,,1060101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030505,210.95,5,1,2,有,無,8500000,40294,,0.0,0,,RPPNMLSKKHMFFCP56CA
虎尾鎮,土地,竹圍子段451~480地號,302.0,,鄉村區,乙種建築用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1860000,6159,,0.0,0,,RPSNMLQKKHMFFDP76CA
虎尾鎮,土地,廉使段1951~1980地號,3307.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14200000,4294,,0.0,0,,RPPNMLRKKHMFFDP56CA
虎尾鎮,土地,廉使段1921~1950地號,2832.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15300000,5403,,0.0,0,,RPQNMLRKKHMFFDP66CA
