編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLOKKILFFCP98CA,1,4.66,見其他登記事項,鋼筋混凝土造,104年11月26日,一層,
RPRNMLOKKILFFCP98CA,1,212.27,見其他登記事項,鋼筋混凝土造,104年11月26日,四層,騎樓 見其他登記事項
RPQOMLMLKILFFEP56DA,15,3555.43,見其他登記事項,見其他登記事項,91年3月12日,一層,見其他登記事項
RPQNMLMKJHMFFDP68CA,1,202.70,見其他登記事項,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層 見其他登記事項
RPRNMLMKJHMFFDP78CA,1,202.25,見其他登記事項,鋼筋混凝土造,105年3月8日,三層,一層 二層 三層 見其他登記事項
RPQNMLTLKILFFEP07CA,23,2221.14,見其他登記事項,見其他登記事項,82年8月10日,一層,見其他登記事項
RPRNMLNJJHMFFFP09DA,1,172.57,見其他登記事項,鋼筋混凝土造,104年12月4日,三層,騎樓 見其他登記事項
RPXOMLTJJHMFFAP27DA,2,63.00,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,四層
RPXOMLTJJHMFFAP27DA,2,6.15,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPXOMLTJJHMFFAP27DA,2,10.65,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPOPMLTJJHMFFAP09DA,2,63.14,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,二層
RPOPMLTJJHMFFAP09DA,2,6.15,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPOPMLTJJHMFFAP09DA,2,10.65,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPRNMLNKJHMFFEP09DA,15,5193.06,見其他登記事項,見其他登記事項,91年2月21日,一層,見其他登記事項
RPSNMLKLJHMFFFP56EA,1,163.53,見其他登記事項,鋼筋混凝土造,104年12月4日,三層,騎樓 見其他登記事項
RPWOMLPLJHMFFAP86CA,2,159.60,見其他登記事項,鋼筋混凝土造,103年12月30日,三層,一層 二層 三層 屋頂突出物
RPWNMLMLKHMFFAP56CA,17,342.00,住家用,鋼筋混凝土造,89年7月7日,三層,一層 二層 三層
RPTNMLTJKHMFFFP37DA,1,183.38,見其他登記事項,鋼筋混凝土造,105年4月20日,三層,見其他登記事項
RPSNMLLMLHMFFAP88CA,36,114.20,住家用,加強磚造,69年11月3日,二層,一層 二層
RPQNMLRKKHMFFBP09CA,1,212.80,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKKHMFFCP56CA,3,210.95,見其他登記事項,鋼筋混凝土造,103年5月5日,三層,一層 二層 三層 見其他登記事項
RPUNMLRKKHMFFAP76CA,36,105.98,住商用,加強磚造,70年3月2日,二層,一層 二層 騎樓 電梯樓梯間
RPTNMLNLKHMFFAP98CA,3,285.56,見其他登記事項,鋼筋混凝土造,103年5月20日,四層,一層 二層 三層 四層
RPROMLKLLHMFFAP68CA,18,36.90,住家用,鋼筋混凝土造,87年10月30日,十層,七層
RPROMLKLLHMFFAP68CA,18,27.00,共同部份,鋼筋混凝土造,87年10月30日,十層,
RPROMLKLLHMFFAP68CA,18,7.69,共同部份,鋼筋混凝土造,87年10月30日,十層,
RPOOMLRKKHMFFAP98DA,24,118.43,住家用,鋼筋混凝土造,81年9月11日,六層,六層
RPOOMLRKKHMFFAP98DA,24,55.00,共同部份,鋼筋混凝土造,81年9月11日,六層,
RPROMLSKKHMFFAP76DA,17,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層
RPROMLSKKHMFFAP76DA,17,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPROMLSKKHMFFAP76DA,17,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPOOMLPJMHMFFDP09CA,29,97.11,住家用,加強磚造,77年5月30日,四層,四層
RPTNMLPKLHMFFDP96DA,24,154.39,住家用,加強磚造,81年9月18日,二層,一層 二層 電梯樓梯間
RPOOMLKLLHMFFAP58EA,35,94.07,住家用,加強磚造,70年12月18日,二層,一層 二層 電梯樓梯間
RPQNMLTKLHMFFAP66CA,14,17.95,住家用,鋼筋混凝土造,92年7月7日,四層,二層
RPQNMLTKLHMFFAP66CA,14,6.29,共同部份,鋼筋混凝土造,92年7月7日,四層,
