編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLOKKILFFCP98CA,西螺段,11.03,都市：商
RPRNMLOKKILFFCP98CA,西螺段,13.75,都市：商
RPRNMLOKKILFFCP98CA,西螺段,5.00,都市：商
RPRNMLOKKILFFCP98CA,西螺段,64.00,都市：商
RPRNMLOKKILFFCP98CA,西螺段,2.93,都市：商
RPRNMLOKKILFFCP98CA,西螺段,3.00,都市：商
RPQOMLMLKILFFEP56DA,埔潭段,1383.06,非都市：一般農業區 ; 非都市編定：農牧用地
RPQOMLMLKILFFEP56DA,埔潭段,3061.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTLKILFFEP07CA,謝厝寮段,1600.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTLKILFFEP07CA,謝厝寮段,4086.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTLKILFFEP07CA,謝厝寮段,640.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTLKILFFEP07CA,謝厝寮段,30.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLNJJHMFFFP09DA,新中段,97.99,都市：住
RPRNMLNKJHMFFEP09DA,東興段,3025.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNKJHMFFEP09DA,東興段,3025.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNKJHMFFEP09DA,東興段,2996.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLKLJHMFFFP56EA,新中段,93.00,都市：住
RPTNMLTJKHMFFFP37DA,新中段,26.58,都市：住
RPTNMLTJKHMFFFP37DA,新中段,85.50,都市：住
RPSNMLLMLHMFFAP88CA,西平段,85.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLRKKHMFFBP09CA,僑真段,101.00,都市：住
RPSNMLRKKHMFFCP76CA,成功段,818.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLSKKHMFFCP56CA,西螺段,107.00,都市：住
RPSNMLQKKHMFFDP76CA,竹圍子段,172.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLQKKHMFFDP76CA,竹圍子段,129.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLRKKHMFFDP56CA,廉使段,3307.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLRKKHMFFDP66CA,廉使段,2832.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLKLKHMFFDP78CA,廉使段,2307.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLLLKHMFFDP68CA,堀頭段,6.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLKHMFFDP68CA,堀頭段,112.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLLLKHMFFDP68CA,堀頭段,5.05,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLRKKHMFFAP76CA,海豐崙段朱丹灣小段,79.00,都市：住
RPTNMLNLKHMFFAP98CA,北環段,130.83,都市：住
RPUOMLNKLHMFFAP56CA,海豐崙段海豐崙小段,33.00,都市：農
RPUOMLNKLHMFFAP56CA,海豐崙段海豐崙小段,26.67,都市：農
RPUOMLNKLHMFFAP56CA,海豐崙段海豐崙小段,28.33,都市：農
RPUOMLNKLHMFFAP56CA,海豐崙段海豐崙小段,36.00,都市：農
RPROMLKLLHMFFAP68CA,斗六段,5.41,都市：商
RPVNMLQKKHMFFEP27DA,西井段,1183.20,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLQKKHMFFEP27DA,西井段,2289.30,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLSJLHMFFBP96EA,義德段,91.89,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLSJLHMFFBP96EA,義德段,89.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLRKKHMFFCP07EA,中厝段,1254.22,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLLLKHMFFAP98EA,崁腳段,1114.95,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLLLKHMFFAP09EA,崁腳段,3344.86,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLLLKHMFFBP58DA,明昌段,895.00,都市：其他
RPRNMLKLKHMFFCP78DA,東玄段,154.11,都市：住
RPOOMLRKKHMFFAP98DA,海豐崙段海豐崙小段,20.25,都市：住
RPOOMLRKKHMFFAP98DA,海豐崙段海豐崙小段,3.08,都市：住
RPOOMLRKKHMFFAP98DA,海豐崙段海豐崙小段,11.17,都市：住
RPRNMLLJLHMFFFP98CA,施厝寮段,867.00,非都市：一般農業區 ; 非都市編定：農牧用地
