編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLNLKILFFCQ86CA,,193.86,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPVNMLSLKILFFCQ37CA,,180.87,住家用,鋼筋混凝土造,105年7月29日,四層,一層 二層 三層 四層
RPWNMLNLJHMFFBQ86DA,21,303.40,住家用,鋼筋混凝土加強磚造,85年7月1日,四層,一層 二層 三層 四層
RPSNMLPKKHMFFCQ86EA,39,90.87,住家用,鋼筋混凝土加強磚造,67年3月15日,二層,一層 二層 電梯樓梯間
RPSNMLPKKHMFFCQ86EA,38,86.30,住家用,鋼筋混凝土加強磚造,67年11月21日,二層,一層 二層
RPPNMLRKKHMFFCQ66DA,22,162.12,住家用,鋼筋混凝土造,84年2月17日,三層,一層 二層 三層 電梯樓梯間
RPVNMLLLKHMFFDQ76CA,,171.66,見其他登記事項,鋼筋混凝土造,105年11月17日,三層,一層 二層 三層 見其他登記事項
RPWNMLLLKHMFFDQ86CA,,170.69,見其他登記事項,鋼筋混凝土造,105年11月17日,三層,一層 二層 三層 見其他登記事項
RPXNMLLLKHMFFDQ96CA,,171.22,見其他登記事項,鋼筋混凝土造,105年11月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLRKKHMFFCQ96CA,23,197.84,住商用,鋼筋混凝土加強磚造,83年2月1日,四層,一層 二層 三層 四層 電梯樓梯間
RPWNMLRKKHMFFCQ27CA,1,214.60,見其他登記事項,鋼筋混凝土造,105年6月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLKLKHMFFCQ78CA,35,117.11,住家用,鋼筋混凝土加強磚造,71年5月4日,二層,一層 二層 騎樓
RPQNMLRKKHMFFBQ56CA,10,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,四層
RPQNMLRKKHMFFBQ56CA,10,4.20,共有部份,鋼筋混凝土造,95年8月28日,,
RPQNMLRKKHMFFBQ56CA,10,5.78,共有部份,鋼筋混凝土造,95年8月28日,,
RPSNMLRKKHMFFBQ76CA,36,73.36,住家用,鋼筋混凝土加強磚造,69年10月23日,二層,一層 二層
RPQNMLSKKHMFFBQ66CA,20,98.39,住家用,鋼筋混凝土造,85年8月15日,十四層,六層
RPSNMLLJLHMFFBQ78CA,13,17.99,住家用,鋼筋混凝土造,92年8月21日,五層,四層
RPSNMLLJLHMFFBQ78CA,13,4.79,見其他登記事項,鋼筋混凝土造,92年8月21日,五層,
RPQNMLRKKHMFFCQ66CA,1,193.53,見其他登記事項,鋼筋混凝土造,104年11月13日,三層,一層 二層 三層 見其他登記事項
RPOOMLLJLHMFFCQ58CA,9,265.60,見其他登記事項,鋼骨鋼筋混凝土造,97年1月17日,一層,一層
RPQNMLNKLHMFFCQ98CA,,203.87,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPRNMLNKLHMFFCQ09CA,,203.90,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPSNMLNKLHMFFCQ56CA,,190.67,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLNKLHMFFCQ66CA,,208.07,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPUNMLNKLHMFFCQ76CA,,190.67,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPVNMLNKLHMFFCQ86CA,,177.82,見其他登記事項,鋼筋混凝土造,105年8月17日,三層,一層 二層 三層 見其他登記事項
RPPOMLLLKHMFFDQ88CA,,173.52,見其他登記事項,鋼筋混凝土造,105年11月17日,三層,一層 二層 三層 見其他登記事項
RPQOMLNLKHMFFDQ56CA,37,127.60,住家用,鋼筋混凝土加強磚造,69年1月26日,三層,一層 二層 三層 騎樓
RPRNMLOLKHMFFDQ66CA,37,142.60,農舍,加強磚造,69年7月1日,二層,一層 二層 騎樓
RPWNMLOKLHMFFDQ17CA,24,167.49,見其他登記事項,鋼筋混凝土造,82年1月9日,四層,一層 二層 三層 四層
RPRNMLNJLHMFFEQ56CA,37,90.76,住家用,鋼筋混凝土加強磚造,68年7月15日,二層,一層 二層 騎樓
RPTNMLKLKHMFFEQ56CA,21,181.40,住家用,鋼筋混凝土造,85年7月20日,三層,一層 二層 三層
RPQNMLLLKHMFFBQ78DA,22,85.33,住家用,鋼筋混凝土造,83年9月10日,十二層,三層
RPUNMLOLKHMFFCQ96DA,24,151.51,住商用,鋼筋混凝土造,82年3月4日,三層,一層 二層 三層 電梯樓梯間
RPSNMLMLKHMFFDQ66DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPUNMLMLKHMFFDQ86DA,1,167.25,見其他登記事項,鋼筋混凝土造,104年10月16日,三層,一層 二層 三層
RPQNMLQJLHMFFDQ66CA,,181.53,住家用,鋼筋混凝土造,105年8月2日,三層,一層 二層 三層 見其他登記事項
RPQOMLLLKHMFFDQ98CA,,171.10,見其他登記事項,鋼筋混凝土造,105年11月17日,三層,一層 二層 三層 見其他登記事項
RPROMLLLKHMFFDQ09CA,,173.52,見其他登記事項,鋼筋混凝土造,105年11月17日,三層,一層 二層 三層 見其他登記事項
RPSOMLLLKHMFFDQ56CA,,170.69,見其他登記事項,鋼筋混凝土造,105年11月17日,三層,一層 二層 三層 見其他登記事項
