鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
屏東巿,土地,大同段631~660地號,507.0,住,,,1051001,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000520,15780,,0.0,0,,RPXNMLKKMHMFFAT96CA
里港鄉,建物,屏東縣里港鄉定遠路1~30號,0.0,,,,1051101,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811013,166.35,4,1,3,有,無,800000,4809,,0.0,0,,RPQNMLNKKILFFBT56DA
枋寮鄉,建物,屏東縣枋寮鄉儲運路91~120號,0.0,,,,1051101,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050606,198.25,4,2,5,有,無,0,0,,0.0,0,,RPSNMLMKKILFFFT96CA
里港鄉,建物,屏東縣里港鄉和平路101巷1~30號,0.0,,,,1051201,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050303,197.66,3,2,2,有,無,3560000,18011,,0.0,0,,RPQNMLOJJHMFFBT98CA
萬丹鄉,建物,屏東縣萬丹鄉光明街122巷1~30號,0.0,,,,1051201,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1041118,174.88,4,2,5,有,無,2600000,14867,,0.0,0,,RPROMLTJJHMFFAT96CA
屏東巿,建物,屏東縣屏東市武威街129巷1~30號,0.0,,,,1051201,土地0建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1031009,201.91,5,2,4,有,無,4800000,23773,,0.0,0,,RPVOMLNKJHMFFAT86CA
里港鄉,房地(土地+建物),屏東縣里港鄉載南路1~30號,4751.0,,一般農業區,農牧用地,1051101,土地1建物1車位0,見其他登記事項,一層,其他,見其他登記事項,見其他登記事項,0930713,3045.24,0,0,0,有,無,31000000,10180,,0.0,0,畜牧設施(內含豬舍4棟、管理室1間、堆肥舍1間、倉儲設施1間、廢水處理設施1間、水塔1個),RPQNMLMKJHMFFBT88CA
fa72埔鄉,土地,高華段451~480地號,4483.27,,一般農業區,農牧用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4850000,1082,,0.0,0,,RPPNMLMJLHMFFBT88CA
里港鄉,房地(土地+建物),屏東縣里港鄉仁愛路81巷60弄1~30號,191.0,住,,,1051201,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030915,262.75,5,2,3,有,無,8420000,32046,,0.0,0,,RPQNMLNJLHMFFBT09CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮壽全路31~60號,111.18,住,,,1060201,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1010719,186.97,4,2,3,有,無,8300000,44392,,0.0,0,,RPUNMLRKKHMFFCT37CA
潮州鎮,房地(土地+建物),屏東縣潮州鎮三德路1~30號,12.74,住,,,1060201,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830120,89.8,3,2,1,有,有,1720000,19154,,0.0,0,,RPUOMLRKKHMFFCT47CA
竹田鄉,土地,美崙段1831~1860地號,5305.0,,特定農業區,農牧用地,1060101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16680000,3144,,0.0,0,,RPRNMLSKKHMFFCT17CA
fa72埔鄉,房地(土地+建物),屏東縣鹽埔鄉光復路31~60號,133.69,住,,,1051201,土地4建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0831115,195.44,6,2,3,有,無,1203640,6159,,0.0,0,地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交係為二親等間買賣，其價格應異於市場行情,RPPNMLLLKHMFFBT88CA
內埔鄉,土地,新豐段31~60地號,2010.23,,工業區,丁種建築用地,1060101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30400000,15123,,0.0,0,,RPVNMLLLKHMFFCT96CA
