編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNKKILFFBT56DA,24,166.35,住家用,鋼筋混凝土造,81年10月13日,三層,一層 二層 三層
RPSNMLMKKILFFFT96CA,,198.25,住家用,鋼筋混凝土造,105年6月6日,三層,一層 二層 三層
RPQNMLOJJHMFFBT98CA,1,197.66,住家用,鋼筋混凝土造,105年3月3日,三層,一層 二層 三層
RPROMLTJJHMFFAT96CA,1,174.88,住家用,鋼筋混凝土造,104年11月18日,二層,一層 二層 屋頂突出物
RPVOMLNKJHMFFAT86CA,2,201.91,住家用,鋼筋混凝土造,103年10月9日,三層,一層 二層 三層
RPQNMLMKJHMFFBT88CA,12,3045.24,見其他登記事項,見其他登記事項,93年7月13日,一層,見其他登記事項
RPQNMLNJLHMFFBT09CA,2,262.75,住家用,鋼筋混凝土造,103年9月15日,三層,見其他登記事項
RPUNMLRKKHMFFCT37CA,5,186.97,住家用,見其他登記事項,101年7月19日,三層,一層 二層 三層
RPUOMLRKKHMFFCT47CA,23,64.07,住家用,鋼筋混凝土造,83年1月20日,八層,二層
RPUOMLRKKHMFFCT47CA,23,25.73,見其他登記事項,鋼筋混凝土造,83年1月20日,八層,
RPPNMLLLKHMFFBT88CA,22,195.44,住商用,鋼筋混凝土造,83年11月15日,三層,一層 二層 三層 騎樓
RPPNMLMLKHMFFCT09CA,17,11.92,住家用,鋼筋混凝土造,88年11月30日,五層,五層
RPPNMLMLKHMFFCT09CA,17,5.23,見其他登記事項,鋼筋混凝土造,88年11月30日,五層,
RPVNMLMLKHMFFCT07CA,42,57.10,商業用,見其他登記事項,63年12月19日,二層,一層 二層 屋頂突出物
RPRNMLRKKHMFFAT86CA,8,171.32,住家用,鋼筋混凝土造,97年8月29日,三層,一層 二層 三層
RPRNMLSKKHMFFAT96CA,35,.00,國民住宅,鋼筋混凝土造,71年7月17日,,一層 二層 三層 四層 五層 地下層
RPRNMLSKKHMFFAT96CA,35,45.88,國民住宅,鋼筋混凝土造,71年7月17日,五層,五層
RPRNMLSKKHMFFAT96CA,35,.00,國民住宅,鋼筋混凝土造,71年7月17日,,一層 二層 三層 四層 五層 地下層
RPRNMLSKKHMFFAT96CA,35,45.88,國民住宅,鋼筋混凝土造,71年7月17日,五層,五層
RPVOMLSKKHMFFAT47CA,20,114.61,住家用,磚造,86年3月7日,一層,一層
RPWOMLSKKHMFFAT57CA,23,89.96,見其他登記事項,鋼筋混凝土造,82年11月30日,十二層,二層
RPWOMLSKKHMFFAT57CA,23,29.13,共有部份,鋼筋混凝土造,82年11月30日,十二層,
RPSOMLNLKHMFFAT76CA,,87.36,住家用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPUOMLMJLHMFFAT76CA,11,238.95,見其他登記事項,鋼筋混凝土造,95年5月10日,三層,一層 二層 三層 見其他登記事項
RPQNMLMLKHMFFET76CA,37,90.72,住家用,鋼筋混凝土加強磚造,69年1月19日,二層,一層 二層 騎樓
RPWNMLQKLHMFFAT47DA,40,25.58,住商用,加強磚造,66年7月6日,二層,一層 二層 騎樓
RPXOMLPKLHMFFCT67CA,,37.38,見其他登記事項,見其他登記事項,105年11月4日,七層,七層
RPXOMLPKLHMFFCT67CA,,22.14,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPOPMLPKLHMFFCT86CA,,40.86,見其他登記事項,見其他登記事項,105年11月4日,七層,七層
RPOPMLPKLHMFFCT86CA,,24.32,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPQPMLPKLHMFFCT07CA,,39.63,見其他登記事項,見其他登記事項,105年11月4日,七層,七層
RPQPMLPKLHMFFCT07CA,,23.50,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPRPMLPKLHMFFCT17CA,,39.60,見其他登記事項,見其他登記事項,105年11月4日,七層,六層
RPRPMLPKLHMFFCT17CA,,23.50,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPSPMLPKLHMFFCT27CA,,58.02,見其他登記事項,見其他登記事項,105年11月4日,七層,七層
RPSPMLPKLHMFFCT27CA,,34.43,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPTPMLPKLHMFFCT37CA,,38.61,見其他登記事項,見其他登記事項,105年11月4日,七層,六層
RPTPMLPKLHMFFCT37CA,,22.96,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPUPMLPKLHMFFCT47CA,,38.61,見其他登記事項,見其他登記事項,105年11月4日,七層,七層
RPUPMLPKLHMFFCT47CA,,22.96,見其他登記事項,見其他登記事項,105年11月4日,七層,
