編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLSKKHMFFCU07CA,40,109.28,住家用,磚造,66年1月1日,一層,一層
RPPNMLSKKHMFFCU07CA,40,202.64,工業用,見其他登記事項,66年1月1日,一層,一層
RPPNMLSKKHMFFCU07CA,40,156.55,見其他登記事項,磚造,66年1月1日,一層,一層
RPPNMLMLKHMFFCU56CA,36,112.31,住商用,鋼筋混凝土加強磚造,70年4月15日,二層,一層 二層 騎樓
RPPNMLNKLHMFFBU56CA,,89.13,住家用,見其他登記事項,,二層,一層 二層
RPSNMLKLKHMFFAU56DA,38,109.28,住商用,鋼筋混凝土加強磚造,67年8月15日,二層,一層 二層 騎樓
RPWNMLRKKHMFFAU67EA,42,100.89,住商用,鋼筋混凝土加強磚造,63年8月15日,二層,一層 二層 騎樓
RPSNMLSKKHMFFAU17CA,12,179.97,住家用,鋼筋混凝土造,94年4月21日,四層,一層 二層 三層 四層
RPVNMLSKKHMFFAU47CA,36,53.81,住工用,鋼筋混凝土造,70年6月16日,二層,一層 二層 防空避難室 屋頂突出物 騎樓
RPVOMLLLKHMFFAU96CA,54,81.78,住家用,加強磚造,,一層,一層
RPXNMLQJLHMFFAU47CA,11,177.18,農舍,鋼筋混凝土造,95年1月4日,二層,一層 二層
RPUNMLRJLHMFFAU27CA,18,96.16,見其他登記事項,鋼筋混凝土造,87年7月28日,二層,一層 二層 屋頂突出物
RPRNMLQKLHMFFAU96CA,1,304.06,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPSNMLQKLHMFFAU07CA,1,171.28,住家用,鋼筋混凝土造,105年1月6日,一層,一層 夾層
RPTNMLQKLHMFFAU17CA,1,192.59,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPUNMLQKLHMFFAU27CA,1,197.85,住家用,鋼筋混凝土造,105年1月6日,二層,二層 屋頂突出物 一層
RPVNMLQKLHMFFAU37CA,1,218.39,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPWNMLQKLHMFFAU47CA,1,221.04,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層
RPXNMLQKLHMFFAU57CA,1,264.59,住家用,鋼筋混凝土造,105年1月6日,三層,地下一層 一層 二層 三層
RPOOMLQKLHMFFAU76CA,1,264.71,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層 地下一層
RPPOMLQKLHMFFAU86CA,1,230.49,住家用,鋼筋混凝土造,105年1月6日,三層,一層 二層 三層
RPROMLQKLHMFFAU07CA,1,212.63,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPSOMLQKLHMFFAU17CA,1,211.78,住家用,鋼筋混凝土造,105年1月6日,二層,一層 二層 屋頂突出物
RPRNMLLLKHMFFAU09CA,,82.88,住家用,鋼筋混凝土造,,二層,一層 二層
RPRNMLMLKHMFFAU56CA,38,94.86,住商用,鋼筋混凝土加強磚造,68年1月7日,二層,一層 二層 騎樓
RPRNMLKLKHMFFAU98CA,11,192.51,住商用,鋼筋混凝土造,95年6月19日,四層,一層 二層 三層 四層
RPUNMLKLKHMFFAU66CA,39,94.74,住商用,鋼筋混凝土加強磚造,67年5月19日,二層,一層 二層 騎樓
RPXNMLRKKHMFFAU57CA,18,60.88,住家用,鋼筋混凝土造,88年6月15日,五層,三層
RPXNMLRKKHMFFAU57CA,18,10.36,共有部份,鋼筋混凝土造,88年6月15日,五層,
RPQNMLSKKHMFFAU96CA,17,19.16,住家用,鋼筋混凝土造,88年11月25日,六層,一層
RPQNMLSKKHMFFAU96CA,17,16.08,共有部份,鋼筋混凝土造,88年11月25日,六層,
RPPOMLMLKHMFFAU09CA,23,43.24,住家用,鋼筋混凝土造,83年1月22日,十二層,六層
RPPOMLMLKHMFFAU09CA,23,12.69,共有部份,鋼筋混凝土造,83年1月22日,十二層,
RPSNMLKKLHMFFCU76DA,36,138.42,住商用,鋼筋混凝土加強磚造,70年1月16日,二層,一層 二層 騎樓 夾層
RPUOMLNKLHMFFAU07CA,23,56.82,住家用,鋼筋混凝土造,83年6月30日,十二層,十一層
RPUOMLNKLHMFFAU07CA,23,9.38,共有部份,鋼筋混凝土造,83年6月30日,十二層,
RPUOMLNKLHMFFAU07CA,23,14.68,共有部份,鋼筋混凝土造,83年6月30日,十二層,
RPROMLOKLHMFFAU86CA,20,27.99,住家用,鋼筋混凝土造,85年10月29日,十六層,十五層
RPROMLOKLHMFFAU86CA,20,4.94,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPROMLOKLHMFFAU86CA,20,7.55,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPVOMLRKLHMFFAU57CA,32,95.56,住家用,鋼筋混凝土造,74年6月27日,二層,一層 二層
