編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLSKKHMFFCU07CA,瑞北段,1348.49,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPPNMLSKKHMFFCU07CA,瑞北段,1299.82,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPPNMLSKKHMFFCU07CA,瑞北段,1828.80,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPPNMLSKKHMFFCU07CA,瑞北段,214.87,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPPNMLSKKHMFFCU07CA,瑞北段,87.99,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPPNMLMLKHMFFCU56CA,瑞新段,106.00,都市：住
RPPNMLNKLHMFFBU56CA,大安段,80.00,都市：商
RPPNMLNKLHMFFBU56CA,大安段,80.00,都市：商
RPPNMLNKLHMFFBU56CA,大安段,93.00,都市：商
RPSNMLKLKHMFFAU56DA,自強段,70.00,都市：商
RPPNMLRKKHMFFAU96EA,華興段,46.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLRKKHMFFAU67EA,仁和段,65.60,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLOKLHMFFCU96EA,東竹段,482.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLSKKHMFFAU17CA,民意段,107.00,都市：住
RPVNMLSKKHMFFAU47CA,慈勝段,52.33,都市：住
RPVOMLLLKHMFFAU96CA,光榮段,69.81,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVOMLLLKHMFFAU96CA,光榮段,355.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLQJLHMFFAU47CA,路內段,824.97,都市：農
RPXNMLQJLHMFFAU47CA,路內段,178.60,都市：農
RPRNMLQKLHMFFAU96CA,萬壽段一小段,201.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLQKLHMFFAU07CA,萬壽段一小段,402.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLQKLHMFFAU17CA,萬壽段一小段,201.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLQKLHMFFAU27CA,萬壽段一小段,201.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLQKLHMFFAU37CA,萬壽段一小段,201.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
