編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLTJKILFFAU67CC,24,147.91,住商用,鋼筋混凝土造,81年10月9日,二層,
RPSOMLOKKILFFAU07CC,23,44.16,住家用,鋼筋混凝土造,82年12月14日,五層,
RPSOMLOKKILFFAU07CC,23,4.49,共有部份,鋼筋混凝土造,82年12月14日,五層,
RPRNMLLLKILFFAU66CC,19,105.17,住家用,見其他登記事項,87年2月24日,一層,
RPUNMLLLKILFFAU96CC,10,272.83,住家用,鋼筋混凝土造,96年1月17日,四層,
RPWOMLTLKILFFAU08CC,,110.88,住家用,木造,,二層,
RPQPMLTLKILFFAU67DC,23,269.33,住商用,鋼筋混凝土造,82年8月19日,五層,
RPSNMLPJJHMFFAU86CC,30,121.51,住商用,鋼筋混凝土造,76年3月19日,二層,
RPTNMLTJJHMFFAU37CC,45,56.24,住家用,見其他登記事項,60年7月15日,一層,
RPXNMLKKJHMFFAU96CC,44,112.14,住家用,鋼筋混凝土加強磚造,62年6月25日,二層,
RPOOMLKKJHMFFAU78CC,11,728.57,農舍,鋼筋混凝土造,95年6月13日,三層,
RPUOMLMKJHMFFAU96CC,25,235.03,住商用,鋼筋混凝土造,80年11月19日,四層,
RPRNMLQKJHMFFAU96CC,29,209.36,住商用,鋼筋混凝土造,77年1月11日,三層,
RPPNMLRKJHMFFAU86CC,49,133.81,住家用,鋼筋混凝土加強磚造,56年12月6日,二層,
RPXNMLNLJHMFFAU37CC,38,224.11,住商用,鋼筋混凝土造,68年5月11日,三層,
RPOOMLNLJHMFFAU56CC,38,88.58,住家用,鋼筋混凝土加強磚造,67年12月1日,二層,
RPVNMLPLJHMFFAU37CC,14,146.37,商業用,鋼筋混凝土造,91年10月28日,三層,
RPTNMLKKKHMFFAU66CC,42,148.77,住家用,鋼筋混凝土造,64年6月1日,三層,
RPWNMLKKKHMFFAU96CC,35,132.96,住家用,鋼筋混凝土加強磚造,70年11月23日,二層,
RPRNMLNKKHMFFAU86DC,3,183.30,住家用,鋼筋混凝土造,101年9月5日,三層,
RPSNMLQKKHMFFAU17CC,38,102.18,住商用,鋼筋混凝土加強磚造,68年1月16日,二層,
RPWNMLQKKHMFFAU57CC,23,33.05,住家用,鋼筋混凝土造,82年11月5日,九層,
RPWNMLQKKHMFFAU57CC,23,11.83,共有部份,鋼筋混凝土造,82年11月5日,九層,
RPRNMLSKKHMFFAU27CC,21,159.89,住商用,見其他登記事項,85年1月25日,二層,
RPROMLKLKHMFFAU76DC,27,52.63,住家用,鋼筋混凝土造,78年11月4日,六層,
RPROMLKLKHMFFAU76DC,27,14.18,共有部份,鋼筋混凝土造,78年11月4日,六層,
RPSNMLLLKHMFFAU76CC,22,76.36,住家用,鋼筋混凝土造,83年10月26日,九層,
RPSNMLLLKHMFFAU76CC,22,6.07,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPSNMLLLKHMFFAU76CC,22,39.83,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPTOMLLLKHMFFAU96CC,10,240.23,商業用,鋼筋混凝土造,96年5月1日,四層,
RPWOMLNLKHMFFAU47CC,24,122.56,住商用,鋼筋混凝土造,81年12月7日,四層,
RPVNMLNLKHMFFAU37DC,22,187.94,住家用,鋼筋混凝土造,84年6月16日,四層,
RPXNMLOLKHMFFAU57CC,22,99.50,住家用,鋼筋混凝土造,83年11月17日,五層,
RPXNMLOLKHMFFAU57CC,22,20.69,共有部份,鋼筋混凝土造,83年11月17日,五層,
